sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.65,13,0.9169,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
2,78,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.6499,33,0.8492,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
3,8,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,1.9499,39,0.8862,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
4,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,2.1499,43,0.9338,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
5,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.5499,51,0.9058,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
6,78,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.1998,64,0.8895,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
7,125,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,3.1998,64,0.9294,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
8,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.1998,64,0.6274,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
9,196,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.8498,77,0.8943,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
10,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,4.1498,83,0.9363,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
11,125,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,4.4498,89,0.9171,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
12,234,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.5498,91,0.859,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
13,243,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.9997,100,0.8748,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
14,274,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,4.9997,100,0.8136,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
15,138,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.9997,100,0.6815,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
16,282,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.0997,102,0.896,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
17,316,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,5.1497,103,0.8374,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
18,260,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,5.5497,111,0.8691,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
19,234,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.7997,116,0.8097,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
20,347,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,5.8497,117,0.8153,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
21,296,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,6.0997,122,0.8962,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
22,282,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,6.3497,127,0.8497,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
23,367,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,6.3497,127,0.8601,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
24,316,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,6.4497,129,0.8693,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
25,289,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,normal,7.0496,141,0.8179,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
26,347,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,7.4996,150,0.8973,c0a27bb5-3abc-42cd-b552-5b45f2741d67,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,444d0ff9-ed18-45fa-bb07-ed510f12a8bd,ch01_00000000141000000.mp4,
