sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,10,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,1.7667,53,0.3801,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
2,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1.8667,56,0.8554,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
3,1,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,2.2667,68,0.7979,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
4,9,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,2.4,72,0.8815,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
5,21,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,2.5,75,0.7124,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
6,10,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.7,81,0.8848,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
7,21,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.5,105,0.8938,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
8,4,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,3.9,117,0.8188,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
9,1,truck,7tr-3sumbu,7TR-3sumbu,3-Axle Truck (Jumbo),7,3-Axle Truck,7TR-3sumbu,2,Line 2,normal,3.9,117,0.893,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
10,13,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,4.6333,139,0.6334,ed6ff5ee-aa29-47b9-aba8-e7c1e8126228,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4562bb93-3146-4f1f-8ebe-22256f6f998e,08.00 - 09.00.mp4,
