sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,0.3,6,0.8932,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
2,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1.1499,23,0.8005,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
3,6,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,1.6499,33,0.9241,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
4,16,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,normal,3.4498,69,0.4142,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
5,16,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,normal,3.4498,69,0.4142,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
6,27,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.8498,77,0.6816,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
7,27,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.8998,78,0.7148,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
8,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,3.9498,79,0.8813,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
9,35,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.9498,79,0.5252,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
10,39,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.5498,91,0.9343,2c3e6cfe-347e-4448-82e1-2a70f94573d0,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,549e0245-3e89-414a-bad8-3acbe924fd0d,ch01_00000000130000000.mp4,
