sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.2,4,0.855,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
2,2,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.45,9,0.897,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
3,8,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.5,10,0.6581,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
4,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.7499,15,0.8873,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
5,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.2999,26,0.8044,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
6,5,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.3499,27,0.7973,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
7,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.4999,30,0.885,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
8,29,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.7999,36,0.8723,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
9,63,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.8999,38,0.8134,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
10,2,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.1498,43,0.8318,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
11,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.5998,52,0.7418,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
12,127,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.1498,63,0.7558,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
13,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.2498,65,0.8614,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
14,29,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.2998,66,0.8066,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
15,63,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.0497,81,0.5626,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
16,127,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.4997,90,0.6641,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
17,48,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,4.6497,93,0.9414,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
18,174,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,5.5496,111,0.9159,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
19,180,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.8996,118,0.8944,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
20,48,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,6.5495,131,0.9163,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
21,157,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,6.6495,133,0.7489,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
22,180,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,7.5994,152,0.8058,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
23,11,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,7.8494,157,0.5801,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
24,265,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,7.9494,159,0.8512,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
25,174,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,7.9994,160,0.8022,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
26,15,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,8.1994,164,0.79,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
27,30,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,8.8493,177,0.4633,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
28,37,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,9.5993,192,0.8765,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
29,112,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,9.7993,196,0.7988,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
30,265,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,9.8993,198,0.4624,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
31,66,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,9.8993,198,0.4713,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
32,59,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,10.0493,201,0.9232,82dc7151-0bf3-4c54-97a3-0f8e5787a5e9,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,56dbc44f-408c-40e3-a9e8-0f07113be87f,ch01_00000000129000000.mp4,
