sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,4,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,5.1997,104,0.7548,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
2,4,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,5.8497,117,0.9263,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
3,134,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,19.899,398,0.7574,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
4,144,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,21.1489,423,0.9269,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
5,144,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,21.6489,433,0.8146,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
6,158,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,23.1488,463,0.7616,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
7,158,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,24.3988,488,0.4524,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
8,254,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,35.2482,705,0.88,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
9,279,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,36.0982,722,0.4876,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
10,261,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,36.1982,724,0.7913,b5796ef8-4cb6-4012-811d-5eadce65ce35,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,59a51567-e67e-46bf-b217-799c7f56244c,ch01_00000000122000000.mp4,
