sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,1,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,0.0667,2,0.9198,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
2,2,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,normal,0.0667,2,0.8534,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
3,10,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,2.4333,73,0.6102,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
4,10,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.2,96,0.8957,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
5,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.2,96,0.8791,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
6,15,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,3.8667,116,0.4376,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
7,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,5.5,165,0.5777,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
8,9,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,5.7667,173,0.5778,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
9,13,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,6.2667,188,0.6254,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
10,24,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,7.2333,217,0.85,ef38bbe8-414f-4aa4-8172-4d95b2cb05fc,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,5daf8126-7528-4536-b07e-1a845cd09c30,14.00 - 15.00.mp4,
