sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,169,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,8.4494,169,0.9178,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
2,169,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,9.1493,183,0.8446,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
3,49,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,18.0487,361,0.8799,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
4,71,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,18.2987,366,0.7705,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
5,91,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,19.0486,381,0.4854,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
6,71,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,19.0986,382,0.8342,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
7,128,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,20.5485,411,0.8162,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
8,112,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,21.1985,424,0.8423,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
9,91,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,21.3485,427,0.7269,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
10,159,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,21.4984,430,0.7568,a01ef9d5-2945-4bc9-86b9-f4ab7cce3438,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,60c9b0cf-1f1e-4ba0-b5b2-fd5213e1cd0e,ch01_00000000148000000.mp4,
