sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,0.8999,18,0.9055,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
2,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.6999,34,0.9026,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
3,29,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,1.8999,38,0.8104,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
4,23,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,2.6998,54,0.9291,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
5,7,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,2.8498,57,0.909,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
6,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.2498,65,0.5636,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
7,54,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.7497,75,0.8978,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
8,23,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,4.2497,85,0.912,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
9,52,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.3997,88,0.8759,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
10,11,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.5497,91,0.9248,cfb85dd1-efb9-4284-97c5-486e6b6b6089,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,66763a69-aa04-4f1b-bee5-3af6e1b7040a,ch01_00000000136000000.mp4,
