sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,0.8667,26,0.8951,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
2,1,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,0.9667,29,0.9224,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
3,15,bus,5bus,5Bus,Bus,5,Bus,5Bus,1,Line 1,normal,2.0,60,0.3918,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
4,18,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.0667,62,0.9001,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
5,17,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,2.6333,79,0.7852,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
6,15,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,2.9,87,0.9228,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
7,17,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,3.6667,110,0.8739,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
8,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.6667,110,0.8392,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
9,3,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.7667,113,0.8505,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
10,18,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.5333,136,0.5364,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
11,45,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,5.5333,166,0.8151,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
12,33,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,normal,8.7,261,0.7737,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
13,36,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,8.9333,268,0.7037,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
14,10,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,9.4333,283,0.5277,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
15,33,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,9.6,288,0.9156,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
16,32,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,9.7,291,0.8611,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
17,36,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,9.7667,293,0.8739,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
18,30,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,10.0333,301,0.4288,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
19,30,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,10.0333,301,0.4288,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
20,32,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,11.2667,338,0.8598,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
21,60,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,11.2667,338,0.8333,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
22,60,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,12.0667,362,0.8946,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
23,101,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,12.9,387,0.8842,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
24,143,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,15.8667,476,0.7421,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
25,134,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,16.1,483,0.8852,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
26,143,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,16.5333,496,0.8969,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
27,164,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,17.7333,532,0.8868,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
28,134,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,opposite,17.8,534,0.3249,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
29,179,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,17.8333,535,0.2765,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
30,168,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,18.2333,547,0.8253,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
31,204,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,19.6667,590,0.8714,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
32,214,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,20.0,600,0.7915,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
33,201,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,20.1667,605,0.4003,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
34,234,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,20.3333,610,0.5787,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
35,214,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,20.5333,616,0.8944,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
36,266,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,21.3333,640,0.6733,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
37,276,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,21.9,657,0.5327,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
38,265,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,normal,22.3667,671,0.5549,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
39,265,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,normal,23.6333,709,0.8697,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
40,313,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,24.2,726,0.6167,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
41,313,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,24.8333,745,0.8923,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
42,348,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,opposite,27.6667,830,0.6993,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
43,388,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,27.7,831,0.6028,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
44,370,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,27.7667,833,0.7816,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
45,396,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,28.3667,851,0.6209,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
46,388,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,28.5,855,0.6898,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
47,348,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,28.6667,860,0.6965,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
48,404,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,29.1333,874,0.8883,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
49,396,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,29.1667,875,0.896,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
50,456,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,31.3333,940,0.7734,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
51,471,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,31.4,942,0.5153,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
52,471,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,32.2667,968,0.8942,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
53,456,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,32.2667,968,0.8939,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
54,514,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,32.7333,982,0.3547,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
55,514,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,33.5,1005,0.8938,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
56,544,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,35.0667,1052,0.537,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
57,585,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,35.7667,1073,0.6531,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
58,544,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,36.0667,1082,0.8398,2f1d75c4-50bd-4d94-b812-3c10ed680d7c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,667a6e8d-eeae-423b-a882-df6b1ad33d39,10.00 - 11.00.mp4,
