sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,0.5333,16,0.8636,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
2,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.5333,16,0.8951,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
3,8,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1.3667,41,0.8816,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
4,19,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,1.4667,44,0.7978,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
5,18,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1.8333,55,0.8631,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
6,19,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.2333,67,0.8958,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
7,16,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.6333,109,0.8429,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
8,9,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,6.6667,200,0.3455,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
9,51,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,8.8333,265,0.5624,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
10,58,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,9.1,273,0.7134,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
11,51,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,9.5667,287,0.8704,951052db-e8f8-4d4d-9e01-6d2c7999dab8,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,675cb85d-be82-42e1-b949-37368f02946d,17.00 - 18.00.mp4,
