sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,5,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,0.0667,2,0.4594,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
2,115,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,4.5667,137,0.7985,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
3,161,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,5.9333,178,0.5166,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
4,170,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,6.3333,190,0.8961,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
5,208,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,7.2,216,0.7315,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
6,169,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,7.6333,229,0.549,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
7,208,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,8.0333,241,0.8964,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
8,280,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,8.6667,260,0.8148,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
9,280,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,9.5667,287,0.8814,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
10,169,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,9.8667,296,0.6105,88ef7a4a-ad3b-4cfc-9499-5eef5d57e3d3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,7acbc461-de28-4fc7-b013-f98317b01e84,06.00 - 07.00.mp4,
