sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,0.0,1,0.4952,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
2,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.2002,6,0.4952,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
3,3,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,0.5672,17,0.3134,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
4,5,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1.4014,42,0.5302,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
5,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1.5349,46,0.787,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
6,23,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,1.6016,48,0.6879,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
7,23,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.1355,64,0.6879,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
8,15,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,2.2689,68,0.5036,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
9,20,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,2.7694,83,0.7883,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
10,29,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.2366,97,0.6456,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
11,20,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,3.3367,100,0.5553,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
12,35,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.6036,108,0.4852,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
13,36,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.9373,118,0.5053,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
14,35,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.2376,127,0.2655,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
15,40,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,4.2376,127,0.6483,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
16,45,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,4.2709,128,0.7408,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
17,46,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,4.2709,128,0.5778,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
18,50,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.5712,137,0.5222,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
19,51,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,4.6713,140,0.7189,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
20,45,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,4.8048,144,0.3992,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
21,43,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,4.9383,148,0.837,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
22,51,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,5.2052,156,0.7189,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
23,48,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,5.372,161,0.861,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
24,61,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,5.4721,164,0.4672,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
25,43,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,5.5389,166,0.5551,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
26,48,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,6.006,180,0.7662,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
27,61,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,6.006,180,0.4672,211c0960-ed49-4566-8400-aa940261cee5,c7ac6054-9e92-4626-9e30-0d1f0720837e,Bts. Kota Bandar Lampung - Gedong Tataan,88174b05-4350-49e7-a676-e4523c9f36b1,vid pendek.mp4,2026-07-22T14:05:00+07:00
