sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,0.5,10,0.871,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
2,11,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.9998,40,0.6629,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
3,8,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.1498,43,0.8915,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
4,37,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,2.4498,49,0.8564,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
5,9,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.5497,71,0.8929,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
6,30,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,3.8497,77,0.8239,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
7,192,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.2997,86,0.8905,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
8,64,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,4.3496,87,0.8511,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
9,118,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,4.4996,90,0.8517,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
10,11,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.7496,95,0.8231,9de3fa26-be49-4ebe-864f-6a1c6206808d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,8c50e21b-8326-4655-9de8-465cebb628a4,ch01_00000000128000000.mp4,
