sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,1,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.1499,23,0.8758,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
2,1,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.9498,59,0.8923,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
3,19,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.1998,84,0.8739,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
4,19,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.0497,101,0.8519,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
5,10,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,opposite,8.6995,174,0.9271,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
6,10,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,9.2995,186,0.8952,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
7,64,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.3495,187,0.8167,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
8,4,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,9.5495,191,0.817,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
9,33,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,normal,9.6994,194,0.8746,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
10,4,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,10.0994,202,0.8192,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
11,33,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,normal,11.5493,231,0.9236,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
12,134,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,12.8493,257,0.8675,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
13,168,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,13.0992,262,0.8755,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
14,311,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,13.1992,264,0.85,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
15,311,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,13.8992,278,0.863,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
16,134,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,13.9492,279,0.8601,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
17,279,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,14.0492,281,0.8593,6ed3033d-15bc-4c03-9038-eb7827686d94,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,94674012-f7d1-40b9-8138-684ccd9fdcee,ch01_00000000127000000.mp4,
