sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,1,truck,kelas 6 trukkecil,medium_truck_2_axle,medium 2-axle truck,6b,Medium 2-axle truck,Kelas 6 TrukKecil,1,Default Line,opposite,0.4,10,0.6949,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
2,9,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,1.44,36,0.8108,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
3,16,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,3.04,76,0.8906,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
4,17,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,4.08,102,0.666,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
5,19,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,6.4,160,0.8943,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
6,20,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,7.2,180,0.8801,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
7,22,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,8.0,200,0.8813,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
8,26,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,11.64,291,0.7986,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
9,29,car,kelas 2 mobil,medium_passenger,medium passenger transport,3,Medium passenger vehicle,Kelas 2 Mobil,1,Default Line,opposite,13.8,345,0.798,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
10,32,bus,kelas 5 bus,large_bus,large bus,5b,Large bus,Kelas 5 Bus,1,Default Line,opposite,15.2,380,0.9119,8ac3cc2e-5a57-4077-9280-2bf478fb5521,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,94e42972-5555-4b5b-9852-afd861a208b0,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,
