sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.8636,63,0.8116,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
2,5,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,13.7727,303,0.8343,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
3,800001,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,14.3182,315,0.3526,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
4,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,14.9545,329,0.6655,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
5,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,16.3182,359,0.8419,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
6,12,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,26.3636,580,0.7717,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
7,800002,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,34.3636,756,0.3439,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
8,800002,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,34.3636,756,0.3439,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
9,13,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,34.8182,766,0.8167,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
10,14,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,36.0,792,0.8216,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
11,14,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,36.9091,812,0.715,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
12,800004,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,38.4545,846,0.2739,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
13,16,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,38.6818,851,0.8257,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
14,16,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,39.3182,865,0.816,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
15,17,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,39.6818,873,0.8093,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
16,17,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,40.2727,886,0.8352,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
17,18,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,40.2727,886,0.8188,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
18,18,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,40.8636,899,0.8338,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
19,20,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,41.7273,918,0.826,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
20,800004,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,42.8182,942,0.3247,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
21,23,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,43.8182,964,0.8413,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
22,800005,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,44.8636,987,0.504,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
23,800005,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,44.8636,987,0.504,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
24,26,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,45.2727,996,0.7555,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
25,24,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,45.5455,1002,0.8155,51cbe36f-3fda-47ce-b171-25f02ffeeb3a,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,973f2faa-6112-46fa-b6bf-4d49b6e745af,1_01_R_16082025020000.avi,2026-07-27T05:04:00+07:00
