sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,1.7333,52,0.8924,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
2,6,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,3.4667,104,0.9078,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
3,13,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,4.1,123,0.7819,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
4,8,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,normal,4.3,129,0.646,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
5,6,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,5.3333,160,0.5878,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
6,8,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,5.6667,170,0.9194,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
7,17,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,7.1333,214,0.8885,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
8,22,truck,7tr-3sumbu,7TR-3sumbu,3-Axle Truck (Jumbo),7,3-Axle Truck,7TR-3sumbu,2,Line 2,opposite,13.9333,418,0.8747,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
9,21,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,15.2,456,0.8434,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
10,21,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,16.7333,502,0.4234,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
11,11,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,17.7333,532,0.845,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
12,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,20.0,600,0.3968,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
13,47,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,20.3667,611,0.8994,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
14,50,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,20.6667,620,0.8817,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
15,27,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,21.9,657,0.8731,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
16,47,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,22.2667,668,0.255,9bf8f24a-8c6c-4150-9642-6e78d0fc84a2,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,9f9904f7-122b-4cb5-946b-5ad056869605,07.00 - 08.00.mp4,
