sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,1,truck,truck,medium_truck_2_axle,medium 2-axle truck,6b,Medium 2-axle truck,truck,1,Default Line,opposite,0.32,8,0.9099,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
2,800000,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,1.08,27,0.212,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
3,4,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,1.32,33,0.9061,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
4,23,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,2.96,74,0.8901,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
5,37,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,4.0,100,0.8898,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
6,43,car,car,pickup_micro_delivery,pickup / micro truck / delivery vehicle,4,Pickup / micro truck / delivery,car,1,Default Line,opposite,6.36,159,0.8981,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
7,47,car,car,medium_passenger,medium passenger transport,3,Medium passenger vehicle,car,1,Default Line,opposite,7.12,178,0.9011,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
8,51,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,7.92,198,0.9178,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
9,56,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,11.6,290,0.9196,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
10,64,car,car,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,car,1,Default Line,opposite,13.68,342,0.8788,8d6528b6-0031-4ad8-ade1-612d20a36302,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,a52b1102-8906-4f46-88c4-33aa9288e430,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
