sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,4,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.15,3,0.8197,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
2,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.45,9,0.2669,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
3,24,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,0.75,15,0.8392,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
4,22,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.0999,22,0.7491,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
5,29,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.0499,41,0.5881,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
6,22,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.3999,48,0.8765,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
7,46,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,2.9998,60,0.8529,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
8,63,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,3.4498,69,0.795,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
9,73,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,3.7998,76,0.5719,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
10,46,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.9998,80,0.4936,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
11,73,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,5.0997,102,0.8277,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
12,63,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,5.1997,104,0.7623,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
13,152,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,7.1996,144,0.8161,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
14,157,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,7.3496,147,0.8885,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
15,166,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,7.6496,153,0.8808,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
16,166,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,8.4995,170,0.8336,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
17,61,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,10.9494,219,0.8584,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
18,61,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,12.0493,241,0.9342,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
19,105,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,12.3993,248,0.8522,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
20,123,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,12.6493,253,0.7861,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
21,212,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,15.7491,315,0.7822,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
22,229,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,15.7991,316,0.8617,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
23,235,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,16.1491,323,0.6723,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
24,229,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,16.599,332,0.405,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
25,277,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,17.099,342,0.8724,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
26,225,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,17.249,345,0.4789,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
27,270,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,17.849,357,0.8656,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
28,277,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,17.999,360,0.8481,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
29,235,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,17.999,360,0.8367,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
30,310,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,18.4489,369,0.8579,a030ee05-827a-4846-906d-f99d534d2f1d,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a65c24e7-f591-4686-a4f5-d3f16974b6f4,ch01_00000000147000000.mp4,
