sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,5,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.25,5,0.8792,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
2,15,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,0.45,9,0.3994,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
3,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.5,10,0.8957,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
4,8,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.7,14,0.8469,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
5,12,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.9999,20,0.8363,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
6,10,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.0499,21,0.7248,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
7,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.1499,23,0.8586,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
8,11,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.1499,23,0.8554,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
9,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.5499,31,0.4563,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
10,32,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.8499,37,0.8929,174467ae-f5fd-4cec-8831-30fa63101232,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,a766e828-af4e-476c-8ce4-89b7d7742ae1,ch01_00000000142000000.mp4,
