sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,1,truck,kelas 6 trukkecil,medium_truck_2_axle,medium 2-axle truck,6b,Medium 2-axle truck,kelas 6 trukkecil,2,Line 2,opposite,1.88,47,0.4856,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
2,1,truck,kelas 6 trukkecil,medium_truck_2_axle,medium 2-axle truck,6b,Medium 2-axle truck,kelas 6 trukkecil,1,Line 1,opposite,2.88,72,0.4856,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
3,16,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,kelas 1 motor,2,Line 2,opposite,3.84,96,0.3291,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
4,16,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,kelas 1 motor,1,Line 1,opposite,4.84,121,0.3291,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
5,25,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,kelas 2 mobil,2,Line 2,opposite,7.88,197,0.6561,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
6,25,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,kelas 2 mobil,1,Line 1,opposite,8.88,222,0.6561,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
7,41,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,kelas 2 mobil,2,Line 2,opposite,16.88,422,0.3636,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
8,41,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,kelas 2 mobil,1,Line 1,opposite,17.88,447,0.3636,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
9,35,bus,kelas 5 bus,small_bus,small bus,5a,Small bus,kelas 5 bus,2,Line 2,opposite,18.72,468,0.9133,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
10,35,bus,kelas 5 bus,small_bus,small bus,5a,Small bus,kelas 5 bus,1,Line 1,opposite,19.72,493,0.9133,82465e19-4134-4922-a2ae-c3d572f838cf,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,b998ed50-6de2-4c8f-96db-74c1801d111b,Sysvideo 4K 8 Megapixel  IP Camera Demo traffic car.mp4,2026-05-30T10:00:00+07:00
