sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,43,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.0,90,0.8769,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
2,14,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,3.4333,103,0.6871,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
3,84,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,5.6667,170,0.8907,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
4,83,bus,5bus,5Bus,Bus,5,Bus,5Bus,2,Line 2,normal,6.4667,194,0.9304,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
5,84,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,6.6667,200,0.5926,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
6,94,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,6.6667,200,0.8723,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
7,98,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,7.1333,214,0.8897,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
8,113,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,8.4333,253,0.9016,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
9,109,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,8.4333,253,0.8252,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
10,155,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,10.2333,307,0.5435,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
11,157,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,10.8333,325,0.8857,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
12,155,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,11.3,339,0.869,d12e2c77-581a-47a4-81f2-360b5f92ec5c,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,bafad55f-6c0e-44dc-98cf-23d09410a06f,13.00 - 14.00.mp4,
