sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,2,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,normal,0.7499,15,0.9304,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
2,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.0999,22,0.853,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
3,42,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.2499,25,0.8749,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
4,28,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.8499,37,0.8587,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
5,42,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.2998,46,0.8462,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
6,28,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.2498,65,0.8705,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
7,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.5997,72,0.663,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
8,7,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,normal,3.9497,79,0.9166,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
9,10,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.8496,97,0.8684,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
10,59,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,5.8496,117,0.9172,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
11,7,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,normal,5.9995,120,0.9276,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
12,308,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,6.8995,138,0.8141,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
13,59,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,7.7994,156,0.9342,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
14,308,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,7.7994,156,0.8185,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
15,399,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,7.8994,158,0.81,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
16,179,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,8.2994,166,0.912,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
17,451,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,8.5494,171,0.8153,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
18,451,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.3493,187,0.8431,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
19,314,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,9.9492,199,0.9044,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
20,179,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,10.0992,202,0.9296,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
21,399,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,10.9992,220,0.6418,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
22,609,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,11.0992,222,0.8649,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
23,314,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,11.8491,237,0.9323,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
24,738,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,12.799,256,0.8508,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
25,788,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,13.399,268,0.8374,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
26,610,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,13.649,273,0.6003,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
27,783,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,13.849,277,0.899,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
28,738,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,13.9989,280,0.8804,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
29,788,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,14.5489,291,0.8986,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
30,890,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,16.2488,325,0.7814,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
31,610,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,17.2487,345,0.9114,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
32,987,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,17.9486,359,0.8255,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
33,1193,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,18.4986,370,0.9359,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
34,1148,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,18.7986,376,0.8799,acbf05aa-a75d-4b7d-bf17-cef96e007179,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cc3e3d3d-1f8e-4cd9-a6fd-7f6cec7aeb9b,ch01_00000000140000000.mp4,
