sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,1,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,0.6,12,0.8941,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
2,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.85,17,0.7508,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
3,17,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,2.1499,43,0.8509,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
4,17,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.7998,56,0.8415,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
5,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,2.7998,56,0.8731,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
6,6,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.2498,65,0.8614,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
7,38,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,1,Line 1,opposite,7.1496,143,0.7027,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
8,38,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,7.8496,157,0.9167,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
9,45,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,11.9493,239,0.8873,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
10,45,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,12.5993,252,0.8037,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
11,334,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,17.049,341,0.8113,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
12,562,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,19.5989,392,0.9263,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
13,562,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,20.1988,404,0.9167,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
14,800,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,22.3987,448,0.8682,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
15,800,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,22.9987,460,0.8431,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
16,996,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,25.3485,507,0.7554,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
17,996,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,25.9485,519,0.9115,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
18,1408,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,29.3483,587,0.8941,cd6cddd7-6188-40fd-b69e-5114ba716272,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,cff77a8b-32d3-49d0-b3c7-1903abdb8db5,ch01_00000000119000000.mp4,
