sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,6,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,1.0,20,0.9158,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
2,6,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,1.5499,31,0.9063,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
3,3,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,6.0997,122,0.8523,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
4,3,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,6.7497,135,0.7494,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
5,163,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,25.3987,508,0.879,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
6,163,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,25.9987,520,0.8351,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
7,227,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,34.4983,690,0.7793,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
8,390,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,49.3975,988,0.8674,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
9,390,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,50.1475,1003,0.7939,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
10,629,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,normal,69.9465,1399,0.691,26552a9c-b0bc-4864-bec2-d3a911dcea31,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d635573a-4b3f-4cef-81a6-249be0ee3421,ch01_00000000123000000.mp4,
