sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,0.25,5,0.9367,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
2,9,bus,5bus,5Bus,Bus,5,Bus,5Bus,1,Line 1,normal,0.4,8,0.8282,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
3,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.45,9,0.8576,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
4,10,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,0.8,16,0.5536,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
5,6,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1.1499,23,0.8903,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
6,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.3499,27,0.6678,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
7,44,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.8999,38,0.7166,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
8,49,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.9499,39,0.7892,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
9,37,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.3499,47,0.833,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
10,50,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,2.3999,48,0.9112,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
11,74,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,2.3999,48,0.7773,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
12,49,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.6498,53,0.8282,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
13,44,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,2.7998,56,0.8691,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
14,102,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,3.1498,63,0.7242,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
15,60,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.2498,65,0.8691,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
16,112,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,3.2498,65,0.7255,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
17,50,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.2498,65,0.5928,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
18,74,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.2998,66,0.8654,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
19,96,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,3.9998,80,0.8729,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
20,102,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,4.0498,81,0.8775,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
21,127,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.0498,81,0.8824,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
22,148,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.3997,88,0.8868,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
23,127,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.8497,97,0.8522,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
24,148,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.0997,102,0.8466,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
25,120,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,5.2997,106,0.8483,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
26,189,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.3497,107,0.8882,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
27,197,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,5.4497,109,0.3975,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
28,189,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,6.0496,121,0.8463,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
29,120,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,6.2496,125,0.8929,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
30,141,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,6.2996,126,0.8621,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
31,252,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,7.2496,145,0.8883,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
32,265,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,7.4996,150,0.7293,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
33,197,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,8.0995,162,0.8699,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
34,265,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,8.1495,163,0.8445,16817583-84a8-4a18-9b62-070cfbd3eec6,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d6f7746e-1b92-486c-b821-84c23f2984eb,ch01_00000000133000000.mp4,
