sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,0.35,7,0.8657,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
2,7,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,0.55,11,0.7902,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
3,1,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,1.1999,24,0.9334,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
4,34,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.3499,27,0.5683,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
5,62,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1.3999,28,0.8554,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
6,3,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1.4499,29,0.8379,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
7,65,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,2.2999,46,0.8673,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
8,16,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.3499,47,0.4407,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
9,62,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,2.5499,51,0.8048,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
10,65,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,3.1998,64,0.7806,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
11,149,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.2498,65,0.8507,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
12,21,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,3.3998,68,0.9353,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
13,1,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,3.4498,69,0.9145,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
14,157,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.4498,69,0.874,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
15,209,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,3.5998,72,0.6152,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
16,217,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,3.9498,79,0.7459,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
17,157,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.3998,88,0.7987,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
18,149,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,4.6998,94,0.8136,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
19,217,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.0497,101,0.8251,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
20,21,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,5.4497,109,0.8895,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
21,16,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,5.4497,109,0.7133,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
22,275,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,opposite,5.5997,112,0.9188,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
23,332,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.6497,113,0.7135,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
24,369,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,5.9997,120,0.8646,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
25,332,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,6.7997,136,0.8415,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
26,320,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,6.8997,138,0.8969,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
27,501,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,6.9497,139,0.7,9ceb76c3-38d1-4e3b-8c47-99e98249db36,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,d9eb9a6b-5676-4a15-845f-ce4cf4d54fd3,ch01_00000000143000000.mp4,
