sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,15,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,0.2667,8,0.7606,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
2,4,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.3333,10,0.902,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
3,12,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,0.9333,28,0.8451,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
4,3,car,3ang_umum,3ang_umum,Public Transportation (Angkot),3,Medium passenger vehicle,3Ang_umum,2,Line 2,opposite,1.2333,37,0.7448,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
5,15,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,1.4667,44,0.9168,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
6,5,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,2.7667,83,0.8938,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
7,2,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,4.0667,122,0.8536,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
8,8,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,4.5,135,0.8948,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
9,13,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,4.5667,137,0.8911,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
10,33,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,5.0,150,0.8141,671dcb23-2ab0-4f6b-837b-899fa89a66df,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,db5caad9-f00e-4e61-adfa-3ba8f4bcca70,16.00 - 17.00.mp4,
