sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,69,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1.7499,35,0.7068,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
2,60,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,normal,2.2999,46,0.752,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
3,60,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,3.4998,70,0.6709,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
4,338,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,4.1498,83,0.8738,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
5,338,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,5.1497,103,0.7324,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
6,787,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,9.4995,190,0.8411,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
7,1020,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,12.8993,258,0.8079,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
8,1137,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,13.6492,273,0.8274,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
9,1020,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,14.1492,283,0.7564,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
10,1137,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,14.2492,285,0.796,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
11,1366,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,15.7491,315,0.7315,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
12,1401,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,15.9491,319,0.7862,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
13,1401,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,17.049,341,0.6595,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
14,1351,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,17.199,344,0.7954,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
15,1534,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,17.699,354,0.8683,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
16,1534,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,18.299,366,0.8374,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
17,1617,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,18.7989,376,0.8246,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
18,1700,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,19.1489,383,0.8317,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
19,1675,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,19.2489,385,0.8812,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
20,1700,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,19.9489,399,0.7557,4e67d164-d4be-4971-a056-57fa10924015,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,e05704e4-ae6a-4e90-8610-dfbc04443abc,ch01_00000000150000000.mp4,
