sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_name,analysis_job_id,video_filename,recorded_at
1,800000,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,0.9,18,0.1919,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
2,6,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,1.85,37,0.4101,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
3,13,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,2.05,41,0.8503,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
4,20,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,2.3,46,0.8659,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
5,800001,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,normal,2.4,48,0.5397,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
6,24,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,3.55,71,0.5741,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
7,800004,motorcycle,motorcycle,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,motorcycle,1,Default Line,opposite,5.25,105,0.309,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
8,54,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,6.1,122,0.8838,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
9,56,motorcycle,kelas 1 motor,motorcycle_three_wheeler,motorcycle,1,Motorcycle / 3-wheel vehicle,Kelas 1 Motor,1,Default Line,opposite,6.4,128,0.8553,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
10,62,car,kelas 2 mobil,passenger_car,"car (sedan, jeep, station wagon)",2,Sedan / jeep / station wagon,Kelas 2 Mobil,1,Default Line,opposite,8.1,162,0.8844,23252da4-375e-4c9b-9163-0e95745cbe95,d23f44a5-98f8-4a59-8550-b323f4ea8a30,Default Site,e8ec5f2d-dc59-4883-98b4-4314580538bc,povback3.mp4,2026-06-18T13:29:00+07:00
