sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
1,3,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,1.1,33,0.829,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
2,22,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,2,Line 2,opposite,1.6333,49,0.892,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
3,8,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,2.2333,67,0.8251,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
4,22,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,2.8667,86,0.3526,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
5,40,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,normal,3.2,96,0.7672,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
6,8,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,3.6333,109,0.8294,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
7,40,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,3.7667,113,0.8877,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
8,61,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,5.1,153,0.6322,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
9,85,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,2,Line 2,opposite,5.1,153,0.4734,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
10,61,truck,4pickupmicro,4PickupMicro,Pickup / Micro Truck,4,Pickup / micro truck / delivery,4PickupMicro,1,Line 1,opposite,6.3,189,0.7864,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
11,141,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,normal,7.0667,212,0.8421,7bf2a418-87af-495b-a029-c5779ae8254e,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,f688cbe7-c893-4b59-be4d-7b61d4ca88d3,09.00 - 10.00.mp4,
