video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
06.00 - 07.00.mp4,115,car,2,4.567,15.0
06.00 - 07.00.mp4,170,car,2,5.267,16.9
06.00 - 07.00.mp4,208,car,2,7.2,21.6
06.00 - 07.00.mp4,169,truck,7,7.667,8.2
06.00 - 07.00.mp4,280,car,2,8.7,20.8
06.00 - 07.00.mp4,320,truck,7,11.267,9.8
06.00 - 07.00.mp4,354,car,2,11.667,16.9
06.00 - 07.00.mp4,393,truck,4,13.933,15.4
06.00 - 07.00.mp4,430,car,2,14.2,16.9
06.00 - 07.00.mp4,454,car,2,16.633,28.4
06.00 - 07.00.mp4,483,truck,6,19.367,12.0
06.00 - 07.00.mp4,608,truck,6,22.1,11.7
06.00 - 07.00.mp4,685,truck,6,25.667,13.5
06.00 - 07.00.mp4,756,truck,4,27.267,7.6
06.00 - 07.00.mp4,775,truck,4,27.933,15.0
06.00 - 07.00.mp4,810,truck,6,28.467,12.9
06.00 - 07.00.mp4,924,bus,5,34.8,20.0
06.00 - 07.00.mp4,907,truck,6,36.033,12.6
06.00 - 07.00.mp4,996,car,3,36.767,19.3
06.00 - 07.00.mp4,1183,car,2,42.467,22.5
06.00 - 07.00.mp4,1194,car,2,43.033,27.0
06.00 - 07.00.mp4,1180,truck,6,43.3,14.6
06.00 - 07.00.mp4,1306,car,3,46.867,20.8
06.00 - 07.00.mp4,1342,car,3,47.833,20.0
06.00 - 07.00.mp4,1368,truck,4,49.133,19.3
06.00 - 07.00.mp4,1373,car,2,49.167,15.0
06.00 - 07.00.mp4,1509,truck,6,54.6,17.4
06.00 - 07.00.mp4,1573,car,2,56.9,18.0
06.00 - 07.00.mp4,1590,car,2,57.7,18.0
06.00 - 07.00.mp4,1605,car,2,58.467,20.0
06.00 - 07.00.mp4,1537,truck,6,59.9,10.4
06.00 - 07.00.mp4,1675,car,2,60.4,19.3
06.00 - 07.00.mp4,1768,car,2,63.0,17.4
06.00 - 07.00.mp4,1816,car,2,64.5,15.4
