video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
07.00 - 08.00.mp4,6,truck,4,3.433,9.5
07.00 - 08.00.mp4,8,car,2,4.333,13.2
07.00 - 08.00.mp4,21,car,2,15.2,11.7
07.00 - 08.00.mp4,47,truck,6,20.367,9.6
07.00 - 08.00.mp4,50,truck,4,20.667,10.0
07.00 - 08.00.mp4,144,car,3,29.833,12.9
07.00 - 08.00.mp4,210,bus,5,33.167,13.5
07.00 - 08.00.mp4,257,truck,6,36.5,4.7
07.00 - 08.00.mp4,329,car,2,39.067,15.9
07.00 - 08.00.mp4,333,truck,4,40.033,11.5
07.00 - 08.00.mp4,361,car,2,40.7,15.4
07.00 - 08.00.mp4,453,car,2,45.567,14.2
07.00 - 08.00.mp4,508,truck,4,47.2,11.3
07.00 - 08.00.mp4,655,car,2,53.533,19.3
07.00 - 08.00.mp4,744,car,2,55.767,17.4
07.00 - 08.00.mp4,832,truck,4,61.5,8.2
07.00 - 08.00.mp4,952,truck,6,66.967,10.0
07.00 - 08.00.mp4,980,car,2,67.667,15.4
07.00 - 08.00.mp4,992,truck,6,71.167,8.7
07.00 - 08.00.mp4,1053,truck,4,71.667,7.8
07.00 - 08.00.mp4,1102,truck,6,73.6,9.6
07.00 - 08.00.mp4,1162,car,2,74.767,16.4
07.00 - 08.00.mp4,1191,car,2,75.733,13.5
07.00 - 08.00.mp4,1218,truck,6,77.3,9.6
07.00 - 08.00.mp4,1216,truck,6,78.0,10.2
07.00 - 08.00.mp4,1256,car,2,80.2,11.5
07.00 - 08.00.mp4,1286,car,2,81.333,12.3
07.00 - 08.00.mp4,1267,truck,4,82.2,8.7
07.00 - 08.00.mp4,1304,truck,4,83.333,9.6
07.00 - 08.00.mp4,1333,car,2,83.6,11.5
07.00 - 08.00.mp4,1487,truck,7,91.867,5.9
07.00 - 08.00.mp4,1572,car,2,95.8,13.5
07.00 - 08.00.mp4,1762,car,2,107.267,14.6
07.00 - 08.00.mp4,1782,car,2,108.567,13.2
07.00 - 08.00.mp4,1797,car,2,109.367,15.9
