video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
08.00 - 09.00.mp4,10,car,2,1.767,19.3
08.00 - 09.00.mp4,7,car,2,1.9,6.0
08.00 - 09.00.mp4,1,truck,6,2.267,11.0
08.00 - 09.00.mp4,9,car,2,2.4,12.6
08.00 - 09.00.mp4,21,car,2,2.533,18.6
08.00 - 09.00.mp4,4,truck,6,3.1,22.5
08.00 - 09.00.mp4,13,car,2,4.633,18.6
08.00 - 09.00.mp4,52,car,2,7.2,22.5
08.00 - 09.00.mp4,81,car,2,8.1,22.5
08.00 - 09.00.mp4,87,truck,4,10.033,14.2
08.00 - 09.00.mp4,147,car,2,11.0,27.0
08.00 - 09.00.mp4,140,car,2,11.1,23.5
08.00 - 09.00.mp4,324,car,2,16.533,24.5
08.00 - 09.00.mp4,336,truck,6,20.033,8.7
08.00 - 09.00.mp4,474,car,2,22.233,22.5
08.00 - 09.00.mp4,507,car,2,23.5,28.4
08.00 - 09.00.mp4,521,car,2,24.4,12.6
08.00 - 09.00.mp4,568,car,2,25.1,31.8
08.00 - 09.00.mp4,632,car,2,29.467,13.8
08.00 - 09.00.mp4,701,car,2,30.267,30.0
08.00 - 09.00.mp4,798,car,2,33.433,30.0
08.00 - 09.00.mp4,895,car,2,36.867,22.5
08.00 - 09.00.mp4,894,car,2,37.933,18.6
08.00 - 09.00.mp4,970,car,2,41.467,22.5
08.00 - 09.00.mp4,933,car,3,41.467,21.6
08.00 - 09.00.mp4,980,truck,4,42.867,15.9
08.00 - 09.00.mp4,1018,car,2,43.0,27.0
08.00 - 09.00.mp4,1251,car,2,50.9,12.6
08.00 - 09.00.mp4,1296,car,2,51.633,27.0
08.00 - 09.00.mp4,1353,car,2,54.467,22.5
08.00 - 09.00.mp4,1464,car,2,57.8,22.5
08.00 - 09.00.mp4,1476,car,2,58.8,22.5
08.00 - 09.00.mp4,1518,car,2,60.067,22.5
08.00 - 09.00.mp4,1522,car,2,61.133,23.5
08.00 - 09.00.mp4,1524,truck,6,61.9,15.9
08.00 - 09.00.mp4,1567,car,2,62.8,20.8
08.00 - 09.00.mp4,1603,truck,4,64.667,18.0
08.00 - 09.00.mp4,1640,car,2,64.7,22.5
08.00 - 09.00.mp4,1648,car,2,66.0,22.5
08.00 - 09.00.mp4,1693,car,2,67.2,24.5
08.00 - 09.00.mp4,1759,car,2,70.1,20.0
08.00 - 09.00.mp4,1777,truck,4,71.0,20.0
08.00 - 09.00.mp4,1850,car,2,71.7,22.5
08.00 - 09.00.mp4,1826,car,2,72.0,20.8
08.00 - 09.00.mp4,1858,car,2,73.367,21.6
08.00 - 09.00.mp4,1860,car,3,74.0,20.0
08.00 - 09.00.mp4,1865,truck,4,74.167,16.9
08.00 - 09.00.mp4,1902,car,2,75.267,22.5
08.00 - 09.00.mp4,2029,car,2,78.1,23.5
08.00 - 09.00.mp4,2044,car,2,78.267,22.5
08.00 - 09.00.mp4,2063,car,2,79.767,24.5
08.00 - 09.00.mp4,2087,car,2,79.8,22.5
08.00 - 09.00.mp4,2084,car,2,80.3,12.6
08.00 - 09.00.mp4,2123,car,2,81.6,22.5
08.00 - 09.00.mp4,2153,car,2,82.6,20.8
08.00 - 09.00.mp4,2185,car,2,82.9,24.5
08.00 - 09.00.mp4,2193,car,2,83.5,22.5
08.00 - 09.00.mp4,2237,car,2,85.2,24.5
08.00 - 09.00.mp4,2328,car,2,86.833,22.5
08.00 - 09.00.mp4,2388,car,2,89.267,22.5
08.00 - 09.00.mp4,2467,car,3,92.4,30.0
08.00 - 09.00.mp4,2529,car,2,93.267,22.5
08.00 - 09.00.mp4,2578,car,2,95.3,23.5
08.00 - 09.00.mp4,2591,car,2,95.733,24.5
08.00 - 09.00.mp4,2567,car,2,95.933,24.5
08.00 - 09.00.mp4,2729,car,2,99.6,25.7
08.00 - 09.00.mp4,2715,car,2,99.633,12.6
08.00 - 09.00.mp4,2747,car,2,100.767,25.7
08.00 - 09.00.mp4,2755,car,2,101.0,28.4
08.00 - 09.00.mp4,2798,car,2,102.433,33.7
08.00 - 09.00.mp4,2864,car,3,104.2,27.0
08.00 - 09.00.mp4,2878,truck,4,105.067,19.3
08.00 - 09.00.mp4,3090,car,2,110.533,12.6
08.00 - 09.00.mp4,3115,car,2,110.6,22.5
08.00 - 09.00.mp4,3077,car,2,110.7,12.6
08.00 - 09.00.mp4,3126,car,2,111.7,30.0
08.00 - 09.00.mp4,3175,car,2,112.667,28.4
08.00 - 09.00.mp4,3179,car,2,113.133,12.6
08.00 - 09.00.mp4,3239,car,2,114.9,31.8
08.00 - 09.00.mp4,3279,car,2,116.067,22.5
08.00 - 09.00.mp4,3356,car,2,119.133,24.5
08.00 - 09.00.mp4,3381,car,2,120.2,25.7
08.00 - 09.00.mp4,3372,car,2,120.2,28.4
08.00 - 09.00.mp4,3505,car,2,123.967,22.5
08.00 - 09.00.mp4,3534,car,2,124.8,22.5
08.00 - 09.00.mp4,3501,truck,6,126.1,9.0
08.00 - 09.00.mp4,3668,car,2,129.8,33.8
08.00 - 09.00.mp4,3674,truck,6,130.033,15.4
08.00 - 09.00.mp4,3724,car,2,130.6,22.5
08.00 - 09.00.mp4,3682,truck,4,131.1,18.6
08.00 - 09.00.mp4,3788,car,2,132.7,30.0
08.00 - 09.00.mp4,3826,car,2,133.933,22.5
08.00 - 09.00.mp4,3813,car,2,134.467,12.6
08.00 - 09.00.mp4,3921,car,2,137.467,22.5
08.00 - 09.00.mp4,3998,car,2,140.467,22.5
08.00 - 09.00.mp4,4003,truck,4,142.467,16.4
08.00 - 09.00.mp4,4074,car,2,144.867,20.0
08.00 - 09.00.mp4,4087,truck,4,146.067,15.0
08.00 - 09.00.mp4,4123,car,3,146.4,20.8
08.00 - 09.00.mp4,4109,car,2,146.433,28.4
08.00 - 09.00.mp4,4146,car,2,147.467,22.5
08.00 - 09.00.mp4,4143,truck,6,148.8,8.2
08.00 - 09.00.mp4,4242,car,2,149.1,22.5
08.00 - 09.00.mp4,4208,car,2,149.2,24.5
08.00 - 09.00.mp4,4274,car,2,149.633,22.5
08.00 - 09.00.mp4,4270,car,2,150.433,12.6
08.00 - 09.00.mp4,4282,car,2,150.733,23.5
08.00 - 09.00.mp4,4284,car,2,150.8,30.0
08.00 - 09.00.mp4,4294,truck,4,152.1,4.4
08.00 - 09.00.mp4,4440,car,2,155.333,22.5
08.00 - 09.00.mp4,4432,truck,6,156.4,12.9
08.00 - 09.00.mp4,4464,truck,4,156.933,19.3
08.00 - 09.00.mp4,4522,truck,6,159.867,12.6
08.00 - 09.00.mp4,4632,truck,6,163.6,12.0
08.00 - 09.00.mp4,4619,truck,6,164.033,10.8
08.00 - 09.00.mp4,4711,car,2,165.033,28.4
08.00 - 09.00.mp4,4673,truck,4,165.9,12.0
08.00 - 09.00.mp4,4783,car,2,167.167,25.7
08.00 - 09.00.mp4,4747,truck,4,167.667,11.5
08.00 - 09.00.mp4,4743,truck,6,168.567,10.4
08.00 - 09.00.mp4,4856,car,2,169.267,22.5
