video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
09.00 - 10.00.mp4,22,truck,4,1.633,14.6
09.00 - 10.00.mp4,8,truck,4,2.233,13.2
09.00 - 10.00.mp4,40,car,2,3.2,31.8
09.00 - 10.00.mp4,61,truck,4,5.1,15.0
09.00 - 10.00.mp4,141,car,2,6.167,20.0
09.00 - 10.00.mp4,131,truck,6,8.6,16.4
09.00 - 10.00.mp4,348,truck,4,14.767,10.6
09.00 - 10.00.mp4,428,car,3,17.4,23.5
09.00 - 10.00.mp4,496,car,2,19.5,25.7
09.00 - 10.00.mp4,518,car,2,19.867,20.0
09.00 - 10.00.mp4,570,car,2,21.467,20.0
09.00 - 10.00.mp4,599,bus,5,23.067,4.4
09.00 - 10.00.mp4,795,car,2,29.3,20.0
09.00 - 10.00.mp4,799,car,2,29.767,11.0
09.00 - 10.00.mp4,806,car,2,30.3,20.8
09.00 - 10.00.mp4,916,truck,4,35.6,18.6
09.00 - 10.00.mp4,903,truck,4,36.6,13.2
09.00 - 10.00.mp4,966,car,2,38.3,21.6
09.00 - 10.00.mp4,1050,car,2,39.533,20.0
09.00 - 10.00.mp4,1025,car,2,39.767,11.0
09.00 - 10.00.mp4,1093,car,2,42.1,11.0
09.00 - 10.00.mp4,1148,car,2,43.4,24.5
09.00 - 10.00.mp4,1171,car,2,43.4,20.0
09.00 - 10.00.mp4,1151,car,3,43.567,21.6
09.00 - 10.00.mp4,1374,car,2,51.433,15.4
09.00 - 10.00.mp4,1399,truck,4,52.833,15.0
09.00 - 10.00.mp4,1446,car,2,53.967,22.5
09.00 - 10.00.mp4,1453,car,2,54.3,25.7
09.00 - 10.00.mp4,1484,car,2,55.5,21.6
09.00 - 10.00.mp4,1486,car,2,55.933,28.4
09.00 - 10.00.mp4,1458,truck,6,56.033,13.8
09.00 - 10.00.mp4,1533,car,2,57.2,24.5
09.00 - 10.00.mp4,1554,truck,4,58.967,21.6
09.00 - 10.00.mp4,1577,car,2,59.0,24.5
09.00 - 10.00.mp4,1600,car,2,59.8,18.6
09.00 - 10.00.mp4,1602,car,2,60.7,27.0
09.00 - 10.00.mp4,1604,truck,6,60.833,16.4
09.00 - 10.00.mp4,1631,car,2,61.3,18.0
09.00 - 10.00.mp4,1663,car,2,62.4,25.7
09.00 - 10.00.mp4,1684,truck,4,62.7,18.0
09.00 - 10.00.mp4,1745,car,3,64.633,25.7
09.00 - 10.00.mp4,1758,car,2,65.633,18.0
09.00 - 10.00.mp4,1753,truck,4,66.767,11.0
09.00 - 10.00.mp4,1811,bus,5,67.733,22.5
09.00 - 10.00.mp4,1851,car,2,68.967,27.0
09.00 - 10.00.mp4,1930,car,2,71.033,11.0
09.00 - 10.00.mp4,2078,car,2,74.867,20.0
09.00 - 10.00.mp4,2091,car,2,76.8,18.6
