video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
10.00 - 11.00.mp4,15,truck,6,2.0,20.0
10.00 - 11.00.mp4,18,car,2,2.067,7.3
10.00 - 11.00.mp4,17,car,3,2.633,17.4
10.00 - 11.00.mp4,33,bus,5,8.7,20.0
10.00 - 11.00.mp4,36,car,2,8.933,21.6
10.00 - 11.00.mp4,32,truck,4,9.7,11.5
10.00 - 11.00.mp4,60,car,2,11.267,22.5
10.00 - 11.00.mp4,143,car,2,15.9,27.0
10.00 - 11.00.mp4,134,truck,6,16.1,10.6
10.00 - 11.00.mp4,204,car,2,19.667,25.7
10.00 - 11.00.mp4,214,car,2,20.0,33.8
10.00 - 11.00.mp4,265,truck,4,22.367,14.2
10.00 - 11.00.mp4,313,car,2,24.2,28.4
10.00 - 11.00.mp4,348,car,2,27.667,18.0
10.00 - 11.00.mp4,388,car,2,27.7,22.5
10.00 - 11.00.mp4,396,car,2,28.367,22.5
10.00 - 11.00.mp4,456,car,2,31.333,19.3
10.00 - 11.00.mp4,471,car,2,31.4,20.8
10.00 - 11.00.mp4,514,car,2,32.733,22.5
10.00 - 11.00.mp4,544,truck,6,35.067,18.0
10.00 - 11.00.mp4,585,car,2,35.767,8.9
10.00 - 11.00.mp4,671,car,2,39.8,19.3
10.00 - 11.00.mp4,676,car,2,40.033,21.6
10.00 - 11.00.mp4,686,truck,6,40.767,16.9
10.00 - 11.00.mp4,734,car,2,42.067,15.9
10.00 - 11.00.mp4,772,car,3,42.9,20.0
10.00 - 11.00.mp4,784,car,2,44.467,18.6
10.00 - 11.00.mp4,795,car,2,44.467,20.0
10.00 - 11.00.mp4,798,car,2,44.9,24.5
10.00 - 11.00.mp4,876,car,2,48.367,20.0
10.00 - 11.00.mp4,936,car,2,50.733,14.2
10.00 - 11.00.mp4,939,car,2,50.767,15.0
10.00 - 11.00.mp4,944,car,2,52.267,22.5
10.00 - 11.00.mp4,953,car,2,52.933,16.4
10.00 - 11.00.mp4,1004,car,2,53.933,19.3
10.00 - 11.00.mp4,1019,truck,6,57.533,9.8
10.00 - 11.00.mp4,1135,bus,5,58.933,16.9
10.00 - 11.00.mp4,1250,car,2,64.433,18.6
10.00 - 11.00.mp4,1253,truck,6,65.433,11.3
10.00 - 11.00.mp4,1275,truck,4,65.833,17.4
10.00 - 11.00.mp4,1314,car,2,68.633,15.4
10.00 - 11.00.mp4,1360,car,2,69.833,15.0
10.00 - 11.00.mp4,1377,car,2,70.033,13.8
10.00 - 11.00.mp4,1386,bus,5,70.867,20.0
10.00 - 11.00.mp4,1407,car,2,71.467,16.9
10.00 - 11.00.mp4,1423,car,2,72.2,11.7
10.00 - 11.00.mp4,1481,truck,4,77.1,20.0
10.00 - 11.00.mp4,1500,car,2,77.167,21.6
10.00 - 11.00.mp4,1516,car,2,78.333,28.4
10.00 - 11.00.mp4,1548,car,2,79.033,15.4
10.00 - 11.00.mp4,1672,car,2,85.9,28.4
10.00 - 11.00.mp4,1712,car,2,89.267,25.7
10.00 - 11.00.mp4,1732,truck,4,91.5,13.2
10.00 - 11.00.mp4,1775,car,2,92.8,23.5
