video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
11.00 - 12.00.mp4,23,car,2,1.3,19.3
11.00 - 12.00.mp4,25,truck,6,1.467,12.3
11.00 - 12.00.mp4,99,truck,4,8.7,11.2
11.00 - 12.00.mp4,108,car,3,10.333,17.4
11.00 - 12.00.mp4,159,car,2,14.467,14.6
11.00 - 12.00.mp4,368,car,2,23.833,22.5
11.00 - 12.00.mp4,375,truck,4,24.2,12.6
11.00 - 12.00.mp4,387,car,2,24.533,16.4
11.00 - 12.00.mp4,422,car,3,25.867,12.6
11.00 - 12.00.mp4,423,bus,5,26.333,14.2
11.00 - 12.00.mp4,984,bus,5,50.3,16.9
11.00 - 12.00.mp4,1048,car,2,53.133,21.6
11.00 - 12.00.mp4,1070,truck,4,54.267,18.6
11.00 - 12.00.mp4,1108,car,2,55.133,21.6
11.00 - 12.00.mp4,1511,truck,4,75.8,11.2
11.00 - 12.00.mp4,1832,truck,6,95.4,17.4
11.00 - 12.00.mp4,1963,car,2,99.8,17.4
11.00 - 12.00.mp4,2110,truck,4,107.667,10.6
11.00 - 12.00.mp4,2156,truck,4,109.8,17.4
11.00 - 12.00.mp4,2159,truck,4,110.7,16.9
11.00 - 12.00.mp4,2266,car,2,114.733,16.9
11.00 - 12.00.mp4,2279,car,2,115.433,19.3
11.00 - 12.00.mp4,2292,car,3,116.4,16.9
11.00 - 12.00.mp4,2364,truck,6,118.7,9.5
11.00 - 12.00.mp4,2498,car,2,123.2,17.4
11.00 - 12.00.mp4,2495,truck,6,129.3,7.9
11.00 - 12.00.mp4,2627,truck,6,130.867,10.8
11.00 - 12.00.mp4,2760,car,3,135.8,19.3
11.00 - 12.00.mp4,2824,truck,6,140.3,13.5
11.00 - 12.00.mp4,2979,car,2,142.067,16.9
11.00 - 12.00.mp4,3237,car,2,152.7,24.5
11.00 - 12.00.mp4,3253,car,2,153.267,19.3
11.00 - 12.00.mp4,3350,car,2,157.7,16.9
11.00 - 12.00.mp4,3521,truck,6,167.6,11.5
11.00 - 12.00.mp4,3618,car,2,170.367,13.5
11.00 - 12.00.mp4,3649,car,2,170.5,20.8
11.00 - 12.00.mp4,3688,car,2,172.0,20.0
11.00 - 12.00.mp4,3703,car,2,172.4,20.0
11.00 - 12.00.mp4,3702,truck,4,172.5,7.7
11.00 - 12.00.mp4,3756,car,2,173.8,22.5
11.00 - 12.00.mp4,3824,truck,4,177.3,15.0
11.00 - 12.00.mp4,3859,car,2,178.9,12.3
11.00 - 12.00.mp4,3904,truck,4,182.033,7.8
11.00 - 12.00.mp4,3926,car,2,182.8,20.0
11.00 - 12.00.mp4,3957,car,2,184.2,20.0
11.00 - 12.00.mp4,3973,bus,5,185.033,18.0
11.00 - 12.00.mp4,3985,car,2,185.2,22.5
11.00 - 12.00.mp4,4016,truck,4,186.767,12.3
11.00 - 12.00.mp4,4240,car,2,194.767,22.5
11.00 - 12.00.mp4,4253,car,2,195.7,22.5
11.00 - 12.00.mp4,4325,car,2,197.967,18.0
11.00 - 12.00.mp4,4388,car,2,199.167,24.5
11.00 - 12.00.mp4,4363,truck,4,199.867,9.8
11.00 - 12.00.mp4,4534,car,2,206.5,22.5
11.00 - 12.00.mp4,4565,bus,5,208.2,18.0
11.00 - 12.00.mp4,4619,car,2,210.8,20.0
11.00 - 12.00.mp4,4657,car,2,211.833,21.6
11.00 - 12.00.mp4,4665,truck,4,212.7,11.2
11.00 - 12.00.mp4,4733,truck,4,214.9,14.6
11.00 - 12.00.mp4,4777,car,2,216.4,21.6
11.00 - 12.00.mp4,4780,truck,6,218.767,12.9
11.00 - 12.00.mp4,4877,car,2,221.167,19.3
11.00 - 12.00.mp4,4941,car,2,224.5,21.6
11.00 - 12.00.mp4,4949,car,2,225.3,22.5
11.00 - 12.00.mp4,4951,truck,6,225.633,13.2
11.00 - 12.00.mp4,5001,car,2,227.8,20.0
11.00 - 12.00.mp4,5041,truck,6,229.367,17.4
11.00 - 12.00.mp4,5042,car,2,229.933,18.0
11.00 - 12.00.mp4,5080,car,2,230.833,28.4
11.00 - 12.00.mp4,5082,truck,6,231.7,17.4
11.00 - 12.00.mp4,5151,truck,6,233.267,16.4
11.00 - 12.00.mp4,5161,car,2,233.933,21.6
11.00 - 12.00.mp4,5431,truck,4,244.5,22.5
11.00 - 12.00.mp4,5437,truck,4,245.0,19.3
11.00 - 12.00.mp4,5457,car,3,245.5,10.6
11.00 - 12.00.mp4,5498,car,2,246.7,30.0
11.00 - 12.00.mp4,5510,car,2,247.2,28.4
11.00 - 12.00.mp4,5539,bus,5,249.667,12.6
11.00 - 12.00.mp4,5597,car,2,251.833,20.8
11.00 - 12.00.mp4,5672,car,2,254.333,18.6
11.00 - 12.00.mp4,5616,truck,6,254.4,10.4
11.00 - 12.00.mp4,5673,truck,4,255.0,15.4
11.00 - 12.00.mp4,5869,car,2,265.767,21.6
11.00 - 12.00.mp4,6046,car,2,270.433,28.4
11.00 - 12.00.mp4,6067,car,2,270.967,16.4
11.00 - 12.00.mp4,6124,car,2,273.0,18.0
11.00 - 12.00.mp4,6123,truck,6,273.4,12.0
11.00 - 12.00.mp4,6102,car,2,273.567,22.5
11.00 - 12.00.mp4,6182,car,3,276.933,15.0
11.00 - 12.00.mp4,6272,car,2,283.8,16.4
11.00 - 12.00.mp4,6289,car,2,284.733,22.5
11.00 - 12.00.mp4,6304,car,3,285.533,20.0
11.00 - 12.00.mp4,6295,car,2,285.733,16.4
11.00 - 12.00.mp4,6720,car,2,305.0,20.0
11.00 - 12.00.mp4,6853,bus,5,311.667,18.6
11.00 - 12.00.mp4,6864,car,2,312.533,20.8
11.00 - 12.00.mp4,7066,car,2,321.967,45.0
11.00 - 12.00.mp4,7090,car,2,323.067,15.4
11.00 - 12.00.mp4,7127,car,2,324.5,27.0
11.00 - 12.00.mp4,7135,car,2,325.033,25.7
11.00 - 12.00.mp4,7211,truck,4,328.467,13.5
11.00 - 12.00.mp4,7262,truck,4,330.267,14.6
11.00 - 12.00.mp4,7360,car,2,336.5,16.4
11.00 - 12.00.mp4,7376,car,2,336.867,33.8
11.00 - 12.00.mp4,7493,car,2,342.767,17.4
11.00 - 12.00.mp4,7745,car,2,353.367,24.5
11.00 - 12.00.mp4,7867,car,2,358.9,18.6
11.00 - 12.00.mp4,8010,truck,6,364.9,7.0
11.00 - 12.00.mp4,8122,truck,6,369.367,15.4
11.00 - 12.00.mp4,8284,car,2,375.167,25.7
11.00 - 12.00.mp4,8289,bus,5,375.933,20.8
11.00 - 12.00.mp4,8337,truck,6,378.233,13.2
11.00 - 12.00.mp4,8343,truck,4,379.533,17.4
11.00 - 12.00.mp4,8451,car,2,382.467,23.5
11.00 - 12.00.mp4,8565,truck,6,391.567,14.6
11.00 - 12.00.mp4,8629,truck,4,394.9,13.5
11.00 - 12.00.mp4,8648,car,2,396.4,20.0
11.00 - 12.00.mp4,8652,car,2,396.967,18.0
11.00 - 12.00.mp4,8676,truck,4,398.4,10.8
11.00 - 12.00.mp4,8677,car,2,398.733,21.6
11.00 - 12.00.mp4,8758,bus,5,402.467,16.9
11.00 - 12.00.mp4,8763,car,2,403.167,22.5
11.00 - 12.00.mp4,8716,truck,6,404.7,11.0
11.00 - 12.00.mp4,8774,bus,5,404.7,16.9
11.00 - 12.00.mp4,8816,car,3,405.8,19.3
11.00 - 12.00.mp4,8897,car,2,410.167,20.0
11.00 - 12.00.mp4,8909,car,2,411.1,20.8
11.00 - 12.00.mp4,8900,car,2,411.167,20.8
11.00 - 12.00.mp4,8914,car,2,411.933,21.6
11.00 - 12.00.mp4,8957,car,2,413.767,19.3
11.00 - 12.00.mp4,9002,car,2,416.533,18.6
11.00 - 12.00.mp4,9281,car,2,429.767,33.8
11.00 - 12.00.mp4,9279,car,2,429.8,22.5
11.00 - 12.00.mp4,9336,bus,5,432.5,23.5
11.00 - 12.00.mp4,9397,car,2,436.033,20.8
11.00 - 12.00.mp4,9494,truck,4,440.867,14.2
11.00 - 12.00.mp4,9539,car,2,442.067,19.3
11.00 - 12.00.mp4,9785,truck,4,455.033,16.9
11.00 - 12.00.mp4,9743,truck,6,455.367,13.5
11.00 - 12.00.mp4,9796,car,2,455.567,23.5
11.00 - 12.00.mp4,9825,car,2,457.833,18.0
11.00 - 12.00.mp4,9947,car,2,465.1,19.3
11.00 - 12.00.mp4,10038,car,2,469.467,20.8
11.00 - 12.00.mp4,10067,bus,5,470.5,15.9
11.00 - 12.00.mp4,10111,car,2,471.833,16.4
11.00 - 12.00.mp4,10193,truck,6,474.333,7.2
11.00 - 12.00.mp4,10266,car,2,477.767,17.4
11.00 - 12.00.mp4,10265,truck,4,478.233,7.7
11.00 - 12.00.mp4,10264,truck,6,478.867,7.8
11.00 - 12.00.mp4,10295,car,2,478.933,14.6
11.00 - 12.00.mp4,10284,car,2,479.0,13.2
11.00 - 12.00.mp4,10346,truck,6,483.567,9.8
11.00 - 12.00.mp4,10360,truck,4,484.5,9.5
11.00 - 12.00.mp4,10543,truck,6,495.533,10.0
11.00 - 12.00.mp4,10583,car,2,496.533,20.0
11.00 - 12.00.mp4,10641,truck,4,500.167,10.6
11.00 - 12.00.mp4,10674,car,2,500.833,22.5
11.00 - 12.00.mp4,10678,truck,6,501.133,13.8
11.00 - 12.00.mp4,10717,bus,5,503.833,23.5
11.00 - 12.00.mp4,10784,truck,4,507.233,10.8
11.00 - 12.00.mp4,10969,bus,5,514.867,23.5
11.00 - 12.00.mp4,11027,car,2,518.067,28.4
11.00 - 12.00.mp4,11033,truck,6,518.2,20.0
11.00 - 12.00.mp4,11060,car,2,519.4,20.0
11.00 - 12.00.mp4,11061,car,2,519.967,20.0
11.00 - 12.00.mp4,11146,car,2,524.933,25.7
11.00 - 12.00.mp4,11148,bus,5,525.433,21.6
11.00 - 12.00.mp4,11227,bus,5,529.733,21.6
11.00 - 12.00.mp4,11314,car,2,534.3,15.9
11.00 - 12.00.mp4,11366,truck,4,537.333,13.5
11.00 - 12.00.mp4,11522,truck,6,547.733,12.6
11.00 - 12.00.mp4,11566,truck,4,550.733,8.6
11.00 - 12.00.mp4,11651,car,2,551.233,18.6
11.00 - 12.00.mp4,11670,car,2,552.4,19.3
11.00 - 12.00.mp4,11750,car,2,557.133,24.5
11.00 - 12.00.mp4,11825,car,2,560.033,19.3
11.00 - 12.00.mp4,11818,car,2,560.067,18.0
11.00 - 12.00.mp4,11857,truck,4,562.067,28.4
11.00 - 12.00.mp4,12004,truck,6,570.7,9.5
11.00 - 12.00.mp4,12031,car,2,570.833,24.5
11.00 - 12.00.mp4,12050,truck,6,572.9,16.9
11.00 - 12.00.mp4,12227,bus,5,579.867,30.0
11.00 - 12.00.mp4,12274,truck,4,582.233,10.0
11.00 - 12.00.mp4,12357,car,2,585.833,22.5
11.00 - 12.00.mp4,12464,car,3,591.7,23.5
11.00 - 12.00.mp4,12449,car,2,591.767,24.5
11.00 - 12.00.mp4,12491,car,2,593.2,18.6
11.00 - 12.00.mp4,12495,car,2,593.2,20.0
11.00 - 12.00.mp4,12475,truck,4,593.4,14.6
11.00 - 12.00.mp4,12683,bus,5,599.133,20.0
11.00 - 12.00.mp4,13108,car,2,616.067,23.5
11.00 - 12.00.mp4,13380,car,2,628.5,20.0
11.00 - 12.00.mp4,13423,truck,6,630.233,10.8
11.00 - 12.00.mp4,13636,truck,6,641.033,15.0
11.00 - 12.00.mp4,13633,car,2,641.3,21.6
11.00 - 12.00.mp4,13682,car,2,643.633,25.7
11.00 - 12.00.mp4,13678,car,2,643.7,15.0
11.00 - 12.00.mp4,13833,car,2,650.633,28.4
11.00 - 12.00.mp4,13883,car,3,653.8,15.4
11.00 - 12.00.mp4,13957,truck,4,657.333,18.0
11.00 - 12.00.mp4,14023,car,2,661.4,22.5
11.00 - 12.00.mp4,14044,truck,4,664.033,10.2
11.00 - 12.00.mp4,14251,truck,4,673.933,11.2
11.00 - 12.00.mp4,14457,truck,4,682.933,15.0
11.00 - 12.00.mp4,14502,car,2,686.233,20.8
11.00 - 12.00.mp4,14789,bus,5,703.2,18.6
11.00 - 12.00.mp4,14904,car,2,707.933,23.5
11.00 - 12.00.mp4,15183,car,2,721.2,15.9
11.00 - 12.00.mp4,15179,car,2,721.933,19.3
11.00 - 12.00.mp4,15191,car,2,722.633,18.0
11.00 - 12.00.mp4,15200,car,2,722.767,20.0
11.00 - 12.00.mp4,15221,car,2,723.3,13.8
11.00 - 12.00.mp4,15215,truck,6,723.567,8.2
11.00 - 12.00.mp4,15237,car,2,723.9,15.4
11.00 - 12.00.mp4,15251,car,2,725.3,16.9
