video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
12.00 - 13.00.mp4,9,car,2,3.533,18.0
12.00 - 13.00.mp4,10,car,2,4.733,18.0
12.00 - 13.00.mp4,12,truck,4,7.3,15.4
12.00 - 13.00.mp4,17,car,2,7.8,17.4
12.00 - 13.00.mp4,29,car,2,9.433,18.0
12.00 - 13.00.mp4,27,car,2,9.6,17.4
12.00 - 13.00.mp4,34,car,2,10.2,18.6
12.00 - 13.00.mp4,35,car,2,10.6,19.3
12.00 - 13.00.mp4,31,car,2,10.9,18.0
12.00 - 13.00.mp4,40,car,2,11.433,20.0
12.00 - 13.00.mp4,47,car,2,14.533,22.5
12.00 - 13.00.mp4,50,car,3,15.033,20.0
12.00 - 13.00.mp4,58,car,2,17.033,19.3
12.00 - 13.00.mp4,63,car,2,17.067,20.8
12.00 - 13.00.mp4,71,car,2,21.467,18.6
12.00 - 13.00.mp4,81,car,2,25.633,16.4
12.00 - 13.00.mp4,87,car,2,26.667,16.9
12.00 - 13.00.mp4,88,car,2,27.933,16.9
12.00 - 13.00.mp4,86,truck,6,29.367,9.0
12.00 - 13.00.mp4,97,car,2,29.8,18.0
12.00 - 13.00.mp4,98,car,2,29.867,19.3
12.00 - 13.00.mp4,105,truck,7,31.467,8.9
12.00 - 13.00.mp4,106,car,2,31.733,17.4
12.00 - 13.00.mp4,111,car,2,32.667,16.9
12.00 - 13.00.mp4,118,car,2,34.033,15.9
12.00 - 13.00.mp4,132,car,2,34.233,10.2
12.00 - 13.00.mp4,120,truck,6,34.433,10.0
12.00 - 13.00.mp4,139,car,2,35.033,19.3
12.00 - 13.00.mp4,145,car,2,35.467,13.2
12.00 - 13.00.mp4,140,car,2,35.867,12.3
12.00 - 13.00.mp4,149,car,2,36.3,13.5
12.00 - 13.00.mp4,156,bus,5,37.0,13.2
12.00 - 13.00.mp4,166,car,2,39.567,12.9
12.00 - 13.00.mp4,170,car,2,40.1,11.0
12.00 - 13.00.mp4,179,car,2,42.767,11.5
12.00 - 13.00.mp4,180,car,3,43.133,16.4
12.00 - 13.00.mp4,190,car,2,45.6,13.2
12.00 - 13.00.mp4,189,car,2,45.7,23.5
12.00 - 13.00.mp4,195,car,2,48.933,15.9
12.00 - 13.00.mp4,200,car,3,50.0,12.0
12.00 - 13.00.mp4,196,car,3,50.033,20.0
12.00 - 13.00.mp4,199,car,2,50.267,21.6
12.00 - 13.00.mp4,211,bus,5,53.233,22.5
12.00 - 13.00.mp4,216,truck,6,54.567,7.2
12.00 - 13.00.mp4,214,truck,4,55.067,17.4
12.00 - 13.00.mp4,231,car,2,58.1,16.4
12.00 - 13.00.mp4,240,car,2,58.633,21.6
12.00 - 13.00.mp4,248,car,3,59.067,16.4
12.00 - 13.00.mp4,251,car,2,59.6,20.8
12.00 - 13.00.mp4,255,car,2,60.167,17.4
12.00 - 13.00.mp4,270,car,2,61.733,14.6
12.00 - 13.00.mp4,271,car,2,61.833,20.8
12.00 - 13.00.mp4,264,car,3,61.833,15.0
12.00 - 13.00.mp4,274,truck,6,63.867,12.9
12.00 - 13.00.mp4,292,car,2,65.367,16.4
12.00 - 13.00.mp4,295,truck,4,65.833,16.4
12.00 - 13.00.mp4,298,truck,6,66.5,16.9
12.00 - 13.00.mp4,293,car,3,66.533,9.6
12.00 - 13.00.mp4,315,car,2,67.633,21.6
12.00 - 13.00.mp4,311,car,2,67.7,14.2
12.00 - 13.00.mp4,326,truck,6,69.867,12.9
12.00 - 13.00.mp4,340,truck,4,72.033,20.8
12.00 - 13.00.mp4,347,car,2,72.533,25.7
12.00 - 13.00.mp4,362,car,2,83.267,18.6
12.00 - 13.00.mp4,378,car,2,88.067,22.5
12.00 - 13.00.mp4,382,car,2,88.933,18.6
12.00 - 13.00.mp4,383,truck,6,90.867,20.0
12.00 - 13.00.mp4,390,car,2,90.867,24.5
12.00 - 13.00.mp4,399,car,2,93.367,20.8
12.00 - 13.00.mp4,404,car,2,94.133,25.7
12.00 - 13.00.mp4,426,car,2,100.0,33.8
12.00 - 13.00.mp4,431,truck,6,102.467,13.5
12.00 - 13.00.mp4,446,truck,6,107.967,14.6
12.00 - 13.00.mp4,445,car,2,108.133,18.6
12.00 - 13.00.mp4,475,car,3,112.733,33.7
12.00 - 13.00.mp4,477,car,2,112.933,28.4
12.00 - 13.00.mp4,479,truck,4,113.433,15.9
12.00 - 13.00.mp4,484,truck,6,115.033,16.9
12.00 - 13.00.mp4,517,car,2,120.9,21.6
12.00 - 13.00.mp4,525,truck,6,126.233,13.8
12.00 - 13.00.mp4,528,truck,6,127.5,9.5
12.00 - 13.00.mp4,537,car,2,129.933,22.5
12.00 - 13.00.mp4,540,car,2,130.5,20.8
12.00 - 13.00.mp4,542,car,2,132.2,22.5
12.00 - 13.00.mp4,545,car,2,133.1,19.3
12.00 - 13.00.mp4,556,truck,4,139.233,6.8
12.00 - 13.00.mp4,576,truck,4,142.9,21.6
12.00 - 13.00.mp4,584,car,3,145.933,21.6
12.00 - 13.00.mp4,585,truck,6,146.8,18.0
12.00 - 13.00.mp4,601,car,3,147.2,27.0
12.00 - 13.00.mp4,602,truck,6,147.733,11.7
12.00 - 13.00.mp4,628,truck,4,151.1,7.7
12.00 - 13.00.mp4,638,car,2,151.333,20.8
12.00 - 13.00.mp4,690,car,2,154.267,16.4
12.00 - 13.00.mp4,688,truck,4,154.433,11.5
12.00 - 13.00.mp4,704,car,2,156.533,19.3
12.00 - 13.00.mp4,711,car,2,158.267,20.0
12.00 - 13.00.mp4,717,car,2,160.967,17.4
12.00 - 13.00.mp4,731,car,2,162.0,9.5
12.00 - 13.00.mp4,729,truck,4,162.8,15.4
12.00 - 13.00.mp4,750,car,2,163.867,18.6
12.00 - 13.00.mp4,760,truck,4,169.867,5.9
12.00 - 13.00.mp4,773,truck,6,171.767,8.4
12.00 - 13.00.mp4,797,car,2,172.167,9.8
12.00 - 13.00.mp4,808,car,2,173.8,23.5
12.00 - 13.00.mp4,827,car,2,175.9,22.5
12.00 - 13.00.mp4,832,car,2,177.3,20.0
12.00 - 13.00.mp4,831,car,2,177.667,27.0
12.00 - 13.00.mp4,867,truck,6,182.733,12.9
12.00 - 13.00.mp4,881,car,2,184.967,41.5
12.00 - 13.00.mp4,897,car,2,190.433,20.0
12.00 - 13.00.mp4,903,truck,4,192.233,14.2
12.00 - 13.00.mp4,957,car,2,204.833,31.8
12.00 - 13.00.mp4,981,truck,4,207.633,12.0
12.00 - 13.00.mp4,1002,bus,5,208.567,15.0
12.00 - 13.00.mp4,1019,bus,5,217.1,20.0
12.00 - 13.00.mp4,1021,truck,4,217.1,12.6
12.00 - 13.00.mp4,1041,bus,5,223.233,19.3
12.00 - 13.00.mp4,1048,car,2,224.3,15.4
12.00 - 13.00.mp4,1058,truck,6,225.567,12.3
12.00 - 13.00.mp4,1052,truck,6,225.633,13.2
12.00 - 13.00.mp4,1059,car,2,226.467,17.4
12.00 - 13.00.mp4,1074,truck,6,228.5,15.0
12.00 - 13.00.mp4,1101,truck,6,233.433,13.5
12.00 - 13.00.mp4,1137,car,2,235.967,22.5
12.00 - 13.00.mp4,1141,car,2,236.9,20.0
12.00 - 13.00.mp4,1157,truck,4,247.233,15.9
12.00 - 13.00.mp4,1209,truck,6,251.4,12.0
12.00 - 13.00.mp4,1217,car,2,251.833,21.6
12.00 - 13.00.mp4,1242,car,2,255.1,25.7
12.00 - 13.00.mp4,1270,car,2,258.0,16.4
12.00 - 13.00.mp4,1284,car,2,260.4,18.6
12.00 - 13.00.mp4,1292,car,2,263.133,20.0
12.00 - 13.00.mp4,1295,truck,6,264.7,4.3
12.00 - 13.00.mp4,1296,car,2,266.333,24.5
12.00 - 13.00.mp4,1303,car,2,266.833,20.0
12.00 - 13.00.mp4,1315,car,2,268.9,17.4
12.00 - 13.00.mp4,1318,car,2,269.633,13.8
12.00 - 13.00.mp4,1319,truck,4,270.633,14.6
12.00 - 13.00.mp4,1335,truck,4,272.267,17.4
12.00 - 13.00.mp4,1377,car,2,279.0,18.0
12.00 - 13.00.mp4,1381,car,2,281.3,24.5
12.00 - 13.00.mp4,1384,car,2,281.9,9.5
12.00 - 13.00.mp4,1408,car,2,285.3,24.5
12.00 - 13.00.mp4,1424,car,2,289.5,21.6
12.00 - 13.00.mp4,1427,truck,6,292.2,12.3
12.00 - 13.00.mp4,1434,car,2,292.2,20.8
12.00 - 13.00.mp4,1435,car,2,293.267,21.6
12.00 - 13.00.mp4,1441,car,2,294.067,23.5
12.00 - 13.00.mp4,1446,car,2,296.1,22.5
12.00 - 13.00.mp4,1452,car,2,299.933,23.5
12.00 - 13.00.mp4,1465,car,2,304.867,22.5
12.00 - 13.00.mp4,1469,car,2,306.9,23.5
12.00 - 13.00.mp4,1480,car,2,309.967,21.6
12.00 - 13.00.mp4,1470,truck,6,310.733,8.4
12.00 - 13.00.mp4,1490,truck,6,311.833,15.4
12.00 - 13.00.mp4,1495,truck,6,313.267,14.6
12.00 - 13.00.mp4,1499,car,2,314.267,22.5
12.00 - 13.00.mp4,1515,car,2,318.933,19.3
12.00 - 13.00.mp4,1520,car,2,320.333,15.4
12.00 - 13.00.mp4,1521,truck,4,320.667,20.0
12.00 - 13.00.mp4,1526,car,2,321.433,18.6
12.00 - 13.00.mp4,1519,truck,6,322.067,12.0
12.00 - 13.00.mp4,1531,car,2,322.1,17.4
12.00 - 13.00.mp4,1537,truck,6,323.467,12.3
12.00 - 13.00.mp4,1558,truck,6,325.8,20.0
12.00 - 13.00.mp4,1577,car,2,325.8,16.9
12.00 - 13.00.mp4,1586,car,2,326.733,18.0
12.00 - 13.00.mp4,1594,truck,4,327.7,13.2
12.00 - 13.00.mp4,1596,car,2,328.233,18.0
12.00 - 13.00.mp4,1598,car,2,328.667,19.3
12.00 - 13.00.mp4,1606,car,2,332.2,20.8
12.00 - 13.00.mp4,1608,bus,5,333.467,17.4
12.00 - 13.00.mp4,1614,car,2,334.933,19.3
12.00 - 13.00.mp4,1618,truck,6,335.333,15.9
12.00 - 13.00.mp4,1620,car,2,336.6,20.8
12.00 - 13.00.mp4,1622,car,2,337.067,18.0
12.00 - 13.00.mp4,1623,bus,5,337.733,20.0
12.00 - 13.00.mp4,1640,truck,6,341.4,10.0
12.00 - 13.00.mp4,1663,car,2,341.933,19.3
12.00 - 13.00.mp4,1657,truck,6,342.7,15.0
12.00 - 13.00.mp4,1666,truck,4,344.633,10.6
12.00 - 13.00.mp4,1684,car,2,347.733,19.3
12.00 - 13.00.mp4,1689,car,2,349.733,20.0
12.00 - 13.00.mp4,1686,truck,4,350.133,15.9
12.00 - 13.00.mp4,1691,car,2,350.767,20.0
12.00 - 13.00.mp4,1703,car,2,353.833,17.4
12.00 - 13.00.mp4,1705,car,2,355.267,15.9
12.00 - 13.00.mp4,1708,car,2,355.633,21.6
12.00 - 13.00.mp4,1714,car,2,356.233,20.8
12.00 - 13.00.mp4,1713,car,2,356.933,17.4
12.00 - 13.00.mp4,1719,car,2,357.2,20.8
12.00 - 13.00.mp4,1739,car,2,369.033,15.4
12.00 - 13.00.mp4,1751,car,2,372.2,24.5
12.00 - 13.00.mp4,1767,car,2,376.667,23.5
12.00 - 13.00.mp4,1774,car,2,379.567,21.6
12.00 - 13.00.mp4,1776,car,2,381.6,20.8
12.00 - 13.00.mp4,1777,car,2,382.267,25.7
12.00 - 13.00.mp4,1784,car,2,384.467,15.4
12.00 - 13.00.mp4,1785,truck,4,386.233,15.0
12.00 - 13.00.mp4,1796,truck,4,392.333,12.3
12.00 - 13.00.mp4,1800,car,2,395.467,22.5
12.00 - 13.00.mp4,1802,car,2,397.7,20.0
12.00 - 13.00.mp4,1804,car,2,398.133,23.5
12.00 - 13.00.mp4,1809,car,2,401.333,22.5
12.00 - 13.00.mp4,1805,truck,6,403.067,11.7
12.00 - 13.00.mp4,1816,car,2,403.8,20.0
12.00 - 13.00.mp4,1814,bus,5,404.9,14.2
12.00 - 13.00.mp4,1819,car,2,405.0,20.8
12.00 - 13.00.mp4,1826,car,2,406.067,19.3
12.00 - 13.00.mp4,1829,truck,6,406.9,12.9
12.00 - 13.00.mp4,1847,car,2,407.267,19.3
12.00 - 13.00.mp4,1845,truck,6,407.467,9.0
12.00 - 13.00.mp4,1853,car,2,407.867,22.5
12.00 - 13.00.mp4,1860,truck,4,408.4,16.4
12.00 - 13.00.mp4,1873,truck,4,409.8,15.0
12.00 - 13.00.mp4,1885,car,3,413.467,18.0
12.00 - 13.00.mp4,1907,car,2,416.0,17.4
12.00 - 13.00.mp4,1899,truck,4,416.4,18.0
12.00 - 13.00.mp4,1908,car,2,416.5,18.6
12.00 - 13.00.mp4,1909,car,2,417.9,18.6
12.00 - 13.00.mp4,1911,car,2,418.4,16.4
12.00 - 13.00.mp4,1914,truck,4,420.167,10.4
12.00 - 13.00.mp4,1921,car,2,420.333,17.4
12.00 - 13.00.mp4,1918,bus,5,420.667,19.3
12.00 - 13.00.mp4,1936,car,2,421.5,20.0
12.00 - 13.00.mp4,1939,car,2,422.233,18.0
