video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
13.00 - 14.00.mp4,84,car,2,5.667,18.6
13.00 - 14.00.mp4,155,car,3,10.233,16.4
13.00 - 14.00.mp4,223,truck,4,14.367,8.6
13.00 - 14.00.mp4,220,truck,6,15.067,10.2
13.00 - 14.00.mp4,281,car,2,16.833,8.9
13.00 - 14.00.mp4,310,truck,4,19.067,10.0
13.00 - 14.00.mp4,341,truck,6,20.767,11.5
13.00 - 14.00.mp4,340,car,2,20.767,13.2
13.00 - 14.00.mp4,395,truck,6,23.2,6.7
13.00 - 14.00.mp4,441,car,2,24.3,13.8
13.00 - 14.00.mp4,488,car,2,26.167,13.5
13.00 - 14.00.mp4,497,truck,6,28.267,7.3
13.00 - 14.00.mp4,576,truck,6,29.867,11.5
13.00 - 14.00.mp4,592,truck,4,31.233,16.4
13.00 - 14.00.mp4,674,car,2,34.367,14.2
13.00 - 14.00.mp4,677,car,2,34.533,15.4
13.00 - 14.00.mp4,1028,car,2,50.267,15.0
13.00 - 14.00.mp4,1119,car,2,53.167,13.8
13.00 - 14.00.mp4,1260,car,2,60.467,13.5
13.00 - 14.00.mp4,1358,truck,6,69.067,9.5
13.00 - 14.00.mp4,1493,bus,5,73.2,19.3
13.00 - 14.00.mp4,1523,truck,6,73.6,13.8
13.00 - 14.00.mp4,1529,car,2,73.633,18.0
13.00 - 14.00.mp4,1508,car,3,73.667,12.3
13.00 - 14.00.mp4,1535,car,2,73.833,22.5
13.00 - 14.00.mp4,1695,car,2,83.733,20.0
13.00 - 14.00.mp4,1753,truck,4,86.767,12.9
13.00 - 14.00.mp4,2032,car,2,102.733,10.8
13.00 - 14.00.mp4,2157,car,3,110.167,10.4
13.00 - 14.00.mp4,2285,truck,6,117.1,7.6
13.00 - 14.00.mp4,2503,car,2,123.5,12.9
13.00 - 14.00.mp4,2681,bus,5,131.533,12.0
13.00 - 14.00.mp4,2769,bus,5,135.667,15.0
13.00 - 14.00.mp4,2841,car,2,136.9,7.3
13.00 - 14.00.mp4,2795,truck,4,137.733,9.3
13.00 - 14.00.mp4,2897,car,2,139.333,17.4
13.00 - 14.00.mp4,2973,truck,4,142.567,11.5
13.00 - 14.00.mp4,2991,truck,4,144.067,7.9
13.00 - 14.00.mp4,3042,car,2,144.1,13.8
13.00 - 14.00.mp4,3302,truck,6,156.233,11.7
13.00 - 14.00.mp4,3367,truck,7,162.1,6.8
13.00 - 14.00.mp4,3681,truck,6,171.7,12.6
13.00 - 14.00.mp4,3818,truck,4,177.033,15.9
13.00 - 14.00.mp4,3894,car,3,181.2,14.2
13.00 - 14.00.mp4,4052,car,2,187.367,12.6
13.00 - 14.00.mp4,4028,truck,6,187.467,12.3
13.00 - 14.00.mp4,4061,car,2,188.267,13.2
13.00 - 14.00.mp4,4096,truck,6,189.367,11.5
13.00 - 14.00.mp4,4211,truck,4,194.667,10.0
13.00 - 14.00.mp4,4286,truck,6,197.167,10.8
13.00 - 14.00.mp4,4376,car,2,200.033,14.2
13.00 - 14.00.mp4,4399,truck,6,204.767,8.2
13.00 - 14.00.mp4,4519,truck,4,205.967,12.6
13.00 - 14.00.mp4,4524,car,2,206.067,18.6
13.00 - 14.00.mp4,4528,car,2,207.367,9.5
13.00 - 14.00.mp4,4547,truck,4,208.833,12.0
13.00 - 14.00.mp4,4636,car,2,211.833,17.4
13.00 - 14.00.mp4,4632,truck,6,211.9,9.3
13.00 - 14.00.mp4,4731,car,2,215.567,13.8
13.00 - 14.00.mp4,4761,car,3,216.367,14.2
13.00 - 14.00.mp4,4782,car,2,216.833,15.0
13.00 - 14.00.mp4,4856,truck,6,221.7,9.8
13.00 - 14.00.mp4,4885,car,2,223.333,11.7
13.00 - 14.00.mp4,4897,truck,6,223.533,9.8
13.00 - 14.00.mp4,4942,car,2,225.433,16.4
13.00 - 14.00.mp4,4946,truck,7,227.033,6.8
13.00 - 14.00.mp4,5007,truck,7,230.367,6.3
13.00 - 14.00.mp4,5055,car,2,230.867,13.8
13.00 - 14.00.mp4,5111,truck,6,232.433,8.2
13.00 - 14.00.mp4,5217,car,2,235.733,15.4
13.00 - 14.00.mp4,5232,car,2,236.433,15.0
13.00 - 14.00.mp4,5228,car,3,237.267,12.9
13.00 - 14.00.mp4,5268,truck,6,237.367,12.0
13.00 - 14.00.mp4,5426,car,2,244.933,16.4
13.00 - 14.00.mp4,5497,car,2,247.633,18.0
13.00 - 14.00.mp4,5528,car,2,248.833,15.4
13.00 - 14.00.mp4,5534,truck,6,250.9,7.1
13.00 - 14.00.mp4,5578,car,3,252.9,12.3
13.00 - 14.00.mp4,5691,car,2,257.733,13.2
13.00 - 14.00.mp4,5760,bus,5,262.167,10.8
13.00 - 14.00.mp4,5959,car,2,268.133,18.0
13.00 - 14.00.mp4,5789,truck,6,268.533,5.6
13.00 - 14.00.mp4,6247,truck,6,284.767,13.8
13.00 - 14.00.mp4,6286,truck,6,286.433,6.3
13.00 - 14.00.mp4,6296,car,2,287.1,15.9
13.00 - 14.00.mp4,6402,car,3,290.6,12.3
13.00 - 14.00.mp4,6512,car,2,296.433,9.3
13.00 - 14.00.mp4,6566,car,2,298.0,14.6
13.00 - 14.00.mp4,6617,car,2,301.267,13.5
13.00 - 14.00.mp4,6653,truck,6,302.8,12.6
13.00 - 14.00.mp4,6837,car,2,312.467,16.4
13.00 - 14.00.mp4,6825,truck,4,312.6,9.2
13.00 - 14.00.mp4,6912,truck,4,317.433,7.5
13.00 - 14.00.mp4,6959,car,2,318.767,9.3
13.00 - 14.00.mp4,6968,truck,4,319.733,8.4
13.00 - 14.00.mp4,7053,car,2,323.1,18.6
13.00 - 14.00.mp4,7142,truck,4,328.233,9.5
13.00 - 14.00.mp4,7280,truck,7,335.067,8.6
13.00 - 14.00.mp4,7370,truck,4,338.933,13.2
13.00 - 14.00.mp4,7384,car,2,339.567,14.6
13.00 - 14.00.mp4,7423,car,2,340.833,13.8
13.00 - 14.00.mp4,7441,truck,4,343.433,10.2
13.00 - 14.00.mp4,7583,car,2,347.533,16.4
13.00 - 14.00.mp4,7639,car,2,350.833,21.6
13.00 - 14.00.mp4,7614,car,2,350.967,9.8
13.00 - 14.00.mp4,7716,truck,4,354.333,10.4
13.00 - 14.00.mp4,7767,car,2,355.267,15.0
13.00 - 14.00.mp4,7839,car,2,358.333,11.7
13.00 - 14.00.mp4,7932,truck,6,365.367,9.5
13.00 - 14.00.mp4,7983,car,2,365.733,13.2
13.00 - 14.00.mp4,8130,car,3,371.733,14.6
13.00 - 14.00.mp4,8078,truck,6,372.767,3.9
13.00 - 14.00.mp4,8232,car,2,374.933,16.4
13.00 - 14.00.mp4,8226,truck,6,375.167,12.0
13.00 - 14.00.mp4,8300,truck,6,378.667,7.3
13.00 - 14.00.mp4,8301,car,2,379.367,8.9
13.00 - 14.00.mp4,8325,truck,4,379.467,11.2
13.00 - 14.00.mp4,8632,car,2,397.433,12.9
13.00 - 14.00.mp4,8624,truck,4,398.067,6.7
13.00 - 14.00.mp4,8647,truck,6,402.767,4.5
13.00 - 14.00.mp4,8773,truck,6,406.233,8.7
13.00 - 14.00.mp4,8828,truck,6,413.467,4.7
13.00 - 14.00.mp4,8922,car,2,413.967,18.6
13.00 - 14.00.mp4,9010,car,2,420.667,12.6
13.00 - 14.00.mp4,9089,car,2,422.533,13.8
13.00 - 14.00.mp4,9113,truck,7,423.567,8.2
13.00 - 14.00.mp4,9173,truck,6,426.133,10.8
13.00 - 14.00.mp4,9212,car,2,428.467,14.6
13.00 - 14.00.mp4,9250,car,2,430.933,18.0
13.00 - 14.00.mp4,9272,car,2,432.033,16.9
13.00 - 14.00.mp4,9390,car,2,437.733,13.8
13.00 - 14.00.mp4,9444,truck,6,440.867,13.8
13.00 - 14.00.mp4,9724,truck,6,456.367,11.7
13.00 - 14.00.mp4,9727,truck,4,457.3,12.9
13.00 - 14.00.mp4,9754,car,2,458.533,13.8
13.00 - 14.00.mp4,9848,truck,4,462.967,12.9
13.00 - 14.00.mp4,9980,bus,5,469.333,10.8
13.00 - 14.00.mp4,10015,truck,6,471.6,6.4
13.00 - 14.00.mp4,10051,car,2,472.733,15.9
13.00 - 14.00.mp4,10083,car,2,473.767,13.5
13.00 - 14.00.mp4,10135,truck,4,475.633,9.0
13.00 - 14.00.mp4,10114,truck,6,476.167,14.2
13.00 - 14.00.mp4,10401,car,2,488.1,20.0
13.00 - 14.00.mp4,10537,car,2,496.3,15.4
13.00 - 14.00.mp4,10490,truck,6,499.1,6.7
