video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
14.00 - 15.00.mp4,7,car,2,2.3,20.0
14.00 - 15.00.mp4,10,car,2,2.433,23.5
14.00 - 15.00.mp4,38,car,2,10.267,20.0
14.00 - 15.00.mp4,78,car,2,12.6,19.3
14.00 - 15.00.mp4,86,car,2,13.5,10.4
14.00 - 15.00.mp4,132,car,2,14.0,20.0
14.00 - 15.00.mp4,148,car,2,14.3,20.0
14.00 - 15.00.mp4,154,truck,4,15.9,10.4
14.00 - 15.00.mp4,230,car,2,16.0,20.0
14.00 - 15.00.mp4,214,truck,6,16.633,20.0
14.00 - 15.00.mp4,258,car,2,17.3,20.0
14.00 - 15.00.mp4,255,car,2,18.067,10.4
14.00 - 15.00.mp4,302,car,2,19.333,20.0
14.00 - 15.00.mp4,384,car,2,22.367,20.0
14.00 - 15.00.mp4,372,car,3,22.367,27.0
14.00 - 15.00.mp4,397,truck,4,23.267,10.4
14.00 - 15.00.mp4,421,car,2,24.233,20.0
14.00 - 15.00.mp4,312,truck,6,24.3,6.8
14.00 - 15.00.mp4,423,car,2,24.867,10.4
14.00 - 15.00.mp4,479,car,2,25.367,20.0
14.00 - 15.00.mp4,489,truck,6,27.367,8.6
14.00 - 15.00.mp4,610,car,2,31.333,10.4
14.00 - 15.00.mp4,640,car,2,31.967,20.0
14.00 - 15.00.mp4,673,car,2,33.167,13.8
14.00 - 15.00.mp4,731,car,2,35.067,20.0
14.00 - 15.00.mp4,755,truck,4,35.467,20.0
14.00 - 15.00.mp4,802,truck,4,38.0,21.6
14.00 - 15.00.mp4,807,truck,4,38.167,13.5
14.00 - 15.00.mp4,861,car,2,39.433,20.0
14.00 - 15.00.mp4,886,car,2,40.567,20.0
14.00 - 15.00.mp4,936,car,2,43.3,20.0
14.00 - 15.00.mp4,928,truck,4,43.733,24.5
14.00 - 15.00.mp4,995,truck,6,46.167,20.8
14.00 - 15.00.mp4,1105,car,2,49.533,24.5
14.00 - 15.00.mp4,1091,truck,4,49.9,12.9
14.00 - 15.00.mp4,1216,truck,6,52.633,20.0
14.00 - 15.00.mp4,1219,truck,6,53.1,5.0
14.00 - 15.00.mp4,1227,truck,4,54.367,14.6
14.00 - 15.00.mp4,1287,truck,4,55.6,20.0
14.00 - 15.00.mp4,1329,car,2,55.833,20.0
14.00 - 15.00.mp4,1331,car,3,56.267,20.0
14.00 - 15.00.mp4,1351,car,2,58.267,10.4
14.00 - 15.00.mp4,1401,car,2,59.2,30.0
14.00 - 15.00.mp4,1424,car,2,59.333,20.0
14.00 - 15.00.mp4,1454,car,2,60.533,20.0
14.00 - 15.00.mp4,1555,truck,6,65.467,15.9
14.00 - 15.00.mp4,1568,car,2,65.633,20.0
14.00 - 15.00.mp4,1739,car,2,70.633,20.0
14.00 - 15.00.mp4,1738,car,2,70.8,20.0
14.00 - 15.00.mp4,1779,car,2,72.9,20.0
14.00 - 15.00.mp4,1793,car,3,74.333,25.7
14.00 - 15.00.mp4,1798,truck,6,74.567,25.7
14.00 - 15.00.mp4,1827,car,3,74.967,13.8
14.00 - 15.00.mp4,1888,car,2,76.667,25.7
14.00 - 15.00.mp4,1904,car,2,77.133,20.8
14.00 - 15.00.mp4,1915,car,2,77.433,23.5
14.00 - 15.00.mp4,1975,car,2,78.333,20.0
14.00 - 15.00.mp4,1980,car,2,79.533,24.5
14.00 - 15.00.mp4,2045,truck,4,81.433,10.4
14.00 - 15.00.mp4,2114,car,2,83.367,20.0
14.00 - 15.00.mp4,2165,truck,6,85.233,17.4
14.00 - 15.00.mp4,2245,car,2,87.033,20.0
14.00 - 15.00.mp4,2329,car,2,88.7,20.0
14.00 - 15.00.mp4,2360,car,2,91.567,17.4
14.00 - 15.00.mp4,2469,truck,4,93.867,20.0
14.00 - 15.00.mp4,2484,car,2,94.167,20.0
