video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
15.00 - 16.00.mp4,1,truck,4,0.533,13.5
15.00 - 16.00.mp4,33,car,2,1.533,18.0
15.00 - 16.00.mp4,62,car,2,1.9,16.9
15.00 - 16.00.mp4,188,car,2,9.6,16.9
15.00 - 16.00.mp4,212,bus,5,11.333,16.9
15.00 - 16.00.mp4,343,car,2,17.533,11.3
15.00 - 16.00.mp4,407,car,2,19.567,15.9
15.00 - 16.00.mp4,431,truck,4,21.6,17.4
15.00 - 16.00.mp4,494,truck,6,23.367,9.0
15.00 - 16.00.mp4,528,truck,4,25.667,10.2
15.00 - 16.00.mp4,616,car,2,28.5,16.9
15.00 - 16.00.mp4,643,truck,6,29.933,11.0
15.00 - 16.00.mp4,873,car,2,39.333,16.4
15.00 - 16.00.mp4,906,truck,4,40.867,12.6
15.00 - 16.00.mp4,946,car,3,43.1,14.2
15.00 - 16.00.mp4,1036,bus,5,47.367,12.0
15.00 - 16.00.mp4,1097,car,2,49.433,16.4
15.00 - 16.00.mp4,1146,car,2,51.033,14.6
15.00 - 16.00.mp4,1179,car,2,51.933,11.7
15.00 - 16.00.mp4,1338,car,3,60.533,15.0
15.00 - 16.00.mp4,1456,car,3,66.067,19.3
15.00 - 16.00.mp4,1470,car,2,66.733,20.0
15.00 - 16.00.mp4,1458,car,2,67.3,12.6
15.00 - 16.00.mp4,1611,truck,4,75.767,12.9
15.00 - 16.00.mp4,1693,truck,6,81.133,6.1
15.00 - 16.00.mp4,1748,car,2,83.567,25.7
15.00 - 16.00.mp4,1707,truck,7,84.967,6.1
15.00 - 16.00.mp4,1768,truck,6,85.467,13.2
15.00 - 16.00.mp4,1819,truck,4,87.967,9.8
15.00 - 16.00.mp4,1894,car,2,90.567,18.6
15.00 - 16.00.mp4,1903,truck,6,92.233,9.5
15.00 - 16.00.mp4,1950,truck,6,94.1,10.6
15.00 - 16.00.mp4,2016,car,3,97.733,14.6
15.00 - 16.00.mp4,2135,car,2,103.8,15.9
15.00 - 16.00.mp4,2334,truck,6,112.733,11.5
15.00 - 16.00.mp4,2436,car,2,115.1,11.0
15.00 - 16.00.mp4,2549,truck,6,121.2,7.1
15.00 - 16.00.mp4,2649,car,2,125.067,12.3
15.00 - 16.00.mp4,2984,truck,6,136.9,12.3
15.00 - 16.00.mp4,3019,car,2,138.367,13.2
15.00 - 16.00.mp4,3054,truck,6,141.267,8.7
15.00 - 16.00.mp4,3208,car,2,145.4,14.2
15.00 - 16.00.mp4,3219,car,2,146.0,11.5
15.00 - 16.00.mp4,3218,truck,4,146.3,10.0
15.00 - 16.00.mp4,3238,car,3,147.167,14.6
15.00 - 16.00.mp4,3804,truck,6,171.167,10.2
15.00 - 16.00.mp4,3893,car,2,175.0,15.4
15.00 - 16.00.mp4,3968,truck,6,178.9,13.2
15.00 - 16.00.mp4,4370,car,2,193.367,15.0
15.00 - 16.00.mp4,4492,car,2,197.967,18.0
15.00 - 16.00.mp4,4527,car,2,200.167,15.0
15.00 - 16.00.mp4,4569,car,2,203.233,16.4
15.00 - 16.00.mp4,4571,truck,6,203.4,7.9
15.00 - 16.00.mp4,4561,truck,6,203.6,7.6
15.00 - 16.00.mp4,4624,car,2,205.9,12.6
