video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
16.00 - 17.00.mp4,12,car,2,0.167,23.5
16.00 - 17.00.mp4,15,truck,6,0.267,14.6
16.00 - 17.00.mp4,3,car,3,1.233,6.8
16.00 - 17.00.mp4,5,car,2,2.0,23.5
16.00 - 17.00.mp4,2,car,2,3.333,23.5
16.00 - 17.00.mp4,13,car,2,3.8,23.5
16.00 - 17.00.mp4,33,car,2,5.033,13.8
16.00 - 17.00.mp4,69,car,2,6.467,22.5
16.00 - 17.00.mp4,114,truck,4,7.6,23.5
16.00 - 17.00.mp4,101,car,2,8.267,23.5
16.00 - 17.00.mp4,96,truck,4,8.367,16.9
16.00 - 17.00.mp4,133,car,2,9.067,6.8
16.00 - 17.00.mp4,158,car,2,9.2,22.5
16.00 - 17.00.mp4,195,truck,4,10.033,23.5
16.00 - 17.00.mp4,216,car,2,10.267,23.5
16.00 - 17.00.mp4,274,car,2,12.267,23.5
16.00 - 17.00.mp4,267,car,2,12.467,23.5
16.00 - 17.00.mp4,236,truck,4,13.0,13.8
16.00 - 17.00.mp4,299,car,2,13.633,23.5
16.00 - 17.00.mp4,322,car,2,15.033,27.0
16.00 - 17.00.mp4,345,car,2,15.4,23.5
16.00 - 17.00.mp4,315,car,2,15.467,6.8
16.00 - 17.00.mp4,387,car,2,16.633,23.5
16.00 - 17.00.mp4,406,car,2,18.233,24.5
16.00 - 17.00.mp4,438,car,2,18.933,23.5
16.00 - 17.00.mp4,449,car,2,19.533,23.5
16.00 - 17.00.mp4,482,car,2,20.2,23.5
16.00 - 17.00.mp4,499,car,2,22.0,25.7
16.00 - 17.00.mp4,522,car,2,22.433,18.6
16.00 - 17.00.mp4,554,car,2,22.633,23.5
16.00 - 17.00.mp4,539,car,2,23.567,6.8
16.00 - 17.00.mp4,571,car,2,23.833,24.5
16.00 - 17.00.mp4,611,car,2,24.733,23.5
16.00 - 17.00.mp4,603,car,2,25.133,24.5
16.00 - 17.00.mp4,650,car,2,27.0,27.0
16.00 - 17.00.mp4,680,car,2,27.167,23.5
16.00 - 17.00.mp4,668,truck,6,29.167,13.8
16.00 - 17.00.mp4,726,car,2,29.367,30.0
16.00 - 17.00.mp4,752,car,2,30.167,6.8
16.00 - 17.00.mp4,836,car,2,33.033,6.8
16.00 - 17.00.mp4,939,car,2,38.267,23.5
16.00 - 17.00.mp4,958,car,2,39.333,23.5
16.00 - 17.00.mp4,972,car,3,40.367,20.0
16.00 - 17.00.mp4,988,car,2,40.833,6.8
16.00 - 17.00.mp4,1024,truck,6,41.5,13.8
16.00 - 17.00.mp4,1036,car,2,42.133,23.5
16.00 - 17.00.mp4,1055,car,2,42.167,23.5
16.00 - 17.00.mp4,1135,car,2,44.7,23.5
16.00 - 17.00.mp4,1139,car,2,45.1,23.5
16.00 - 17.00.mp4,1129,car,2,45.667,23.5
16.00 - 17.00.mp4,1137,truck,6,46.233,13.5
16.00 - 17.00.mp4,1195,car,2,46.4,23.5
16.00 - 17.00.mp4,1155,car,2,47.0,14.6
16.00 - 17.00.mp4,1274,car,2,48.633,23.5
16.00 - 17.00.mp4,1218,truck,6,48.867,17.4
16.00 - 17.00.mp4,1283,car,2,49.267,23.5
16.00 - 17.00.mp4,1272,car,2,49.433,6.8
16.00 - 17.00.mp4,1273,car,2,49.6,6.8
16.00 - 17.00.mp4,1320,car,2,50.233,23.5
16.00 - 17.00.mp4,1334,car,2,50.767,23.5
16.00 - 17.00.mp4,1372,car,2,52.5,23.5
16.00 - 17.00.mp4,1376,bus,5,53.267,21.6
16.00 - 17.00.mp4,1447,car,2,55.567,20.0
16.00 - 17.00.mp4,1456,truck,6,56.433,18.0
16.00 - 17.00.mp4,1491,truck,4,58.733,14.6
16.00 - 17.00.mp4,1529,car,2,58.867,6.8
16.00 - 17.00.mp4,1578,car,2,59.933,23.5
16.00 - 17.00.mp4,1570,car,2,60.267,27.0
16.00 - 17.00.mp4,1647,car,2,63.133,23.5
16.00 - 17.00.mp4,1689,car,2,64.767,21.6
16.00 - 17.00.mp4,1711,car,2,65.033,23.5
16.00 - 17.00.mp4,1763,car,2,66.833,23.5
16.00 - 17.00.mp4,1750,car,2,67.067,27.0
16.00 - 17.00.mp4,1784,car,2,68.033,23.5
16.00 - 17.00.mp4,1774,car,2,68.3,6.8
16.00 - 17.00.mp4,1806,car,2,68.967,33.8
16.00 - 17.00.mp4,1800,bus,5,69.567,20.0
16.00 - 17.00.mp4,1831,car,3,69.567,6.8
16.00 - 17.00.mp4,1856,car,2,70.833,6.8
16.00 - 17.00.mp4,1872,car,2,71.733,6.8
16.00 - 17.00.mp4,1907,car,2,71.733,23.5
16.00 - 17.00.mp4,1933,car,2,72.233,23.5
16.00 - 17.00.mp4,1923,car,2,72.867,24.5
16.00 - 17.00.mp4,1961,car,2,73.2,23.5
16.00 - 17.00.mp4,1968,car,2,73.3,23.5
16.00 - 17.00.mp4,2005,car,2,74.1,23.5
16.00 - 17.00.mp4,2008,car,2,74.533,23.5
16.00 - 17.00.mp4,1999,car,2,74.667,23.5
16.00 - 17.00.mp4,2073,car,2,76.067,23.5
16.00 - 17.00.mp4,2075,car,3,76.3,23.5
16.00 - 17.00.mp4,2028,car,3,76.467,15.4
16.00 - 17.00.mp4,2112,car,2,77.267,23.5
