video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
17.00 - 18.00.mp4,4,car,2,0.0,33.8
17.00 - 18.00.mp4,2,car,3,0.533,7.7
17.00 - 18.00.mp4,19,car,2,1.467,23.5
17.00 - 18.00.mp4,18,car,2,1.833,11.0
17.00 - 18.00.mp4,16,car,2,2.933,24.5
17.00 - 18.00.mp4,51,car,2,8.833,24.5
17.00 - 18.00.mp4,58,car,2,9.1,31.8
17.00 - 18.00.mp4,105,truck,6,11.133,20.8
17.00 - 18.00.mp4,278,car,2,15.5,24.5
17.00 - 18.00.mp4,241,truck,4,16.0,13.2
17.00 - 18.00.mp4,338,car,2,18.0,24.5
17.00 - 18.00.mp4,327,car,2,18.167,7.7
17.00 - 18.00.mp4,369,car,2,19.6,7.7
17.00 - 18.00.mp4,347,car,3,19.9,27.0
17.00 - 18.00.mp4,491,car,2,24.667,28.4
17.00 - 18.00.mp4,490,bus,5,25.1,22.5
17.00 - 18.00.mp4,527,car,2,26.233,25.7
17.00 - 18.00.mp4,662,car,2,30.267,27.0
17.00 - 18.00.mp4,679,car,2,30.533,24.5
17.00 - 18.00.mp4,659,car,2,30.7,22.5
17.00 - 18.00.mp4,645,car,3,30.8,20.0
17.00 - 18.00.mp4,687,car,2,31.867,7.7
17.00 - 18.00.mp4,718,car,2,32.467,27.0
17.00 - 18.00.mp4,744,car,2,33.4,21.6
17.00 - 18.00.mp4,767,car,2,33.467,24.5
17.00 - 18.00.mp4,790,car,2,34.467,33.8
17.00 - 18.00.mp4,843,car,3,36.833,28.4
17.00 - 18.00.mp4,868,car,2,37.867,28.4
17.00 - 18.00.mp4,863,car,2,38.867,28.4
17.00 - 18.00.mp4,883,car,2,38.9,7.7
17.00 - 18.00.mp4,877,car,2,38.933,30.0
17.00 - 18.00.mp4,919,car,2,40.267,24.5
17.00 - 18.00.mp4,997,car,2,43.733,27.0
17.00 - 18.00.mp4,1006,car,2,44.1,31.8
17.00 - 18.00.mp4,1084,car,2,46.667,33.8
17.00 - 18.00.mp4,1090,truck,4,48.667,9.8
17.00 - 18.00.mp4,1160,car,2,48.733,24.5
17.00 - 18.00.mp4,1153,car,2,49.867,7.7
17.00 - 18.00.mp4,1176,car,2,50.3,7.7
17.00 - 18.00.mp4,1236,car,2,50.733,24.5
17.00 - 18.00.mp4,1267,car,2,52.733,27.0
17.00 - 18.00.mp4,1303,car,2,53.333,31.8
17.00 - 18.00.mp4,1350,car,2,54.933,24.5
17.00 - 18.00.mp4,1408,car,2,57.833,7.7
17.00 - 18.00.mp4,1427,car,2,57.933,27.0
17.00 - 18.00.mp4,1442,car,2,59.1,7.7
17.00 - 18.00.mp4,1545,car,2,63.533,24.5
17.00 - 18.00.mp4,1563,truck,4,64.1,15.0
17.00 - 18.00.mp4,1622,car,2,66.633,24.5
17.00 - 18.00.mp4,1649,car,2,68.0,7.7
17.00 - 18.00.mp4,1733,car,2,69.967,27.0
17.00 - 18.00.mp4,1726,truck,4,70.7,16.9
17.00 - 18.00.mp4,1994,car,2,78.133,25.7
17.00 - 18.00.mp4,2002,car,2,78.467,22.5
17.00 - 18.00.mp4,1998,car,2,78.933,23.5
17.00 - 18.00.mp4,1995,truck,6,79.167,17.4
17.00 - 18.00.mp4,2132,truck,6,82.7,15.0
17.00 - 18.00.mp4,2175,car,2,84.2,27.0
17.00 - 18.00.mp4,2184,truck,4,84.833,14.2
17.00 - 18.00.mp4,2278,car,2,86.133,24.5
17.00 - 18.00.mp4,2291,truck,6,87.067,18.0
17.00 - 18.00.mp4,2277,car,3,87.1,28.4
17.00 - 18.00.mp4,2345,car,2,89.0,27.0
17.00 - 18.00.mp4,2439,car,2,91.333,24.5
17.00 - 18.00.mp4,2466,car,2,91.767,24.5
17.00 - 18.00.mp4,2533,bus,5,94.5,25.7
17.00 - 18.00.mp4,2493,truck,4,94.833,12.3
17.00 - 18.00.mp4,2575,car,2,96.467,27.0
17.00 - 18.00.mp4,2610,car,2,97.0,28.4
17.00 - 18.00.mp4,2674,car,2,98.567,24.5
17.00 - 18.00.mp4,2731,car,2,100.267,24.5
17.00 - 18.00.mp4,2713,car,2,100.533,27.0
17.00 - 18.00.mp4,2801,car,2,102.9,24.5
17.00 - 18.00.mp4,2981,truck,6,107.9,15.0
17.00 - 18.00.mp4,3060,truck,6,110.9,17.4
17.00 - 18.00.mp4,3094,truck,4,111.867,21.6
17.00 - 18.00.mp4,3095,bus,5,112.067,22.5
17.00 - 18.00.mp4,3228,car,2,114.567,24.5
17.00 - 18.00.mp4,3217,bus,5,115.933,17.4
17.00 - 18.00.mp4,3221,bus,5,115.933,7.7
17.00 - 18.00.mp4,3300,car,2,117.8,30.0
17.00 - 18.00.mp4,3287,car,2,118.1,20.0
17.00 - 18.00.mp4,3275,truck,6,118.4,13.8
17.00 - 18.00.mp4,3325,car,2,118.733,31.8
17.00 - 18.00.mp4,3310,car,3,119.033,21.6
17.00 - 18.00.mp4,3402,car,2,120.933,27.0
17.00 - 18.00.mp4,3410,car,2,121.5,24.5
17.00 - 18.00.mp4,3448,car,2,122.433,27.0
17.00 - 18.00.mp4,3444,truck,4,122.5,18.0
17.00 - 18.00.mp4,3437,car,2,122.567,24.5
17.00 - 18.00.mp4,3453,car,2,123.133,7.7
17.00 - 18.00.mp4,3488,car,2,123.9,23.5
17.00 - 18.00.mp4,3645,car,2,128.967,24.5
17.00 - 18.00.mp4,3681,truck,4,130.967,19.3
17.00 - 18.00.mp4,3802,car,2,133.867,23.5
17.00 - 18.00.mp4,3894,truck,6,137.267,12.9
17.00 - 18.00.mp4,3926,truck,6,139.667,14.6
17.00 - 18.00.mp4,3972,truck,4,140.5,18.0
17.00 - 18.00.mp4,4007,car,2,141.8,25.7
17.00 - 18.00.mp4,4014,car,2,142.1,7.7
17.00 - 18.00.mp4,4006,car,2,142.9,20.0
17.00 - 18.00.mp4,4040,car,2,143.067,7.7
17.00 - 18.00.mp4,4061,truck,6,143.467,18.0
17.00 - 18.00.mp4,4068,car,2,144.6,33.8
17.00 - 18.00.mp4,4088,car,2,145.333,24.5
17.00 - 18.00.mp4,4124,car,2,146.667,7.7
