video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
18.00 - 19.00.mp4,35,car,2,2.667,30.0
18.00 - 19.00.mp4,63,car,3,3.833,30.0
18.00 - 19.00.mp4,98,car,2,4.5,30.0
18.00 - 19.00.mp4,142,bus,5,5.633,30.0
18.00 - 19.00.mp4,108,bus,5,6.233,24.5
18.00 - 19.00.mp4,144,car,2,7.167,33.8
18.00 - 19.00.mp4,330,car,2,11.3,30.0
18.00 - 19.00.mp4,288,car,2,11.467,22.5
18.00 - 19.00.mp4,364,car,2,13.1,30.0
18.00 - 19.00.mp4,403,car,2,14.667,36.0
18.00 - 19.00.mp4,415,car,3,16.3,16.9
18.00 - 19.00.mp4,464,car,2,17.167,33.8
18.00 - 19.00.mp4,535,truck,4,19.5,24.5
18.00 - 19.00.mp4,519,truck,4,20.033,24.5
18.00 - 19.00.mp4,592,truck,4,21.233,30.0
18.00 - 19.00.mp4,595,car,2,22.7,7.2
18.00 - 19.00.mp4,666,car,2,24.667,7.2
18.00 - 19.00.mp4,690,truck,6,25.367,31.8
18.00 - 19.00.mp4,719,truck,6,26.233,11.2
18.00 - 19.00.mp4,796,car,2,27.933,30.0
18.00 - 19.00.mp4,797,car,3,28.333,30.0
18.00 - 19.00.mp4,786,car,2,28.7,7.2
18.00 - 19.00.mp4,809,car,2,29.467,7.2
18.00 - 19.00.mp4,837,car,2,30.633,33.7
18.00 - 19.00.mp4,926,truck,6,35.067,30.0
18.00 - 19.00.mp4,945,truck,4,36.133,21.6
18.00 - 19.00.mp4,938,car,2,36.167,28.4
18.00 - 19.00.mp4,959,car,3,36.333,30.0
18.00 - 19.00.mp4,978,car,3,37.3,33.8
18.00 - 19.00.mp4,1004,car,2,38.5,31.8
18.00 - 19.00.mp4,1023,car,2,38.9,31.8
18.00 - 19.00.mp4,1001,truck,4,38.9,19.3
18.00 - 19.00.mp4,1054,truck,4,41.333,12.9
18.00 - 19.00.mp4,1142,car,2,42.7,60.0
18.00 - 19.00.mp4,1185,car,2,44.1,33.8
18.00 - 19.00.mp4,1225,car,3,44.267,30.0
18.00 - 19.00.mp4,1299,car,2,46.8,31.8
18.00 - 19.00.mp4,1286,truck,4,47.433,23.5
18.00 - 19.00.mp4,1300,car,3,47.467,30.0
18.00 - 19.00.mp4,1326,car,2,47.767,36.0
18.00 - 19.00.mp4,1308,truck,4,49.033,18.0
18.00 - 19.00.mp4,1390,truck,6,50.667,25.7
18.00 - 19.00.mp4,1478,car,2,53.7,30.0
18.00 - 19.00.mp4,1503,car,2,54.967,36.0
18.00 - 19.00.mp4,1507,car,2,55.333,28.4
18.00 - 19.00.mp4,1502,bus,5,55.867,22.5
18.00 - 19.00.mp4,1513,truck,6,56.0,16.9
18.00 - 19.00.mp4,1552,car,2,56.667,41.5
18.00 - 19.00.mp4,1593,car,2,58.067,30.0
18.00 - 19.00.mp4,1592,car,2,58.5,7.2
18.00 - 19.00.mp4,1601,truck,6,59.267,24.5
18.00 - 19.00.mp4,1699,car,2,61.1,30.0
18.00 - 19.00.mp4,1700,car,2,61.6,30.0
18.00 - 19.00.mp4,1687,car,2,61.7,7.2
18.00 - 19.00.mp4,1715,car,2,62.033,30.0
18.00 - 19.00.mp4,1720,car,2,62.6,7.2
18.00 - 19.00.mp4,1725,truck,6,62.833,30.0
18.00 - 19.00.mp4,1748,car,2,63.233,30.0
18.00 - 19.00.mp4,1797,truck,4,65.667,27.0
18.00 - 19.00.mp4,1799,truck,4,65.667,30.0
18.00 - 19.00.mp4,1871,car,2,67.3,30.0
18.00 - 19.00.mp4,1925,car,2,69.067,30.0
18.00 - 19.00.mp4,1973,car,2,70.267,30.0
18.00 - 19.00.mp4,1940,car,2,70.767,7.2
18.00 - 19.00.mp4,1992,car,2,71.267,23.5
18.00 - 19.00.mp4,2042,car,2,72.333,30.0
18.00 - 19.00.mp4,2093,car,2,74.2,30.0
18.00 - 19.00.mp4,2125,car,3,75.467,38.6
18.00 - 19.00.mp4,2160,car,2,75.733,30.0
18.00 - 19.00.mp4,2223,car,2,77.967,30.0
18.00 - 19.00.mp4,2241,car,2,79.1,36.0
18.00 - 19.00.mp4,2319,truck,4,81.533,15.9
18.00 - 19.00.mp4,2353,car,2,81.8,30.0
18.00 - 19.00.mp4,2412,car,2,84.1,54.0
18.00 - 19.00.mp4,2406,car,2,84.433,7.2
18.00 - 19.00.mp4,2407,truck,6,84.467,23.5
18.00 - 19.00.mp4,2465,car,2,85.267,22.5
18.00 - 19.00.mp4,2506,car,2,87.2,7.2
18.00 - 19.00.mp4,2514,car,2,87.267,30.0
18.00 - 19.00.mp4,2569,car,2,87.967,30.0
18.00 - 19.00.mp4,2633,car,2,90.033,30.0
18.00 - 19.00.mp4,2634,truck,6,90.033,30.0
18.00 - 19.00.mp4,2640,truck,6,91.8,20.0
18.00 - 19.00.mp4,2733,car,2,93.8,28.4
18.00 - 19.00.mp4,2763,car,2,95.0,41.5
18.00 - 19.00.mp4,2783,truck,6,95.767,25.7
18.00 - 19.00.mp4,2823,truck,4,97.067,25.7
