video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
19.00 - 20.00.mp4,138,truck,4,8.633,8.7
19.00 - 20.00.mp4,357,truck,6,16.2,8.7
19.00 - 20.00.mp4,376,car,2,16.467,8.7
19.00 - 20.00.mp4,435,car,2,18.967,8.7
19.00 - 20.00.mp4,548,car,2,22.1,8.7
19.00 - 20.00.mp4,950,truck,6,39.167,8.7
19.00 - 20.00.mp4,1066,bus,5,42.767,8.7
19.00 - 20.00.mp4,1189,bus,5,44.8,13.5
19.00 - 20.00.mp4,1318,truck,6,49.933,13.5
19.00 - 20.00.mp4,1426,truck,6,52.933,13.5
19.00 - 20.00.mp4,1543,car,2,58.7,8.7
19.00 - 20.00.mp4,1670,truck,4,64.4,8.7
19.00 - 20.00.mp4,1679,truck,6,65.0,8.7
19.00 - 20.00.mp4,1696,truck,6,66.867,8.7
19.00 - 20.00.mp4,1807,car,2,68.633,8.7
19.00 - 20.00.mp4,2071,car,2,74.8,13.5
19.00 - 20.00.mp4,2011,truck,6,76.367,8.7
19.00 - 20.00.mp4,2118,car,2,76.433,13.5
19.00 - 20.00.mp4,2171,truck,6,78.567,13.5
19.00 - 20.00.mp4,2116,truck,6,79.033,8.7
19.00 - 20.00.mp4,2496,car,2,88.133,13.5
19.00 - 20.00.mp4,2480,car,2,89.8,8.7
19.00 - 20.00.mp4,2500,car,2,90.433,8.7
19.00 - 20.00.mp4,2735,car,2,96.4,13.5
19.00 - 20.00.mp4,2766,truck,4,96.867,13.5
19.00 - 20.00.mp4,2911,car,2,100.6,13.5
19.00 - 20.00.mp4,3134,car,2,108.633,8.7
19.00 - 20.00.mp4,3253,bus,5,111.4,13.5
19.00 - 20.00.mp4,3417,car,2,119.2,8.7
19.00 - 20.00.mp4,3567,car,2,122.3,13.5
19.00 - 20.00.mp4,3688,car,3,127.9,8.7
19.00 - 20.00.mp4,3700,car,2,127.933,8.7
19.00 - 20.00.mp4,3718,truck,6,130.967,8.7
19.00 - 20.00.mp4,3967,truck,6,137.967,8.7
19.00 - 20.00.mp4,4055,car,2,141.5,8.7
19.00 - 20.00.mp4,4147,truck,4,145.133,8.7
19.00 - 20.00.mp4,4172,car,2,145.733,8.7
19.00 - 20.00.mp4,4338,truck,6,151.733,11.3
19.00 - 20.00.mp4,4659,car,2,161.633,8.7
19.00 - 20.00.mp4,4779,bus,5,165.033,8.7
19.00 - 20.00.mp4,5240,car,2,177.1,13.5
19.00 - 20.00.mp4,5234,truck,6,178.267,8.7
19.00 - 20.00.mp4,5297,bus,5,181.033,8.7
19.00 - 20.00.mp4,5384,car,3,181.4,13.5
19.00 - 20.00.mp4,5423,bus,5,184.6,8.7
19.00 - 20.00.mp4,5448,truck,4,185.367,8.7
19.00 - 20.00.mp4,5509,car,2,187.133,8.7
19.00 - 20.00.mp4,5510,truck,4,187.133,8.7
19.00 - 20.00.mp4,5699,car,2,192.033,13.5
19.00 - 20.00.mp4,5647,truck,6,192.8,8.7
19.00 - 20.00.mp4,5740,truck,6,193.367,13.5
19.00 - 20.00.mp4,5798,car,2,195.133,13.5
19.00 - 20.00.mp4,5805,car,2,195.467,13.5
19.00 - 20.00.mp4,5840,truck,4,198.667,8.7
19.00 - 20.00.mp4,6358,truck,6,214.333,8.7
19.00 - 20.00.mp4,6539,truck,6,218.767,13.5
19.00 - 20.00.mp4,6569,car,2,219.2,13.5
19.00 - 20.00.mp4,6692,car,2,223.4,13.5
19.00 - 20.00.mp4,6781,truck,4,225.533,13.5
19.00 - 20.00.mp4,6929,bus,5,231.767,8.7
19.00 - 20.00.mp4,7074,truck,6,236.467,8.7
19.00 - 20.00.mp4,7161,car,2,237.3,13.5
19.00 - 20.00.mp4,7260,truck,6,239.8,13.5
19.00 - 20.00.mp4,7348,car,2,243.6,13.5
19.00 - 20.00.mp4,7468,truck,4,248.233,13.5
19.00 - 20.00.mp4,7668,truck,6,254.567,13.5
19.00 - 20.00.mp4,7590,truck,6,255.067,8.7
19.00 - 20.00.mp4,7776,bus,5,258.0,13.5
19.00 - 20.00.mp4,7790,bus,5,259.167,13.5
19.00 - 20.00.mp4,8496,car,2,277.0,13.5
19.00 - 20.00.mp4,8506,truck,4,277.2,13.5
19.00 - 20.00.mp4,8569,car,2,279.133,13.5
19.00 - 20.00.mp4,8679,car,2,280.933,13.5
19.00 - 20.00.mp4,8681,truck,6,283.667,8.7
19.00 - 20.00.mp4,8902,car,2,285.5,13.5
19.00 - 20.00.mp4,8775,bus,5,285.533,8.7
19.00 - 20.00.mp4,8969,car,2,286.733,13.5
19.00 - 20.00.mp4,8988,car,3,287.3,13.5
19.00 - 20.00.mp4,8926,bus,5,287.6,8.7
19.00 - 20.00.mp4,9057,car,2,289.333,13.5
19.00 - 20.00.mp4,9164,bus,5,292.367,13.5
