video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
1_01_R_16082025020000.avi,2,motorcycle,1,2.364,26.4
1_01_R_16082025020000.avi,60,motorcycle,1,13.5,44.0
1_01_R_16082025020000.avi,61,motorcycle,1,14.091,14.7
1_01_R_16082025020000.avi,121,motorcycle,1,25.909,28.3
1_01_R_16082025020000.avi,187,motorcycle,1,34.636,30.5
1_01_R_16082025020000.avi,188,motorcycle,1,35.409,22.0
1_01_R_16082025020000.avi,202,motorcycle,1,39.136,28.3
1_01_R_16082025020000.avi,204,motorcycle,1,40.136,28.3
1_01_R_16082025020000.avi,206,motorcycle,1,40.727,30.5
1_01_R_16082025020000.avi,213,motorcycle,1,41.591,30.5
1_01_R_16082025020000.avi,222,motorcycle,1,43.682,33.0
1_01_R_16082025020000.avi,228,motorcycle,1,45.182,36.0
1_01_R_16082025020000.avi,230,motorcycle,1,45.773,26.4
1_01_R_16082025020000.avi,239,motorcycle,1,48.0,22.0
1_01_R_16082025020000.avi,240,motorcycle,1,48.409,23.3
1_01_R_16082025020000.avi,253,motorcycle,1,48.636,22.0
1_01_R_16082025020000.avi,252,motorcycle,1,48.773,23.3
1_01_R_16082025020000.avi,273,car,2,51.409,22.0
1_01_R_16082025020000.avi,280,motorcycle,1,51.409,30.5
1_01_R_16082025020000.avi,310,car,2,55.727,22.0
1_01_R_16082025020000.avi,326,car,2,58.227,26.4
1_01_R_16082025020000.avi,423,motorcycle,1,75.136,23.3
1_01_R_16082025020000.avi,437,motorcycle,1,77.954,28.3
1_01_R_16082025020000.avi,441,motorcycle,1,79.182,30.5
1_01_R_16082025020000.avi,447,motorcycle,1,79.546,49.5
1_01_R_16082025020000.avi,445,motorcycle,1,80.182,33.0
1_01_R_16082025020000.avi,454,motorcycle,1,83.818,30.5
1_01_R_16082025020000.avi,455,motorcycle,1,85.0,22.0
1_01_R_16082025020000.avi,506,motorcycle,1,98.318,49.5
1_01_R_16082025020000.avi,510,motorcycle,1,98.682,39.6
1_01_R_16082025020000.avi,507,motorcycle,1,99.0,30.5
1_01_R_16082025020000.avi,518,car,2,100.864,26.4
1_01_R_16082025020000.avi,530,motorcycle,1,102.636,33.0
1_01_R_16082025020000.avi,563,motorcycle,1,114.364,19.8
1_01_R_16082025020000.avi,575,motorcycle,1,116.273,20.8
1_01_R_16082025020000.avi,604,motorcycle,1,128.136,30.5
1_01_R_16082025020000.avi,648,motorcycle,1,133.409,17.2
1_01_R_16082025020000.avi,672,motorcycle,1,138.636,24.8
1_01_R_16082025020000.avi,671,motorcycle,1,138.727,20.8
1_01_R_16082025020000.avi,675,motorcycle,1,139.546,19.8
1_01_R_16082025020000.avi,678,motorcycle,1,139.682,22.0
1_01_R_16082025020000.avi,680,car,2,141.136,23.3
1_01_R_16082025020000.avi,695,motorcycle,1,142.546,36.0
1_01_R_16082025020000.avi,723,motorcycle,1,147.636,30.5
1_01_R_16082025020000.avi,739,car,2,149.546,26.4
1_01_R_16082025020000.avi,744,motorcycle,1,150.864,26.4
1_01_R_16082025020000.avi,810,motorcycle,1,163.591,24.7
1_01_R_16082025020000.avi,887,motorcycle,1,175.591,39.6
1_01_R_16082025020000.avi,918,motorcycle,1,178.136,36.0
1_01_R_16082025020000.avi,914,car,2,178.727,19.8
1_01_R_16082025020000.avi,942,car,2,180.773,20.8
1_01_R_16082025020000.avi,950,car,2,181.091,28.3
1_01_R_16082025020000.avi,966,motorcycle,1,183.864,28.3
1_01_R_16082025020000.avi,975,motorcycle,1,187.136,13.7
1_01_R_16082025020000.avi,1041,car,2,198.091,39.6
1_01_R_16082025020000.avi,1084,motorcycle,1,202.546,24.8
1_01_R_16082025020000.avi,1094,motorcycle,1,204.454,26.4
1_01_R_16082025020000.avi,1113,truck,4,208.773,28.3
1_01_R_16082025020000.avi,1155,motorcycle,1,212.682,39.6
1_01_R_16082025020000.avi,1169,motorcycle,1,214.682,33.0
1_01_R_16082025020000.avi,1182,truck,4,217.409,28.3
1_01_R_16082025020000.avi,1209,motorcycle,1,221.682,28.3
1_01_R_16082025020000.avi,1223,motorcycle,1,223.136,20.8
1_01_R_16082025020000.avi,1226,motorcycle,1,223.909,23.3
1_01_R_16082025020000.avi,1231,truck,6,225.5,26.4
1_01_R_16082025020000.avi,1245,motorcycle,1,226.5,28.3
1_01_R_16082025020000.avi,1258,motorcycle,1,229.136,18.9
1_01_R_16082025020000.avi,1260,motorcycle,1,229.727,30.5
1_01_R_16082025020000.avi,1286,car,2,237.591,33.0
1_01_R_16082025020000.avi,1293,car,2,241.864,28.3
1_01_R_16082025020000.avi,1314,motorcycle,1,248.091,30.5
1_01_R_16082025020000.avi,1317,motorcycle,1,249.954,11.6
1_01_R_16082025020000.avi,1401,motorcycle,1,265.682,26.4
1_01_R_16082025020000.avi,1412,motorcycle,1,266.546,33.0
1_01_R_16082025020000.avi,1424,motorcycle,1,270.046,30.5
1_01_R_16082025020000.avi,1442,motorcycle,1,272.364,33.0
1_01_R_16082025020000.avi,1441,motorcycle,1,274.909,10.7
1_01_R_16082025020000.avi,1446,car,2,275.046,30.5
1_01_R_16082025020000.avi,1454,motorcycle,1,276.091,26.4
1_01_R_16082025020000.avi,1497,motorcycle,1,285.773,26.4
1_01_R_16082025020000.avi,1527,motorcycle,1,296.954,33.0
1_01_R_16082025020000.avi,1542,motorcycle,1,298.954,26.4
1_01_R_16082025020000.avi,1559,motorcycle,1,304.818,28.3
1_01_R_16082025020000.avi,1592,car,2,310.682,36.0
1_01_R_16082025020000.avi,1593,motorcycle,1,310.864,36.0
1_01_R_16082025020000.avi,1641,motorcycle,1,315.5,26.4
1_01_R_16082025020000.avi,1649,truck,4,316.636,33.0
1_01_R_16082025020000.avi,1692,motorcycle,1,320.636,23.3
1_01_R_16082025020000.avi,1712,car,2,322.727,23.3
1_01_R_16082025020000.avi,1749,car,2,326.046,39.6
1_01_R_16082025020000.avi,1778,motorcycle,1,328.591,28.3
1_01_R_16082025020000.avi,1785,truck,4,330.409,18.9
1_01_R_16082025020000.avi,1833,motorcycle,1,336.091,24.7
1_01_R_16082025020000.avi,1831,motorcycle,1,336.409,33.0
1_01_R_16082025020000.avi,2114,motorcycle,1,367.091,39.6
1_01_R_16082025020000.avi,2180,motorcycle,1,374.046,33.0
1_01_R_16082025020000.avi,2194,motorcycle,1,376.636,28.3
1_01_R_16082025020000.avi,2199,motorcycle,1,378.0,49.5
1_01_R_16082025020000.avi,2201,motorcycle,1,378.091,36.0
1_01_R_16082025020000.avi,2212,motorcycle,1,380.591,30.5
1_01_R_16082025020000.avi,2289,motorcycle,1,390.864,26.4
1_01_R_16082025020000.avi,2359,motorcycle,1,404.409,18.0
1_01_R_16082025020000.avi,2365,truck,4,405.364,24.7
1_01_R_16082025020000.avi,2373,motorcycle,1,406.5,18.9
1_01_R_16082025020000.avi,2460,motorcycle,1,422.364,23.3
1_01_R_16082025020000.avi,2489,motorcycle,1,434.546,8.3
1_01_R_16082025020000.avi,2497,motorcycle,1,436.182,15.2
1_01_R_16082025020000.avi,2523,motorcycle,1,441.454,18.0
1_01_R_16082025020000.avi,2553,motorcycle,1,448.546,26.4
1_01_R_16082025020000.avi,2560,motorcycle,1,449.454,23.3
1_01_R_16082025020000.avi,2587,car,3,453.409,26.4
1_01_R_16082025020000.avi,2621,motorcycle,1,459.182,23.3
1_01_R_16082025020000.avi,2633,car,2,462.318,30.5
1_01_R_16082025020000.avi,2635,truck,4,463.318,30.5
1_01_R_16082025020000.avi,2749,car,2,473.727,30.5
1_01_R_16082025020000.avi,2810,motorcycle,1,479.727,30.5
1_01_R_16082025020000.avi,2832,motorcycle,1,481.136,36.0
1_01_R_16082025020000.avi,2829,car,2,481.409,28.3
1_01_R_16082025020000.avi,2856,truck,4,484.5,33.0
1_01_R_16082025020000.avi,2884,motorcycle,1,488.091,28.3
1_01_R_16082025020000.avi,2899,motorcycle,1,491.0,20.8
1_01_R_16082025020000.avi,2928,car,2,496.909,23.3
1_01_R_16082025020000.avi,2968,truck,4,500.727,19.8
1_01_R_16082025020000.avi,2982,car,2,502.136,22.0
1_01_R_16082025020000.avi,3004,truck,6,507.136,24.8
1_01_R_16082025020000.avi,3064,motorcycle,1,513.318,28.3
1_01_R_16082025020000.avi,3071,motorcycle,1,515.409,23.3
1_01_R_16082025020000.avi,3113,motorcycle,1,519.045,39.6
1_01_R_16082025020000.avi,3225,motorcycle,1,536.136,30.5
1_01_R_16082025020000.avi,3271,motorcycle,1,542.682,44.0
1_01_R_16082025020000.avi,3307,motorcycle,1,548.318,22.0
1_01_R_16082025020000.avi,3320,motorcycle,1,550.091,30.5
1_01_R_16082025020000.avi,3341,motorcycle,1,554.0,15.2
1_01_R_16082025020000.avi,3379,motorcycle,1,559.773,44.0
1_01_R_16082025020000.avi,3406,motorcycle,1,562.045,39.6
1_01_R_16082025020000.avi,3410,motorcycle,1,562.5,39.6
1_01_R_16082025020000.avi,3442,motorcycle,1,565.591,26.4
1_01_R_16082025020000.avi,3477,motorcycle,1,568.864,28.3
1_01_R_16082025020000.avi,3522,motorcycle,1,572.182,17.2
1_01_R_16082025020000.avi,3553,motorcycle,1,574.182,33.0
1_01_R_16082025020000.avi,3571,motorcycle,1,575.227,33.0
1_01_R_16082025020000.avi,3628,motorcycle,1,582.045,18.9
1_01_R_16082025020000.avi,3703,car,2,587.364,26.4
1_01_R_16082025020000.avi,3713,car,3,588.364,28.3
1_01_R_16082025020000.avi,3724,truck,4,589.636,33.0
1_01_R_16082025020000.avi,3746,truck,6,591.682,26.4
1_01_R_16082025020000.avi,3758,car,2,593.5,26.4
1_01_R_16082025020000.avi,3816,truck,4,602.091,39.6
1_01_R_16082025020000.avi,3849,car,2,607.409,28.3
1_01_R_16082025020000.avi,3855,car,2,611.273,10.2
1_01_R_16082025020000.avi,3861,motorcycle,1,613.909,30.5
1_01_R_16082025020000.avi,3862,car,2,615.0,22.0
1_01_R_16082025020000.avi,3869,motorcycle,1,616.955,23.3
1_01_R_16082025020000.avi,3895,motorcycle,1,627.227,28.3
1_01_R_16082025020000.avi,3946,motorcycle,1,640.182,26.4
1_01_R_16082025020000.avi,3975,motorcycle,1,645.955,24.7
1_01_R_16082025020000.avi,3999,motorcycle,1,653.682,26.4
1_01_R_16082025020000.avi,4104,truck,6,667.455,28.3
1_01_R_16082025020000.avi,4175,motorcycle,1,674.5,26.4
1_01_R_16082025020000.avi,4182,car,2,675.773,24.7
1_01_R_16082025020000.avi,4191,motorcycle,1,676.364,44.0
1_01_R_16082025020000.avi,4183,motorcycle,1,676.5,20.8
1_01_R_16082025020000.avi,4195,motorcycle,1,678.409,22.0
1_01_R_16082025020000.avi,4218,car,2,682.455,23.3
1_01_R_16082025020000.avi,4248,motorcycle,1,683.682,23.3
1_01_R_16082025020000.avi,4265,motorcycle,1,684.864,16.5
1_01_R_16082025020000.avi,4278,motorcycle,1,685.591,17.2
1_01_R_16082025020000.avi,4291,motorcycle,1,686.773,11.3
1_01_R_16082025020000.avi,4284,car,2,686.864,20.8
1_01_R_16082025020000.avi,4356,car,2,696.136,19.8
1_01_R_16082025020000.avi,4366,motorcycle,1,697.045,26.4
1_01_R_16082025020000.avi,4435,car,2,704.636,22.0
1_01_R_16082025020000.avi,4579,motorcycle,1,711.727,49.5
