video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
1_01_R_16082025070000.avi,2,car,2,1.409,33.0
1_01_R_16082025070000.avi,5,motorcycle,1,2.954,33.0
1_01_R_16082025070000.avi,9,car,2,4.045,30.5
1_01_R_16082025070000.avi,12,motorcycle,1,6.091,36.0
1_01_R_16082025070000.avi,14,motorcycle,1,7.909,30.5
1_01_R_16082025070000.avi,13,motorcycle,1,8.682,24.7
1_01_R_16082025070000.avi,18,motorcycle,1,10.182,24.7
1_01_R_16082025070000.avi,21,car,2,11.273,14.7
1_01_R_16082025070000.avi,19,motorcycle,1,12.046,30.5
1_01_R_16082025070000.avi,25,motorcycle,1,14.091,22.0
1_01_R_16082025070000.avi,26,motorcycle,1,14.818,4.7
1_01_R_16082025070000.avi,22,car,3,14.909,16.5
1_01_R_16082025070000.avi,33,motorcycle,1,16.727,4.7
1_01_R_16082025070000.avi,27,motorcycle,1,16.818,39.6
1_01_R_16082025070000.avi,37,car,2,18.773,30.5
1_01_R_16082025070000.avi,40,motorcycle,1,19.409,24.7
1_01_R_16082025070000.avi,39,motorcycle,1,20.727,30.5
1_01_R_16082025070000.avi,42,car,2,22.0,28.3
1_01_R_16082025070000.avi,44,motorcycle,1,22.727,24.7
1_01_R_16082025070000.avi,45,car,2,23.864,28.3
1_01_R_16082025070000.avi,43,motorcycle,1,24.454,28.3
1_01_R_16082025070000.avi,52,motorcycle,1,25.909,26.4
1_01_R_16082025070000.avi,47,motorcycle,1,26.818,4.7
1_01_R_16082025070000.avi,48,motorcycle,1,27.546,26.4
1_01_R_16082025070000.avi,54,motorcycle,1,28.046,4.7
1_01_R_16082025070000.avi,56,motorcycle,1,29.364,4.7
1_01_R_16082025070000.avi,59,motorcycle,1,30.227,4.7
1_01_R_16082025070000.avi,58,car,2,31.409,17.2
1_01_R_16082025070000.avi,63,motorcycle,1,31.909,4.7
1_01_R_16082025070000.avi,67,car,2,32.955,22.0
1_01_R_16082025070000.avi,68,motorcycle,1,33.0,4.7
1_01_R_16082025070000.avi,65,motorcycle,1,33.091,4.7
1_01_R_16082025070000.avi,73,motorcycle,1,33.909,4.7
1_01_R_16082025070000.avi,78,motorcycle,1,35.455,20.8
1_01_R_16082025070000.avi,76,car,3,36.045,18.9
1_01_R_16082025070000.avi,81,motorcycle,1,36.227,24.7
1_01_R_16082025070000.avi,77,car,2,36.409,24.7
1_01_R_16082025070000.avi,83,motorcycle,1,37.409,22.0
1_01_R_16082025070000.avi,80,motorcycle,1,38.136,4.7
1_01_R_16082025070000.avi,82,car,2,38.773,26.4
1_01_R_16082025070000.avi,84,car,2,41.0,22.0
1_01_R_16082025070000.avi,88,motorcycle,1,42.273,4.7
1_01_R_16082025070000.avi,87,car,2,42.955,19.8
1_01_R_16082025070000.avi,89,motorcycle,1,44.591,4.7
1_01_R_16082025070000.avi,90,car,2,44.591,24.7
1_01_R_16082025070000.avi,94,motorcycle,1,46.182,23.3
1_01_R_16082025070000.avi,91,car,2,46.773,19.8
1_01_R_16082025070000.avi,95,car,2,47.409,23.3
1_01_R_16082025070000.avi,97,truck,6,48.409,23.3
1_01_R_16082025070000.avi,99,motorcycle,1,50.545,23.3
1_01_R_16082025070000.avi,102,motorcycle,1,52.182,33.0
1_01_R_16082025070000.avi,101,car,3,53.045,19.8
1_01_R_16082025070000.avi,103,car,2,53.364,23.3
1_01_R_16082025070000.avi,109,motorcycle,1,55.0,24.7
1_01_R_16082025070000.avi,104,motorcycle,1,55.045,4.7
1_01_R_16082025070000.avi,105,motorcycle,1,56.045,4.7
1_01_R_16082025070000.avi,112,motorcycle,1,56.5,24.7
1_01_R_16082025070000.avi,110,motorcycle,1,56.818,4.7
1_01_R_16082025070000.avi,111,motorcycle,1,57.5,4.7
1_01_R_16082025070000.avi,113,motorcycle,1,59.091,4.7
1_01_R_16082025070000.avi,116,motorcycle,1,59.818,19.8
1_01_R_16082025070000.avi,114,motorcycle,1,60.0,4.7
1_01_R_16082025070000.avi,118,motorcycle,1,60.091,24.7
1_01_R_16082025070000.avi,119,car,2,61.591,24.7
1_01_R_16082025070000.avi,121,motorcycle,1,62.727,26.4
1_01_R_16082025070000.avi,122,motorcycle,1,64.273,4.7
1_01_R_16082025070000.avi,124,motorcycle,1,67.454,24.7
1_01_R_16082025070000.avi,126,car,2,68.273,30.5
1_01_R_16082025070000.avi,130,car,2,72.5,39.6
1_01_R_16082025070000.avi,128,car,2,72.636,24.8
1_01_R_16082025070000.avi,127,motorcycle,1,73.046,4.7
1_01_R_16082025070000.avi,134,motorcycle,1,73.318,36.0
1_01_R_16082025070000.avi,135,motorcycle,1,73.5,24.7
1_01_R_16082025070000.avi,131,motorcycle,1,74.182,4.7
1_01_R_16082025070000.avi,142,car,2,76.136,26.4
