video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
Jl Setiabudi 160825 Jam 6-18.mp4,2,car,2,11.0,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,12,car,2,32.1,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,11,truck,6,34.067,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,16,motorcycle,1,38.167,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,800011,motorcycle,1,52.9,36.0
Jl Setiabudi 160825 Jam 6-18.mp4,46,motorcycle,1,58.4,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,800013,motorcycle,1,60.8,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,52,truck,6,62.0,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,73,car,2,97.233,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,74,motorcycle,1,105.3,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,92,motorcycle,1,126.6,41.5
Jl Setiabudi 160825 Jam 6-18.mp4,94,motorcycle,1,133.533,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,96,motorcycle,1,136.433,77.1
Jl Setiabudi 160825 Jam 6-18.mp4,800032,motorcycle,1,138.1,10.0
Jl Setiabudi 160825 Jam 6-18.mp4,800036,motorcycle,1,147.8,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,105,car,3,147.867,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,125,motorcycle,1,167.533,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,130,motorcycle,1,175.167,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,800048,motorcycle,1,191.3,6.2
Jl Setiabudi 160825 Jam 6-18.mp4,144,truck,4,192.633,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,156,car,2,196.167,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,172,truck,4,216.3,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,171,car,3,221.067,38.6
Jl Setiabudi 160825 Jam 6-18.mp4,175,car,3,223.5,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,184,car,2,227.2,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,185,motorcycle,1,229.633,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,191,car,2,238.4,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,197,motorcycle,1,255.8,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,223,car,2,299.433,134.9
Jl Setiabudi 160825 Jam 6-18.mp4,220,car,2,300.033,41.5
Jl Setiabudi 160825 Jam 6-18.mp4,224,car,2,302.2,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,800081,motorcycle,1,310.3,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,231,car,2,311.5,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,237,truck,4,315.267,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,250,truck,4,320.167,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,253,car,2,323.133,134.9
Jl Setiabudi 160825 Jam 6-18.mp4,800085,motorcycle,1,324.8,12.9
Jl Setiabudi 160825 Jam 6-18.mp4,260,car,2,326.067,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,264,motorcycle,1,328.867,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,265,truck,6,335.267,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,266,motorcycle,1,339.9,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,268,car,2,355.067,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,278,motorcycle,1,363.133,134.9
Jl Setiabudi 160825 Jam 6-18.mp4,291,motorcycle,1,380.067,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,800102,motorcycle,1,382.7,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,313,car,2,395.3,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,330,car,2,416.133,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,800109,motorcycle,1,418.8,25.7
Jl Setiabudi 160825 Jam 6-18.mp4,339,motorcycle,1,421.133,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,800113,motorcycle,1,428.2,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,800115,motorcycle,1,430.8,9.0
Jl Setiabudi 160825 Jam 6-18.mp4,364,motorcycle,1,442.2,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,362,truck,6,445.467,49.1
Jl Setiabudi 160825 Jam 6-18.mp4,365,motorcycle,1,446.833,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,800125,motorcycle,1,457.2,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,381,car,3,469.5,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,399,truck,6,491.633,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,410,motorcycle,1,500.833,77.1
Jl Setiabudi 160825 Jam 6-18.mp4,415,truck,6,510.0,21.6
Jl Setiabudi 160825 Jam 6-18.mp4,800148,motorcycle,1,523.6,18.0
Jl Setiabudi 160825 Jam 6-18.mp4,439,car,2,527.2,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,444,truck,6,530.0,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,448,motorcycle,1,540.367,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,450,motorcycle,1,545.233,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,800156,motorcycle,1,549.2,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,489,car,3,606.467,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,800169,motorcycle,1,616.6,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,498,motorcycle,1,625.867,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,496,car,3,628.767,27.0
Jl Setiabudi 160825 Jam 6-18.mp4,533,truck,4,654.4,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,536,car,2,657.7,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,537,car,2,660.433,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,546,car,2,664.567,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,545,truck,4,666.167,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,560,truck,6,671.5,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,562,car,2,672.867,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,563,motorcycle,1,673.667,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,573,car,2,678.633,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,577,truck,4,687.8,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,578,car,3,689.667,49.1
Jl Setiabudi 160825 Jam 6-18.mp4,605,car,2,702.667,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,614,truck,6,717.4,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,619,truck,6,718.933,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,621,truck,6,720.167,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,627,car,2,724.633,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,628,car,2,725.3,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,800207,motorcycle,1,725.3,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,800215,motorcycle,1,747.7,13.8
Jl Setiabudi 160825 Jam 6-18.mp4,671,car,2,757.133,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,674,truck,6,759.0,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,696,motorcycle,1,774.4,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,800220,motorcycle,1,775.2,30.0
Jl Setiabudi 160825 Jam 6-18.mp4,709,motorcycle,1,776.033,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,735,car,2,785.0,45.0
Jl Setiabudi 160825 Jam 6-18.mp4,754,car,2,795.267,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,776,motorcycle,1,799.733,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,815,motorcycle,1,820.267,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,836,motorcycle,1,824.3,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,818,car,2,825.033,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,842,car,2,832.733,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,859,motorcycle,1,857.633,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,860,car,2,862.533,77.1
Jl Setiabudi 160825 Jam 6-18.mp4,862,motorcycle,1,863.467,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,867,car,2,874.8,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,892,truck,6,902.667,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,891,car,3,906.1,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,896,car,2,908.933,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,927,motorcycle,1,927.067,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,936,car,2,932.2,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,800272,motorcycle,1,936.7,45.0
Jl Setiabudi 160825 Jam 6-18.mp4,968,truck,4,959.5,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,974,car,3,960.467,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,992,truck,4,964.4,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,800287,motorcycle,1,978.2,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1032,motorcycle,1,978.5,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1043,car,2,988.3,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,800295,motorcycle,1,989.6,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1052,car,3,992.167,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1055,car,2,993.2,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1060,truck,4,995.733,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1067,car,2,997.667,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1070,car,2,1002.2,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1087,car,3,1004.3,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,800302,motorcycle,1,1004.7,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1090,truck,6,1005.1,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,800303,motorcycle,1,1006.0,9.5
Jl Setiabudi 160825 Jam 6-18.mp4,1102,car,3,1007.233,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1105,car,2,1008.567,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,800304,motorcycle,1,1010.0,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1132,car,2,1021.2,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1138,truck,4,1025.867,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1140,car,2,1030.067,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1141,truck,6,1032.933,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1150,car,2,1039.5,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1154,truck,6,1047.5,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1157,truck,6,1048.9,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1159,car,3,1050.4,41.5
Jl Setiabudi 160825 Jam 6-18.mp4,1179,car,2,1054.467,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1181,motorcycle,1,1055.567,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1178,car,2,1056.1,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,1185,car,2,1056.8,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1186,motorcycle,1,1058.033,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1188,motorcycle,1,1062.167,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,800323,motorcycle,1,1064.7,10.6
Jl Setiabudi 160825 Jam 6-18.mp4,1203,car,2,1073.567,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1204,car,2,1080.7,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,800325,motorcycle,1,1083.3,22.5
Jl Setiabudi 160825 Jam 6-18.mp4,1206,car,2,1083.3,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1223,motorcycle,1,1108.233,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1228,car,3,1115.867,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1246,car,2,1143.133,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1254,car,2,1149.2,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1265,truck,6,1154.7,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1266,truck,6,1155.8,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1274,truck,4,1157.767,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1283,truck,4,1159.8,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1287,car,3,1162.8,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1296,car,3,1167.533,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,800347,motorcycle,1,1167.6,7.2
Jl Setiabudi 160825 Jam 6-18.mp4,1297,car,2,1170.567,54.0
Jl Setiabudi 160825 Jam 6-18.mp4,800348,motorcycle,1,1177.4,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1315,truck,4,1184.067,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1318,motorcycle,1,1186.0,77.2
Jl Setiabudi 160825 Jam 6-18.mp4,1329,car,2,1193.033,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1322,car,3,1193.667,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1344,motorcycle,1,1195.633,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1351,car,3,1205.533,28.4
Jl Setiabudi 160825 Jam 6-18.mp4,800360,motorcycle,1,1208.3,10.0
Jl Setiabudi 160825 Jam 6-18.mp4,1363,truck,4,1212.2,180.0
Jl Setiabudi 160825 Jam 6-18.mp4,1366,motorcycle,1,1213.533,77.1
Jl Setiabudi 160825 Jam 6-18.mp4,1376,truck,6,1223.667,67.5
Jl Setiabudi 160825 Jam 6-18.mp4,1388,truck,6,1228.267,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1398,truck,6,1236.4,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1406,truck,4,1244.633,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1411,car,2,1247.533,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,800378,motorcycle,1,1247.7,30.0
Jl Setiabudi 160825 Jam 6-18.mp4,1413,car,2,1248.7,135.0
Jl Setiabudi 160825 Jam 6-18.mp4,1426,motorcycle,1,1249.4,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1429,car,2,1253.3,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,1427,bus,5,1253.833,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,800380,motorcycle,1,1255.7,25.7
Jl Setiabudi 160825 Jam 6-18.mp4,1433,car,2,1256.433,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1449,truck,4,1261.167,108.0
Jl Setiabudi 160825 Jam 6-18.mp4,800384,motorcycle,1,1263.1,90.0
Jl Setiabudi 160825 Jam 6-18.mp4,1467,motorcycle,1,1266.4,49.1
Jl Setiabudi 160825 Jam 6-18.mp4,1461,car,2,1266.567,60.0
Jl Setiabudi 160825 Jam 6-18.mp4,1473,truck,6,1272.867,108.0
