video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000011000100.mp4,15,motorcycle,1,0.95,60.0
ch01_00000000011000100.mp4,49,car,2,10.3,60.0
ch01_00000000011000100.mp4,57,motorcycle,1,12.499,32.7
ch01_00000000011000100.mp4,81,motorcycle,1,16.849,51.4
ch01_00000000011000100.mp4,100,motorcycle,1,24.049,60.0
ch01_00000000011000100.mp4,109,car,2,26.199,60.0
ch01_00000000011000100.mp4,7,motorcycle,1,35.549,51.4
ch01_00000000011000100.mp4,45,motorcycle,1,38.548,60.0
ch01_00000000011000100.mp4,51,car,3,40.098,60.0
ch01_00000000011000100.mp4,78,car,2,42.698,72.0
ch01_00000000011000100.mp4,84,car,2,43.648,60.0
ch01_00000000011000100.mp4,131,car,3,49.898,45.0
ch01_00000000011000100.mp4,138,car,2,51.098,90.0
ch01_00000000011000100.mp4,145,car,2,51.798,51.4
ch01_00000000011000100.mp4,187,motorcycle,1,57.248,72.0
ch01_00000000011000100.mp4,190,car,2,58.348,60.0
ch01_00000000011000100.mp4,199,motorcycle,1,60.248,72.0
ch01_00000000011000100.mp4,204,car,2,60.848,60.0
ch01_00000000011000100.mp4,225,truck,6,64.047,60.0
ch01_00000000011000100.mp4,248,car,3,66.797,60.0
ch01_00000000011000100.mp4,41,motorcycle,1,72.647,60.0
ch01_00000000011000100.mp4,116,motorcycle,1,78.747,60.0
ch01_00000000011000100.mp4,125,motorcycle,1,79.647,60.0
ch01_00000000011000100.mp4,178,car,2,85.147,51.4
ch01_00000000011000100.mp4,214,motorcycle,1,86.897,60.0
ch01_00000000011000100.mp4,117,motorcycle,1,94.146,60.0
ch01_00000000011000100.mp4,155,motorcycle,1,95.846,60.0
ch01_00000000011000100.mp4,154,car,2,96.196,51.4
ch01_00000000011000100.mp4,244,car,2,100.146,51.4
ch01_00000000011000100.mp4,211,motorcycle,1,111.446,72.0
ch01_00000000011000100.mp4,227,car,2,111.796,90.0
ch01_00000000011000100.mp4,221,car,2,112.496,60.0
ch01_00000000011000100.mp4,291,car,2,127.945,40.0
ch01_00000000011000100.mp4,319,truck,4,130.295,40.0
ch01_00000000011000100.mp4,400,car,2,134.745,51.4
ch01_00000000011000100.mp4,447,car,2,135.995,60.0
ch01_00000000011000100.mp4,649,car,2,143.294,90.0
ch01_00000000011000100.mp4,666,car,2,144.994,60.0
ch01_00000000011000100.mp4,679,car,2,146.194,60.0
ch01_00000000011000100.mp4,727,motorcycle,1,148.944,51.4
ch01_00000000011000100.mp4,729,car,2,148.944,72.0
ch01_00000000011000100.mp4,801,car,2,151.594,72.0
ch01_00000000011000100.mp4,795,motorcycle,1,151.744,36.0
ch01_00000000011000100.mp4,913,car,3,154.944,72.0
ch01_00000000011000100.mp4,944,car,3,155.544,60.0
ch01_00000000011000100.mp4,1066,car,2,160.044,60.0
ch01_00000000011000100.mp4,1184,motorcycle,1,164.794,40.0
ch01_00000000011000100.mp4,1275,car,2,167.944,60.0
ch01_00000000011000100.mp4,1364,motorcycle,1,168.993,60.0
ch01_00000000011000100.mp4,1399,car,2,171.293,60.0
ch01_00000000011000100.mp4,1511,car,2,174.093,60.0
ch01_00000000011000100.mp4,1642,motorcycle,1,179.843,45.0
ch01_00000000011000100.mp4,1678,car,2,180.993,72.0
ch01_00000000011000100.mp4,1754,motorcycle,1,183.543,60.0
ch01_00000000011000100.mp4,2144,car,2,199.592,72.0
ch01_00000000011000100.mp4,2189,motorcycle,1,200.992,40.0
ch01_00000000011000100.mp4,2418,motorcycle,1,211.892,25.7
ch01_00000000011000100.mp4,2546,car,2,215.842,45.0
ch01_00000000011000100.mp4,2671,car,2,218.941,90.0
ch01_00000000011000100.mp4,2721,car,2,223.191,72.0
ch01_00000000011000100.mp4,2761,motorcycle,1,223.641,60.0
ch01_00000000011000100.mp4,2803,car,3,226.641,60.0
ch01_00000000011000100.mp4,2996,car,2,234.591,60.0
ch01_00000000011000100.mp4,3075,car,2,236.791,60.0
ch01_00000000011000100.mp4,3199,car,2,242.291,72.0
ch01_00000000011000100.mp4,3297,motorcycle,1,246.39,60.0
ch01_00000000011000100.mp4,3345,bus,5,248.94,60.0
ch01_00000000011000100.mp4,3449,car,2,252.74,90.0
ch01_00000000011000100.mp4,3476,car,2,253.94,51.4
ch01_00000000011000100.mp4,3615,motorcycle,1,258.09,60.0
ch01_00000000011000100.mp4,3652,truck,6,259.79,72.0
ch01_00000000011000100.mp4,3768,motorcycle,1,263.14,40.0
ch01_00000000011000100.mp4,3955,car,2,268.39,72.0
ch01_00000000011000100.mp4,3975,motorcycle,1,268.79,72.0
ch01_00000000011000100.mp4,3973,motorcycle,1,269.24,60.0
ch01_00000000011000100.mp4,4082,motorcycle,1,271.839,60.0
ch01_00000000011000100.mp4,4073,motorcycle,1,271.889,72.0
ch01_00000000011000100.mp4,4118,truck,4,273.689,72.0
ch01_00000000011000100.mp4,4377,motorcycle,1,285.339,60.0
ch01_00000000011000100.mp4,4773,motorcycle,1,302.238,72.0
ch01_00000000011000100.mp4,4854,car,2,305.388,60.0
ch01_00000000011000100.mp4,4993,car,2,310.288,72.0
ch01_00000000011000100.mp4,5031,car,2,312.288,45.0
ch01_00000000011000100.mp4,5121,car,2,314.488,90.0
ch01_00000000011000100.mp4,5147,car,2,315.488,60.0
ch01_00000000011000100.mp4,5223,motorcycle,1,317.888,45.0
ch01_00000000011000100.mp4,5275,motorcycle,1,318.888,45.0
ch01_00000000011000100.mp4,5257,motorcycle,1,318.988,22.5
ch01_00000000011000100.mp4,5282,car,2,319.138,60.0
ch01_00000000011000100.mp4,5336,car,2,320.488,60.0
ch01_00000000011000100.mp4,5356,car,3,321.688,45.0
ch01_00000000011000100.mp4,5416,motorcycle,1,322.038,60.0
ch01_00000000011000100.mp4,5418,car,3,322.988,45.0
ch01_00000000011000100.mp4,5469,motorcycle,1,324.087,60.0
ch01_00000000011000100.mp4,5494,car,2,324.937,45.0
ch01_00000000011000100.mp4,5639,car,3,329.787,60.0
ch01_00000000011000100.mp4,5701,car,2,331.687,60.0
ch01_00000000011000100.mp4,5798,car,2,333.887,51.4
ch01_00000000011000100.mp4,5972,motorcycle,1,337.687,60.0
ch01_00000000011000100.mp4,6050,car,3,340.687,60.0
ch01_00000000011000100.mp4,6184,car,2,344.787,60.0
ch01_00000000011000100.mp4,6176,car,2,345.637,72.0
ch01_00000000011000100.mp4,6266,car,3,347.087,72.0
ch01_00000000011000100.mp4,6371,motorcycle,1,349.436,60.0
ch01_00000000011000100.mp4,6494,motorcycle,1,352.236,60.0
ch01_00000000011000100.mp4,6825,car,2,364.536,72.0
ch01_00000000011000100.mp4,6981,motorcycle,1,368.886,60.0
ch01_00000000011000100.mp4,7079,car,3,372.536,60.0
ch01_00000000011000100.mp4,7436,car,2,381.135,90.0
ch01_00000000011000100.mp4,7503,car,2,382.785,120.0
ch01_00000000011000100.mp4,7850,car,2,392.035,180.0
ch01_00000000011000100.mp4,7907,motorcycle,1,394.035,45.0
ch01_00000000011000100.mp4,8108,car,2,400.334,72.0
ch01_00000000011000100.mp4,8168,car,2,402.034,45.0
ch01_00000000011000100.mp4,8311,car,3,406.784,60.0
ch01_00000000011000100.mp4,8358,car,2,408.184,60.0
ch01_00000000011000100.mp4,8530,car,2,415.884,72.0
ch01_00000000011000100.mp4,8552,car,2,416.684,72.0
ch01_00000000011000100.mp4,8610,car,3,417.684,60.0
ch01_00000000011000100.mp4,8854,car,2,424.634,60.0
ch01_00000000011000100.mp4,9048,car,3,432.583,51.4
ch01_00000000011000100.mp4,9131,car,2,434.783,60.0
ch01_00000000011000100.mp4,10066,motorcycle,1,461.282,60.0
ch01_00000000011000100.mp4,10428,motorcycle,1,471.682,60.0
ch01_00000000011000100.mp4,10495,car,3,475.332,45.0
ch01_00000000011000100.mp4,10554,car,3,477.082,60.0
ch01_00000000011000100.mp4,10704,car,2,481.831,72.0
ch01_00000000011000100.mp4,10771,car,2,483.731,72.0
ch01_00000000011000100.mp4,11049,car,3,495.881,40.0
ch01_00000000011000100.mp4,11148,car,2,498.231,51.4
ch01_00000000011000100.mp4,11223,motorcycle,1,500.581,51.4
ch01_00000000011000100.mp4,11446,car,2,509.03,45.0
ch01_00000000011000100.mp4,11539,motorcycle,1,511.13,60.0
ch01_00000000011000100.mp4,11700,motorcycle,1,515.68,60.0
ch01_00000000011000100.mp4,11775,car,3,518.98,45.0
ch01_00000000011000100.mp4,12209,truck,4,535.929,60.0
ch01_00000000011000100.mp4,12307,motorcycle,1,540.129,36.0
ch01_00000000011000100.mp4,12410,motorcycle,1,543.279,40.0
ch01_00000000011000100.mp4,12445,motorcycle,1,544.629,60.0
ch01_00000000011000100.mp4,12595,car,2,550.279,51.4
ch01_00000000011000100.mp4,12702,motorcycle,1,554.178,40.0
ch01_00000000011000100.mp4,12794,motorcycle,1,556.878,60.0
ch01_00000000011000100.mp4,12858,car,2,559.178,72.0
ch01_00000000011000100.mp4,12943,motorcycle,1,560.978,90.0
ch01_00000000011000100.mp4,13007,car,3,563.378,60.0
ch01_00000000011000100.mp4,13067,motorcycle,1,564.228,60.0
ch01_00000000011000100.mp4,13089,car,2,565.478,60.0
ch01_00000000011000100.mp4,13192,truck,4,569.278,60.0
ch01_00000000011000100.mp4,13288,truck,4,572.128,51.4
ch01_00000000011000100.mp4,13512,motorcycle,1,578.977,60.0
ch01_00000000011000100.mp4,13707,car,2,586.627,60.0
ch01_00000000011000100.mp4,13859,motorcycle,1,592.327,51.4
ch01_00000000011000100.mp4,13893,car,2,595.377,60.0
ch01_00000000011000100.mp4,13951,car,2,596.277,60.0
ch01_00000000011000100.mp4,13992,truck,6,597.327,60.0
