video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000023000000.mp4,12,motorcycle,1,1.05,36.0
ch01_00000000023000000.mp4,18,bus,5,2.3,36.0
ch01_00000000023000000.mp4,30,car,3,3.85,36.0
ch01_00000000023000000.mp4,40,car,3,5.25,30.0
ch01_00000000023000000.mp4,70,motorcycle,1,6.85,1.2
ch01_00000000023000000.mp4,129,car,2,12.249,45.0
ch01_00000000023000000.mp4,172,motorcycle,1,15.449,40.0
ch01_00000000023000000.mp4,176,motorcycle,1,15.999,40.0
ch01_00000000023000000.mp4,189,motorcycle,1,17.299,40.0
ch01_00000000023000000.mp4,223,motorcycle,1,19.249,36.0
ch01_00000000023000000.mp4,236,motorcycle,1,19.899,32.7
ch01_00000000023000000.mp4,17,car,2,21.449,27.7
ch01_00000000023000000.mp4,76,motorcycle,1,22.799,40.0
ch01_00000000023000000.mp4,67,car,3,23.399,32.7
ch01_00000000023000000.mp4,94,car,2,24.499,32.7
ch01_00000000023000000.mp4,125,car,3,26.149,40.0
ch01_00000000023000000.mp4,182,motorcycle,1,27.698,45.0
ch01_00000000023000000.mp4,245,car,2,29.798,60.0
ch01_00000000023000000.mp4,261,car,2,30.748,45.0
ch01_00000000023000000.mp4,276,car,2,31.798,40.0
ch01_00000000023000000.mp4,114,motorcycle,1,35.898,45.0
ch01_00000000023000000.mp4,143,car,3,38.898,32.7
ch01_00000000023000000.mp4,148,motorcycle,1,39.298,36.0
ch01_00000000023000000.mp4,198,motorcycle,1,40.398,40.0
ch01_00000000023000000.mp4,206,car,2,42.498,15.0
ch01_00000000023000000.mp4,62,motorcycle,1,45.447,120.0
ch01_00000000023000000.mp4,59,motorcycle,1,46.097,36.0
ch01_00000000023000000.mp4,111,motorcycle,1,48.747,27.7
ch01_00000000023000000.mp4,268,car,2,56.097,60.0
ch01_00000000023000000.mp4,316,car,2,58.497,72.0
ch01_00000000023000000.mp4,330,motorcycle,1,59.047,36.0
ch01_00000000023000000.mp4,342,motorcycle,1,60.497,36.0
ch01_00000000023000000.mp4,379,motorcycle,1,61.347,36.0
ch01_00000000023000000.mp4,437,car,3,64.846,36.0
ch01_00000000023000000.mp4,457,car,2,64.996,40.0
ch01_00000000023000000.mp4,564,motorcycle,1,67.996,45.0
ch01_00000000023000000.mp4,654,car,3,72.346,36.0
ch01_00000000023000000.mp4,690,motorcycle,1,74.346,40.0
ch01_00000000023000000.mp4,687,car,2,74.446,36.0
ch01_00000000023000000.mp4,723,car,2,75.946,36.0
ch01_00000000023000000.mp4,761,car,2,78.946,40.0
ch01_00000000023000000.mp4,785,motorcycle,1,79.046,30.0
