video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000030000000.mp4,60,car,2,2.4,60.0
ch01_00000000030000000.mp4,92,car,3,3.55,72.0
ch01_00000000030000000.mp4,113,motorcycle,1,4.9,72.0
ch01_00000000030000000.mp4,120,motorcycle,1,5.15,72.0
ch01_00000000030000000.mp4,171,car,2,7.8,72.0
ch01_00000000030000000.mp4,248,car,2,11.249,60.0
ch01_00000000030000000.mp4,2,motorcycle,1,11.499,72.0
ch01_00000000030000000.mp4,8,car,2,12.399,45.0
ch01_00000000030000000.mp4,257,car,2,13.049,51.4
ch01_00000000030000000.mp4,67,car,2,14.749,36.0
ch01_00000000030000000.mp4,78,motorcycle,1,15.299,51.4
ch01_00000000030000000.mp4,145,motorcycle,1,17.299,72.0
ch01_00000000030000000.mp4,178,car,2,19.049,51.4
ch01_00000000030000000.mp4,204,car,2,20.599,51.4
ch01_00000000030000000.mp4,224,motorcycle,1,20.649,72.0
ch01_00000000030000000.mp4,225,car,2,21.249,45.0
ch01_00000000030000000.mp4,244,motorcycle,1,21.899,72.0
ch01_00000000030000000.mp4,247,car,2,22.449,51.4
ch01_00000000030000000.mp4,258,car,2,23.199,45.0
ch01_00000000030000000.mp4,276,car,2,23.749,51.4
ch01_00000000030000000.mp4,303,car,2,25.299,51.4
ch01_00000000030000000.mp4,311,motorcycle,1,25.849,45.0
ch01_00000000030000000.mp4,315,car,2,25.899,45.0
ch01_00000000030000000.mp4,331,truck,4,26.799,45.0
ch01_00000000030000000.mp4,351,car,2,27.398,45.0
ch01_00000000030000000.mp4,369,car,2,28.398,51.4
ch01_00000000030000000.mp4,376,motorcycle,1,28.448,60.0
ch01_00000000030000000.mp4,392,motorcycle,1,29.598,32.7
ch01_00000000030000000.mp4,399,car,2,30.398,45.0
ch01_00000000030000000.mp4,411,car,3,30.548,90.0
ch01_00000000030000000.mp4,429,motorcycle,1,31.298,51.4
ch01_00000000030000000.mp4,441,car,2,31.748,40.0
ch01_00000000030000000.mp4,474,car,2,32.948,51.4
ch01_00000000030000000.mp4,484,motorcycle,1,32.948,45.0
ch01_00000000030000000.mp4,503,motorcycle,1,33.248,60.0
ch01_00000000030000000.mp4,504,motorcycle,1,33.698,45.0
ch01_00000000030000000.mp4,522,car,2,33.848,40.0
ch01_00000000030000000.mp4,548,car,2,34.648,51.4
ch01_00000000030000000.mp4,568,car,2,35.548,36.0
ch01_00000000030000000.mp4,577,car,2,35.948,51.4
ch01_00000000030000000.mp4,592,motorcycle,1,36.698,60.0
ch01_00000000030000000.mp4,615,motorcycle,1,37.148,51.4
ch01_00000000030000000.mp4,618,motorcycle,1,37.348,60.0
ch01_00000000030000000.mp4,626,truck,4,37.798,51.4
ch01_00000000030000000.mp4,681,car,2,41.398,40.0
ch01_00000000030000000.mp4,698,motorcycle,1,41.848,36.0
ch01_00000000030000000.mp4,714,car,2,42.298,45.0
ch01_00000000030000000.mp4,715,motorcycle,1,42.348,40.0
ch01_00000000030000000.mp4,730,car,3,43.898,40.0
ch01_00000000030000000.mp4,740,car,3,44.797,32.7
ch01_00000000030000000.mp4,777,car,2,45.947,45.0
ch01_00000000030000000.mp4,812,motorcycle,1,46.347,51.4
ch01_00000000030000000.mp4,782,car,2,46.847,40.0
ch01_00000000030000000.mp4,852,car,2,47.847,45.0
ch01_00000000030000000.mp4,894,car,3,48.547,51.4
ch01_00000000030000000.mp4,923,car,3,49.497,40.0
ch01_00000000030000000.mp4,959,truck,4,50.497,45.0
ch01_00000000030000000.mp4,968,car,2,50.897,36.0
ch01_00000000030000000.mp4,988,car,2,51.997,60.0
ch01_00000000030000000.mp4,1023,motorcycle,1,52.697,51.4
ch01_00000000030000000.mp4,1008,car,2,52.747,40.0
ch01_00000000030000000.mp4,1024,motorcycle,1,52.797,51.4
ch01_00000000030000000.mp4,1047,car,3,53.897,51.4
ch01_00000000030000000.mp4,1094,motorcycle,1,54.697,72.0
ch01_00000000030000000.mp4,1089,motorcycle,1,54.747,60.0
ch01_00000000030000000.mp4,1095,car,2,55.147,40.0
ch01_00000000030000000.mp4,1145,car,3,57.897,40.0
ch01_00000000030000000.mp4,1188,motorcycle,1,58.547,90.0
ch01_00000000030000000.mp4,1195,car,2,59.347,40.0
ch01_00000000030000000.mp4,1219,car,2,60.247,36.0
ch01_00000000030000000.mp4,1254,motorcycle,1,60.847,72.0
ch01_00000000030000000.mp4,1281,car,3,61.846,51.4
ch01_00000000030000000.mp4,1324,car,3,63.047,51.4
ch01_00000000030000000.mp4,1351,car,3,63.546,45.0
ch01_00000000030000000.mp4,1393,car,2,64.946,51.4
ch01_00000000030000000.mp4,1425,car,2,65.446,45.0
ch01_00000000030000000.mp4,1432,car,2,65.496,60.0
ch01_00000000030000000.mp4,1437,motorcycle,1,65.946,51.4
ch01_00000000030000000.mp4,1452,car,2,66.446,45.0
ch01_00000000030000000.mp4,1506,motorcycle,1,67.296,72.0
ch01_00000000030000000.mp4,1550,car,2,69.546,60.0
ch01_00000000030000000.mp4,1565,car,2,69.996,40.0
ch01_00000000030000000.mp4,1575,car,2,69.996,72.0
ch01_00000000030000000.mp4,1597,car,2,71.196,45.0
ch01_00000000030000000.mp4,1628,car,2,72.396,45.0
ch01_00000000030000000.mp4,1659,car,2,73.896,51.4
ch01_00000000030000000.mp4,1731,car,2,76.446,40.0
ch01_00000000030000000.mp4,1741,car,3,77.796,30.0
ch01_00000000030000000.mp4,1764,car,2,77.846,45.0
ch01_00000000030000000.mp4,1786,motorcycle,1,78.296,60.0
ch01_00000000030000000.mp4,1780,car,2,78.446,45.0
ch01_00000000030000000.mp4,1804,car,2,79.746,32.7
ch01_00000000030000000.mp4,1821,car,2,79.945,40.0
ch01_00000000030000000.mp4,1854,car,2,80.645,51.4
ch01_00000000030000000.mp4,1852,motorcycle,1,80.796,40.0
ch01_00000000030000000.mp4,1877,car,2,81.445,40.0
ch01_00000000030000000.mp4,1911,motorcycle,1,82.395,60.0
ch01_00000000030000000.mp4,1922,car,2,83.145,40.0
ch01_00000000030000000.mp4,1975,car,2,85.245,72.0
ch01_00000000030000000.mp4,1997,truck,6,85.395,32.7
ch01_00000000030000000.mp4,2037,car,2,87.245,36.0
ch01_00000000030000000.mp4,2068,motorcycle,1,87.445,72.0
ch01_00000000030000000.mp4,2063,car,2,88.545,45.0
ch01_00000000030000000.mp4,2149,motorcycle,1,90.195,60.0
ch01_00000000030000000.mp4,2133,car,2,90.395,40.0
ch01_00000000030000000.mp4,2146,car,2,90.395,40.0
ch01_00000000030000000.mp4,2169,car,2,91.195,40.0
ch01_00000000030000000.mp4,2220,car,2,92.795,51.4
ch01_00000000030000000.mp4,2235,car,2,92.795,45.0
ch01_00000000030000000.mp4,2245,motorcycle,1,93.445,51.4
ch01_00000000030000000.mp4,2266,car,2,94.345,51.4
ch01_00000000030000000.mp4,2280,motorcycle,1,94.945,51.4
ch01_00000000030000000.mp4,2296,motorcycle,1,95.095,72.0
ch01_00000000030000000.mp4,2291,truck,7,96.195,45.0
ch01_00000000030000000.mp4,2336,truck,6,97.995,45.0
ch01_00000000030000000.mp4,2369,motorcycle,1,98.445,45.0
ch01_00000000030000000.mp4,2384,car,2,99.594,36.0
ch01_00000000030000000.mp4,2385,car,2,100.744,45.0
ch01_00000000030000000.mp4,2459,car,2,102.144,45.0
ch01_00000000030000000.mp4,2480,car,2,102.894,40.0
ch01_00000000030000000.mp4,2497,car,2,103.744,45.0
ch01_00000000030000000.mp4,2582,truck,4,105.144,45.0
ch01_00000000030000000.mp4,2573,car,2,105.594,40.0
ch01_00000000030000000.mp4,2598,car,2,106.294,45.0
ch01_00000000030000000.mp4,2631,car,2,107.194,45.0
ch01_00000000030000000.mp4,2648,motorcycle,1,107.344,45.0
ch01_00000000030000000.mp4,2680,car,2,108.894,45.0
ch01_00000000030000000.mp4,2705,truck,4,110.144,45.0
ch01_00000000030000000.mp4,2712,car,2,110.844,40.0
ch01_00000000030000000.mp4,2716,car,2,111.244,36.0
ch01_00000000030000000.mp4,2744,truck,4,112.544,45.0
ch01_00000000030000000.mp4,2772,motorcycle,1,112.644,60.0
ch01_00000000030000000.mp4,2796,car,2,113.794,40.0
ch01_00000000030000000.mp4,2831,car,2,114.644,40.0
ch01_00000000030000000.mp4,2866,car,3,116.493,51.4
ch01_00000000030000000.mp4,2898,car,2,117.343,40.0
ch01_00000000030000000.mp4,2921,truck,4,118.243,45.0
ch01_00000000030000000.mp4,2940,car,2,118.893,40.0
ch01_00000000030000000.mp4,3007,car,2,120.493,51.4
ch01_00000000030000000.mp4,3036,car,2,120.543,40.0
ch01_00000000030000000.mp4,3071,car,3,122.443,51.4
ch01_00000000030000000.mp4,3077,car,3,123.593,30.0
