video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000031000000.mp4,3,car,2,3.6,72.0
ch01_00000000031000000.mp4,5,motorcycle,1,3.6,72.0
ch01_00000000031000000.mp4,14,motorcycle,1,4.4,120.0
ch01_00000000031000000.mp4,9,car,2,4.55,51.4
ch01_00000000031000000.mp4,21,motorcycle,1,5.1,90.0
ch01_00000000031000000.mp4,31,car,2,5.7,90.0
ch01_00000000031000000.mp4,41,car,2,6.4,72.0
ch01_00000000031000000.mp4,37,motorcycle,1,10.949,40.0
ch01_00000000031000000.mp4,54,motorcycle,1,11.799,72.0
ch01_00000000031000000.mp4,42,motorcycle,1,14.349,60.0
ch01_00000000031000000.mp4,79,motorcycle,1,15.349,60.0
ch01_00000000031000000.mp4,124,motorcycle,1,16.249,90.0
ch01_00000000031000000.mp4,122,motorcycle,1,16.549,72.0
ch01_00000000031000000.mp4,148,car,2,17.849,90.0
ch01_00000000031000000.mp4,193,motorcycle,1,19.399,72.0
ch01_00000000031000000.mp4,242,motorcycle,1,21.099,90.0
ch01_00000000031000000.mp4,224,motorcycle,1,21.299,40.0
ch01_00000000031000000.mp4,330,motorcycle,1,24.798,90.0
ch01_00000000031000000.mp4,376,motorcycle,1,25.948,120.0
ch01_00000000031000000.mp4,393,motorcycle,1,26.948,60.0
ch01_00000000031000000.mp4,442,car,2,28.498,90.0
ch01_00000000031000000.mp4,512,car,2,31.148,72.0
ch01_00000000031000000.mp4,556,motorcycle,1,33.648,60.0
ch01_00000000031000000.mp4,582,car,2,34.648,72.0
ch01_00000000031000000.mp4,583,car,2,35.048,60.0
ch01_00000000031000000.mp4,610,motorcycle,1,36.148,72.0
ch01_00000000031000000.mp4,625,motorcycle,1,36.348,72.0
ch01_00000000031000000.mp4,647,motorcycle,1,37.048,72.0
ch01_00000000031000000.mp4,640,truck,6,37.998,40.0
ch01_00000000031000000.mp4,690,car,2,38.697,72.0
ch01_00000000031000000.mp4,726,motorcycle,1,39.447,90.0
ch01_00000000031000000.mp4,712,motorcycle,1,39.597,60.0
ch01_00000000031000000.mp4,775,motorcycle,1,41.447,90.0
ch01_00000000031000000.mp4,820,motorcycle,1,42.497,90.0
ch01_00000000031000000.mp4,825,motorcycle,1,43.597,90.0
ch01_00000000031000000.mp4,843,motorcycle,1,45.247,90.0
ch01_00000000031000000.mp4,846,car,2,46.197,60.0
ch01_00000000031000000.mp4,877,motorcycle,1,47.547,72.0
ch01_00000000031000000.mp4,886,motorcycle,1,47.997,90.0
ch01_00000000031000000.mp4,887,motorcycle,1,48.347,72.0
ch01_00000000031000000.mp4,908,motorcycle,1,49.047,72.0
ch01_00000000031000000.mp4,924,car,2,50.147,72.0
ch01_00000000031000000.mp4,966,motorcycle,1,50.997,120.0
ch01_00000000031000000.mp4,955,motorcycle,1,51.297,72.0
ch01_00000000031000000.mp4,977,car,3,52.897,40.0
ch01_00000000031000000.mp4,993,car,2,53.096,72.0
ch01_00000000031000000.mp4,1050,car,2,54.496,72.0
ch01_00000000031000000.mp4,1060,car,2,54.946,72.0
ch01_00000000031000000.mp4,1062,motorcycle,1,55.146,36.0
ch01_00000000031000000.mp4,1082,motorcycle,1,55.596,90.0
ch01_00000000031000000.mp4,1077,car,2,56.096,60.0
ch01_00000000031000000.mp4,1125,car,2,57.146,60.0
ch01_00000000031000000.mp4,1144,motorcycle,1,57.646,60.0
ch01_00000000031000000.mp4,1177,motorcycle,1,58.296,60.0
ch01_00000000031000000.mp4,1167,motorcycle,1,58.696,72.0
ch01_00000000031000000.mp4,1197,motorcycle,1,58.846,72.0
ch01_00000000031000000.mp4,1213,car,2,59.196,72.0
ch01_00000000031000000.mp4,1240,motorcycle,1,60.346,60.0
ch01_00000000031000000.mp4,1244,motorcycle,1,60.696,60.0
ch01_00000000031000000.mp4,1249,motorcycle,1,60.696,72.0
ch01_00000000031000000.mp4,1270,motorcycle,1,61.546,60.0
ch01_00000000031000000.mp4,1273,car,2,61.796,72.0
ch01_00000000031000000.mp4,1282,car,2,62.396,72.0
ch01_00000000031000000.mp4,1345,car,2,65.696,72.0
ch01_00000000031000000.mp4,1366,motorcycle,1,66.096,90.0
ch01_00000000031000000.mp4,1353,motorcycle,1,66.196,45.0
ch01_00000000031000000.mp4,1419,car,2,68.746,72.0
ch01_00000000031000000.mp4,1435,car,2,69.245,120.0
ch01_00000000031000000.mp4,1438,motorcycle,1,69.545,72.0
ch01_00000000031000000.mp4,1460,car,2,70.695,72.0
ch01_00000000031000000.mp4,1481,motorcycle,1,71.095,90.0
ch01_00000000031000000.mp4,1476,motorcycle,1,71.245,60.0
ch01_00000000031000000.mp4,1527,motorcycle,1,72.445,120.0
ch01_00000000031000000.mp4,1511,car,2,72.545,72.0
ch01_00000000031000000.mp4,1528,car,2,73.045,90.0
ch01_00000000031000000.mp4,1560,motorcycle,1,73.445,120.0
ch01_00000000031000000.mp4,1561,motorcycle,1,74.045,72.0
ch01_00000000031000000.mp4,1602,motorcycle,1,74.845,45.0
ch01_00000000031000000.mp4,1616,car,2,75.345,90.0
ch01_00000000031000000.mp4,1631,car,2,75.945,90.0
ch01_00000000031000000.mp4,1642,motorcycle,1,76.145,90.0
ch01_00000000031000000.mp4,1659,motorcycle,1,76.495,51.4
ch01_00000000031000000.mp4,1671,motorcycle,1,77.395,72.0
ch01_00000000031000000.mp4,1683,motorcycle,1,77.895,72.0
ch01_00000000031000000.mp4,1703,car,2,78.845,72.0
ch01_00000000031000000.mp4,1734,motorcycle,1,80.245,72.0
ch01_00000000031000000.mp4,1744,motorcycle,1,80.245,72.0
ch01_00000000031000000.mp4,1753,motorcycle,1,81.045,60.0
ch01_00000000031000000.mp4,1743,car,2,81.845,72.0
ch01_00000000031000000.mp4,1774,motorcycle,1,82.295,72.0
ch01_00000000031000000.mp4,1798,car,2,83.144,90.0
ch01_00000000031000000.mp4,1805,motorcycle,1,83.294,51.4
ch01_00000000031000000.mp4,1821,motorcycle,1,83.945,60.0
ch01_00000000031000000.mp4,1834,car,2,84.494,60.0
ch01_00000000031000000.mp4,1842,motorcycle,1,84.794,60.0
ch01_00000000031000000.mp4,1865,motorcycle,1,85.894,72.0
ch01_00000000031000000.mp4,1901,motorcycle,1,87.194,60.0
ch01_00000000031000000.mp4,1931,car,2,88.594,72.0
ch01_00000000031000000.mp4,1975,truck,6,90.894,60.0
ch01_00000000031000000.mp4,1993,car,2,92.494,51.4
ch01_00000000031000000.mp4,2029,motorcycle,1,93.294,60.0
ch01_00000000031000000.mp4,2070,car,2,95.044,60.0
ch01_00000000031000000.mp4,2066,car,2,95.194,45.0
ch01_00000000031000000.mp4,2089,car,2,96.094,51.4
ch01_00000000031000000.mp4,2148,car,2,99.593,60.0
ch01_00000000031000000.mp4,2157,car,2,99.893,60.0
ch01_00000000031000000.mp4,2192,car,2,101.693,60.0
ch01_00000000031000000.mp4,2220,car,2,102.793,60.0
ch01_00000000031000000.mp4,2250,truck,6,103.693,72.0
ch01_00000000031000000.mp4,2265,motorcycle,1,104.093,72.0
ch01_00000000031000000.mp4,2268,truck,6,105.043,60.0
ch01_00000000031000000.mp4,2324,car,2,106.443,60.0
ch01_00000000031000000.mp4,2357,car,2,107.293,72.0
ch01_00000000031000000.mp4,2400,car,2,108.443,60.0
ch01_00000000031000000.mp4,2385,car,2,108.493,40.0
ch01_00000000031000000.mp4,2411,truck,6,109.643,72.0
ch01_00000000031000000.mp4,2437,motorcycle,1,109.943,51.4
ch01_00000000031000000.mp4,2444,car,2,110.343,60.0
ch01_00000000031000000.mp4,2536,motorcycle,1,114.442,45.0
ch01_00000000031000000.mp4,2541,car,2,114.742,60.0
ch01_00000000031000000.mp4,2538,truck,6,114.992,45.0
ch01_00000000031000000.mp4,2596,truck,4,117.192,51.4
ch01_00000000031000000.mp4,2624,truck,6,118.742,60.0
ch01_00000000031000000.mp4,2634,car,2,118.992,60.0
ch01_00000000031000000.mp4,2643,car,2,119.042,60.0
ch01_00000000031000000.mp4,2663,car,2,120.492,60.0
ch01_00000000031000000.mp4,2685,motorcycle,1,121.142,60.0
ch01_00000000031000000.mp4,2730,car,2,122.892,60.0
ch01_00000000031000000.mp4,2815,car,2,125.442,60.0
ch01_00000000031000000.mp4,2828,car,2,125.792,60.0
ch01_00000000031000000.mp4,2878,car,2,127.442,60.0
ch01_00000000031000000.mp4,2896,car,2,127.992,60.0
ch01_00000000031000000.mp4,2953,car,2,129.691,60.0
ch01_00000000031000000.mp4,2996,motorcycle,1,130.341,72.0
ch01_00000000031000000.mp4,3024,motorcycle,1,131.141,60.0
ch01_00000000031000000.mp4,3007,car,2,131.241,60.0
ch01_00000000031000000.mp4,3016,motorcycle,1,131.441,72.0
ch01_00000000031000000.mp4,3032,car,2,131.891,51.4
ch01_00000000031000000.mp4,3057,truck,4,132.991,51.4
ch01_00000000031000000.mp4,3090,car,2,134.341,51.4
ch01_00000000031000000.mp4,3109,motorcycle,1,134.691,51.4
ch01_00000000031000000.mp4,3128,motorcycle,1,135.041,60.0
ch01_00000000031000000.mp4,3138,car,2,135.241,51.4
ch01_00000000031000000.mp4,3139,motorcycle,1,135.441,60.0
ch01_00000000031000000.mp4,3191,car,2,136.241,51.4
ch01_00000000031000000.mp4,3197,car,2,136.491,60.0
ch01_00000000031000000.mp4,3205,car,2,137.141,45.0
ch01_00000000031000000.mp4,3221,truck,4,137.991,60.0
ch01_00000000031000000.mp4,3243,motorcycle,1,138.441,90.0
ch01_00000000031000000.mp4,3250,car,2,138.591,72.0
ch01_00000000031000000.mp4,3268,car,2,139.291,60.0
ch01_00000000031000000.mp4,3301,car,2,140.241,60.0
ch01_00000000031000000.mp4,3317,motorcycle,1,140.641,60.0
ch01_00000000031000000.mp4,3344,car,2,141.491,72.0
ch01_00000000031000000.mp4,3381,car,3,142.591,60.0
ch01_00000000031000000.mp4,3396,motorcycle,1,142.941,72.0
ch01_00000000031000000.mp4,3400,car,2,143.541,60.0
ch01_00000000031000000.mp4,3453,motorcycle,1,143.94,72.0
ch01_00000000031000000.mp4,3439,car,2,144.19,51.4
ch01_00000000031000000.mp4,3469,car,2,144.99,51.4
ch01_00000000031000000.mp4,3493,car,2,145.74,51.4
ch01_00000000031000000.mp4,3542,truck,4,146.79,60.0
ch01_00000000031000000.mp4,3535,car,2,146.84,72.0
ch01_00000000031000000.mp4,3555,car,2,148.04,45.0
ch01_00000000031000000.mp4,3557,car,2,149.04,20.0
ch01_00000000031000000.mp4,3622,car,2,149.49,60.0
ch01_00000000031000000.mp4,3682,motorcycle,1,150.84,72.0
ch01_00000000031000000.mp4,3672,motorcycle,1,150.89,72.0
ch01_00000000031000000.mp4,3705,car,2,151.99,51.4
ch01_00000000031000000.mp4,3763,bus,5,155.29,51.4
ch01_00000000031000000.mp4,3829,motorcycle,1,156.24,90.0
ch01_00000000031000000.mp4,3820,motorcycle,1,156.49,60.0
ch01_00000000031000000.mp4,3828,car,2,156.84,51.4
ch01_00000000031000000.mp4,3870,motorcycle,1,157.59,72.0
ch01_00000000031000000.mp4,3878,motorcycle,1,157.79,72.0
ch01_00000000031000000.mp4,3847,car,3,158.49,51.4
