video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000118000100.mp4,3,motorcycle,1,1.4,10.3
ch01_00000000118000100.mp4,20,motorcycle,1,8.849,25.7
ch01_00000000118000100.mp4,37,motorcycle,1,15.048,51.4
ch01_00000000118000100.mp4,570,motorcycle,1,21.248,40.0
ch01_00000000118000100.mp4,611,car,2,22.497,25.7
ch01_00000000118000100.mp4,1615,motorcycle,1,32.796,27.7
ch01_00000000118000100.mp4,1861,car,2,35.196,25.7
ch01_00000000118000100.mp4,1996,motorcycle,1,36.446,24.0
ch01_00000000118000100.mp4,2143,car,2,38.196,18.9
ch01_00000000118000100.mp4,2126,car,2,38.346,25.7
ch01_00000000118000100.mp4,2418,motorcycle,1,41.345,22.5
ch01_00000000118000100.mp4,2499,motorcycle,1,42.095,22.5
ch01_00000000118000100.mp4,2685,car,2,44.295,24.0
ch01_00000000118000100.mp4,2869,car,2,46.345,25.7
ch01_00000000118000100.mp4,3258,car,2,50.144,25.7
ch01_00000000118000100.mp4,3239,motorcycle,1,50.644,27.7
ch01_00000000118000100.mp4,3499,car,2,51.944,24.0
ch01_00000000118000100.mp4,3780,car,2,54.894,30.0
ch01_00000000118000100.mp4,3716,car,2,54.894,25.7
ch01_00000000118000100.mp4,4000,car,2,57.294,24.0
ch01_00000000118000100.mp4,4235,car,2,59.093,27.7
ch01_00000000118000100.mp4,4758,truck,4,63.993,24.0
ch01_00000000118000100.mp4,5146,truck,4,68.142,18.9
ch01_00000000118000100.mp4,5275,motorcycle,1,68.992,12.9
ch01_00000000118000100.mp4,5697,motorcycle,1,74.442,30.0
ch01_00000000118000100.mp4,5720,motorcycle,1,74.891,22.5
ch01_00000000118000100.mp4,5786,motorcycle,1,75.791,24.0
ch01_00000000118000100.mp4,5989,car,2,78.391,27.7
ch01_00000000118000100.mp4,6075,motorcycle,1,79.241,27.7
ch01_00000000118000100.mp4,6238,car,2,80.741,32.7
ch01_00000000118000100.mp4,6800,motorcycle,1,86.39,45.0
ch01_00000000118000100.mp4,7103,truck,6,89.89,21.2
ch01_00000000118000100.mp4,7278,motorcycle,1,91.14,24.0
