video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000119000000.mp4,17,motorcycle,1,2.15,27.7
ch01_00000000119000000.mp4,6,motorcycle,1,2.8,40.0
ch01_00000000119000000.mp4,38,car,2,7.15,27.7
ch01_00000000119000000.mp4,45,motorcycle,1,11.949,27.7
ch01_00000000119000000.mp4,562,car,2,19.599,30.0
ch01_00000000119000000.mp4,800,motorcycle,1,22.399,30.0
ch01_00000000119000000.mp4,996,car,2,25.349,32.7
ch01_00000000119000000.mp4,1408,motorcycle,1,29.348,32.7
ch01_00000000119000000.mp4,1823,motorcycle,1,34.748,18.9
ch01_00000000119000000.mp4,1960,motorcycle,1,35.898,24.0
ch01_00000000119000000.mp4,2091,motorcycle,1,37.598,16.4
ch01_00000000119000000.mp4,2173,motorcycle,1,38.798,27.7
ch01_00000000119000000.mp4,2372,motorcycle,1,41.148,30.0
ch01_00000000119000000.mp4,2593,car,2,44.997,18.9
ch01_00000000119000000.mp4,2944,motorcycle,1,48.447,21.2
ch01_00000000119000000.mp4,3027,car,2,49.497,25.7
ch01_00000000119000000.mp4,3251,motorcycle,1,51.097,24.0
ch01_00000000119000000.mp4,3459,motorcycle,1,53.347,10.6
ch01_00000000119000000.mp4,4273,motorcycle,1,62.146,30.0
ch01_00000000119000000.mp4,4339,motorcycle,1,62.746,22.5
ch01_00000000119000000.mp4,4897,truck,6,69.696,13.8
ch01_00000000119000000.mp4,5688,motorcycle,1,79.046,14.4
ch01_00000000119000000.mp4,5764,motorcycle,1,80.245,12.4
ch01_00000000119000000.mp4,6636,motorcycle,1,90.395,14.4
ch01_00000000119000000.mp4,7135,motorcycle,1,97.044,22.5
ch01_00000000119000000.mp4,8469,motorcycle,1,110.794,11.3
ch01_00000000119000000.mp4,8572,motorcycle,1,111.594,22.5
ch01_00000000119000000.mp4,10032,motorcycle,1,129.693,45.0
ch01_00000000119000000.mp4,10041,motorcycle,1,129.943,12.4
