video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000120000000.mp4,115,motorcycle,1,15.849,12.0
ch01_00000000120000000.mp4,132,car,3,17.849,20.0
ch01_00000000120000000.mp4,167,truck,4,25.048,18.9
ch01_00000000120000000.mp4,289,motorcycle,1,35.047,36.0
ch01_00000000120000000.mp4,347,motorcycle,1,40.647,30.0
ch01_00000000120000000.mp4,423,motorcycle,1,45.746,30.0
ch01_00000000120000000.mp4,508,motorcycle,1,52.896,21.2
ch01_00000000120000000.mp4,565,car,2,56.745,24.0
ch01_00000000120000000.mp4,593,motorcycle,1,57.495,9.0
ch01_00000000120000000.mp4,613,motorcycle,1,60.145,32.7
ch01_00000000120000000.mp4,618,motorcycle,1,61.695,40.0
ch01_00000000120000000.mp4,657,motorcycle,1,66.095,25.7
ch01_00000000120000000.mp4,688,motorcycle,1,68.894,16.4
ch01_00000000120000000.mp4,707,car,2,70.494,32.7
ch01_00000000120000000.mp4,719,car,3,71.094,32.7
ch01_00000000120000000.mp4,808,motorcycle,1,83.293,24.0
ch01_00000000120000000.mp4,807,car,2,83.343,24.0
ch01_00000000120000000.mp4,819,truck,6,87.843,17.1
ch01_00000000120000000.mp4,887,truck,6,90.043,22.5
ch01_00000000120000000.mp4,974,car,2,93.442,32.7
ch01_00000000120000000.mp4,1006,car,2,94.492,32.7
ch01_00000000120000000.mp4,1135,car,2,110.391,32.7
ch01_00000000120000000.mp4,1248,car,3,121.14,27.7
ch01_00000000120000000.mp4,1294,motorcycle,1,124.94,16.4
ch01_00000000120000000.mp4,1318,motorcycle,1,126.74,22.5
ch01_00000000120000000.mp4,1363,motorcycle,1,128.94,32.7
ch01_00000000120000000.mp4,1368,car,2,129.74,21.2
ch01_00000000120000000.mp4,1372,car,2,130.989,21.2
ch01_00000000120000000.mp4,1386,motorcycle,1,131.44,15.7
ch01_00000000120000000.mp4,1405,car,2,132.839,20.0
ch01_00000000120000000.mp4,1433,car,2,135.339,21.2
ch01_00000000120000000.mp4,1441,motorcycle,1,136.439,22.5
ch01_00000000120000000.mp4,1442,motorcycle,1,136.439,24.0
ch01_00000000120000000.mp4,1477,motorcycle,1,140.539,20.0
ch01_00000000120000000.mp4,1537,motorcycle,1,146.088,10.3
ch01_00000000120000000.mp4,1544,car,2,147.838,20.0
ch01_00000000120000000.mp4,1613,truck,4,152.738,36.0
ch01_00000000120000000.mp4,1614,truck,4,154.438,16.4
ch01_00000000120000000.mp4,1718,car,2,160.187,10.0
ch01_00000000120000000.mp4,1812,motorcycle,1,166.437,15.0
ch01_00000000120000000.mp4,1815,motorcycle,1,167.087,13.3
ch01_00000000120000000.mp4,2095,car,2,193.484,25.7
