video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000122000000.mp4,4,truck,6,5.2,27.7
ch01_00000000122000000.mp4,144,car,2,21.149,36.0
ch01_00000000122000000.mp4,158,motorcycle,1,23.149,14.4
ch01_00000000122000000.mp4,254,motorcycle,1,35.248,17.1
ch01_00000000122000000.mp4,279,motorcycle,1,36.098,27.7
ch01_00000000122000000.mp4,281,motorcycle,1,36.548,27.7
ch01_00000000122000000.mp4,416,car,2,49.498,25.7
ch01_00000000122000000.mp4,462,car,2,53.247,25.7
ch01_00000000122000000.mp4,545,truck,4,57.947,32.7
ch01_00000000122000000.mp4,551,motorcycle,1,58.547,21.2
ch01_00000000122000000.mp4,580,car,2,60.797,15.0
ch01_00000000122000000.mp4,689,motorcycle,1,72.446,30.0
ch01_00000000122000000.mp4,686,car,2,72.596,20.0
ch01_00000000122000000.mp4,915,truck,6,96.395,12.9
ch01_00000000122000000.mp4,1189,motorcycle,1,118.194,21.2
ch01_00000000122000000.mp4,1201,motorcycle,1,120.494,12.4
ch01_00000000122000000.mp4,1216,car,2,121.744,30.0
ch01_00000000122000000.mp4,1287,motorcycle,1,127.244,18.9
ch01_00000000122000000.mp4,1365,car,2,135.193,25.7
ch01_00000000122000000.mp4,1814,motorcycle,1,172.991,32.7
ch01_00000000122000000.mp4,1809,truck,4,173.941,36.0
ch01_00000000122000000.mp4,1894,car,2,180.791,36.0
ch01_00000000122000000.mp4,1947,car,2,185.591,30.0
ch01_00000000122000000.mp4,1973,motorcycle,1,187.291,18.9
ch01_00000000122000000.mp4,2002,motorcycle,1,189.391,27.7
ch01_00000000122000000.mp4,2103,motorcycle,1,199.54,25.7
ch01_00000000122000000.mp4,2274,motorcycle,1,215.589,25.7
ch01_00000000122000000.mp4,2319,car,2,219.789,32.7
ch01_00000000122000000.mp4,2333,motorcycle,1,220.839,22.5
ch01_00000000122000000.mp4,2578,motorcycle,1,240.138,11.3
ch01_00000000122000000.mp4,2682,car,3,251.537,22.5
ch01_00000000122000000.mp4,2746,motorcycle,1,253.887,22.5
ch01_00000000122000000.mp4,2916,motorcycle,1,269.237,30.0
ch01_00000000122000000.mp4,3249,car,3,302.585,10.6
ch01_00000000122000000.mp4,3482,motorcycle,1,322.934,25.7
ch01_00000000122000000.mp4,3481,motorcycle,1,323.034,24.0
ch01_00000000122000000.mp4,3636,motorcycle,1,336.783,30.0
ch01_00000000122000000.mp4,3656,motorcycle,1,339.433,24.0
ch01_00000000122000000.mp4,3669,car,2,340.533,25.7
ch01_00000000122000000.mp4,3715,car,2,343.083,25.7
ch01_00000000122000000.mp4,3760,car,3,344.433,27.7
ch01_00000000122000000.mp4,3903,motorcycle,1,354.432,22.5
ch01_00000000122000000.mp4,3915,car,3,355.882,22.5
ch01_00000000122000000.mp4,3940,motorcycle,1,358.232,10.0
ch01_00000000122000000.mp4,4005,motorcycle,1,366.932,32.7
ch01_00000000122000000.mp4,4013,motorcycle,1,368.132,12.0
ch01_00000000122000000.mp4,4481,truck,4,409.33,40.0
ch01_00000000122000000.mp4,4566,motorcycle,1,417.579,21.2
ch01_00000000122000000.mp4,4563,motorcycle,1,417.679,6.4
ch01_00000000122000000.mp4,4744,car,2,438.278,22.5
ch01_00000000122000000.mp4,5121,car,2,461.277,22.5
ch01_00000000122000000.mp4,5569,motorcycle,1,490.926,18.9
