video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000124000000.mp4,3,motorcycle,1,2.3,27.7
ch01_00000000124000000.mp4,12,motorcycle,1,3.15,21.2
ch01_00000000124000000.mp4,13,motorcycle,1,9.999,30.0
ch01_00000000124000000.mp4,31,car,2,13.549,36.0
ch01_00000000124000000.mp4,75,truck,6,19.249,12.9
ch01_00000000124000000.mp4,185,car,2,34.898,24.0
ch01_00000000124000000.mp4,220,motorcycle,1,37.498,27.7
ch01_00000000124000000.mp4,239,car,2,40.548,25.7
ch01_00000000124000000.mp4,287,motorcycle,1,43.947,21.2
ch01_00000000124000000.mp4,285,car,2,44.797,22.5
ch01_00000000124000000.mp4,411,motorcycle,1,55.197,32.7
ch01_00000000124000000.mp4,473,truck,6,62.096,18.0
ch01_00000000124000000.mp4,541,truck,4,65.746,30.0
ch01_00000000124000000.mp4,602,motorcycle,1,70.896,13.8
ch01_00000000124000000.mp4,669,motorcycle,1,80.395,20.0
ch01_00000000124000000.mp4,672,motorcycle,1,80.545,32.7
ch01_00000000124000000.mp4,706,car,2,83.495,21.2
ch01_00000000124000000.mp4,702,truck,6,84.645,13.8
ch01_00000000124000000.mp4,743,car,2,86.895,22.5
ch01_00000000124000000.mp4,762,car,2,89.795,16.4
ch01_00000000124000000.mp4,1015,motorcycle,1,110.644,27.7
ch01_00000000124000000.mp4,1021,motorcycle,1,111.344,21.2
ch01_00000000124000000.mp4,1052,motorcycle,1,115.143,12.9
ch01_00000000124000000.mp4,1082,motorcycle,1,121.343,7.3
ch01_00000000124000000.mp4,1090,motorcycle,1,122.543,17.1
ch01_00000000124000000.mp4,1264,motorcycle,1,137.442,13.3
ch01_00000000124000000.mp4,1297,car,2,141.842,36.0
ch01_00000000124000000.mp4,1397,truck,6,148.792,22.5
ch01_00000000124000000.mp4,1417,motorcycle,1,150.591,36.0
ch01_00000000124000000.mp4,1444,motorcycle,1,153.591,36.0
ch01_00000000124000000.mp4,1586,truck,6,169.14,30.0
ch01_00000000124000000.mp4,1599,motorcycle,1,170.54,18.0
ch01_00000000124000000.mp4,1791,motorcycle,1,182.589,17.1
ch01_00000000124000000.mp4,1917,motorcycle,1,197.039,25.7
ch01_00000000124000000.mp4,2224,truck,4,226.837,45.0
ch01_00000000124000000.mp4,2378,motorcycle,1,242.536,36.0
ch01_00000000124000000.mp4,2692,car,2,270.985,21.2
ch01_00000000124000000.mp4,2801,car,3,279.634,15.0
ch01_00000000124000000.mp4,3117,car,3,308.532,16.4
ch01_00000000124000000.mp4,3123,motorcycle,1,309.682,25.7
ch01_00000000124000000.mp4,3145,motorcycle,1,310.932,30.0
ch01_00000000124000000.mp4,3196,motorcycle,1,314.932,27.7
ch01_00000000124000000.mp4,3223,truck,4,318.882,36.0
ch01_00000000124000000.mp4,3229,motorcycle,1,320.582,24.0
ch01_00000000124000000.mp4,3291,car,2,324.931,25.7
ch01_00000000124000000.mp4,3342,truck,4,329.981,22.5
ch01_00000000124000000.mp4,3363,truck,6,331.231,36.0
ch01_00000000124000000.mp4,3386,motorcycle,1,335.181,21.2
ch01_00000000124000000.mp4,3548,motorcycle,1,351.78,32.7
ch01_00000000124000000.mp4,3541,motorcycle,1,351.93,8.0
ch01_00000000124000000.mp4,3658,car,2,362.579,21.2
ch01_00000000124000000.mp4,3645,motorcycle,1,363.629,8.0
ch01_00000000124000000.mp4,3679,car,2,365.979,16.4
ch01_00000000124000000.mp4,3777,car,2,369.429,25.7
ch01_00000000124000000.mp4,3929,truck,6,382.628,21.2
ch01_00000000124000000.mp4,3971,motorcycle,1,387.328,25.7
ch01_00000000124000000.mp4,3972,bus,5,388.778,22.5
ch01_00000000124000000.mp4,4051,motorcycle,1,396.027,24.0
ch01_00000000124000000.mp4,4735,motorcycle,1,466.223,27.7
ch01_00000000124000000.mp4,4843,motorcycle,1,473.023,24.0
ch01_00000000124000000.mp4,4842,car,2,473.723,25.7
ch01_00000000124000000.mp4,4927,motorcycle,1,476.473,27.7
ch01_00000000124000000.mp4,5001,motorcycle,1,480.872,25.7
ch01_00000000124000000.mp4,5024,car,2,483.122,24.0
ch01_00000000124000000.mp4,5082,car,2,487.122,27.7
ch01_00000000124000000.mp4,5114,motorcycle,1,488.872,20.0
ch01_00000000124000000.mp4,5409,car,2,508.671,22.5
ch01_00000000124000000.mp4,5472,car,2,513.071,27.7
ch01_00000000124000000.mp4,5509,motorcycle,1,516.22,40.0
ch01_00000000124000000.mp4,5547,motorcycle,1,519.12,12.9
ch01_00000000124000000.mp4,5587,motorcycle,1,522.37,12.9
ch01_00000000124000000.mp4,5649,car,3,528.52,9.5
ch01_00000000124000000.mp4,5940,truck,4,555.418,21.2
ch01_00000000124000000.mp4,5992,car,2,562.918,22.5
ch01_00000000124000000.mp4,6038,car,3,566.867,27.7
ch01_00000000124000000.mp4,6082,truck,6,574.067,9.7
ch01_00000000124000000.mp4,6223,motorcycle,1,589.516,14.4
ch01_00000000124000000.mp4,6334,motorcycle,1,595.166,36.0
ch01_00000000124000000.mp4,6588,car,2,625.914,10.3
ch01_00000000124000000.mp4,6658,car,2,632.364,32.7
ch01_00000000124000000.mp4,6670,car,3,633.364,30.0
ch01_00000000124000000.mp4,6675,motorcycle,1,633.914,27.7
ch01_00000000124000000.mp4,6713,truck,4,636.364,32.7
ch01_00000000124000000.mp4,6747,motorcycle,1,640.363,22.5
ch01_00000000124000000.mp4,6757,truck,4,640.913,30.0
ch01_00000000124000000.mp4,6776,car,2,645.713,32.7
ch01_00000000124000000.mp4,6822,truck,6,653.913,10.0
ch01_00000000124000000.mp4,6845,car,2,654.062,40.0
ch01_00000000124000000.mp4,6956,motorcycle,1,664.662,25.7
ch01_00000000124000000.mp4,7029,car,3,669.962,12.4
