video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000126000000.mp4,16,motorcycle,1,7.05,30.0
ch01_00000000126000000.mp4,2,car,3,7.25,8.0
ch01_00000000126000000.mp4,25,motorcycle,1,14.699,32.7
ch01_00000000126000000.mp4,48,motorcycle,1,17.699,20.0
ch01_00000000126000000.mp4,65,motorcycle,1,19.499,22.5
ch01_00000000126000000.mp4,168,motorcycle,1,31.898,25.7
ch01_00000000126000000.mp4,300,truck,4,46.497,25.7
ch01_00000000126000000.mp4,327,car,2,47.846,27.7
ch01_00000000126000000.mp4,469,motorcycle,1,58.096,18.0
ch01_00000000126000000.mp4,548,motorcycle,1,63.045,22.5
ch01_00000000126000000.mp4,596,car,2,66.645,27.7
ch01_00000000126000000.mp4,609,motorcycle,1,67.595,27.7
ch01_00000000126000000.mp4,656,motorcycle,1,73.245,20.0
ch01_00000000126000000.mp4,729,car,3,79.994,13.8
ch01_00000000126000000.mp4,744,motorcycle,1,81.794,20.0
ch01_00000000126000000.mp4,759,car,2,83.294,27.7
ch01_00000000126000000.mp4,809,truck,6,92.643,15.7
ch01_00000000126000000.mp4,823,motorcycle,1,94.643,11.3
ch01_00000000126000000.mp4,1091,car,2,115.292,21.2
ch01_00000000126000000.mp4,1121,car,2,117.541,22.5
ch01_00000000126000000.mp4,1143,car,2,119.941,27.7
ch01_00000000126000000.mp4,1330,motorcycle,1,134.79,36.0
ch01_00000000126000000.mp4,1370,motorcycle,1,137.74,27.7
ch01_00000000126000000.mp4,1403,motorcycle,1,140.59,25.7
ch01_00000000126000000.mp4,1450,motorcycle,1,145.689,27.7
ch01_00000000126000000.mp4,1463,motorcycle,1,146.539,20.0
ch01_00000000126000000.mp4,1468,motorcycle,1,147.039,25.7
ch01_00000000126000000.mp4,1509,motorcycle,1,150.139,22.5
ch01_00000000126000000.mp4,1536,motorcycle,1,152.789,22.5
ch01_00000000126000000.mp4,1565,motorcycle,1,155.839,24.0
ch01_00000000126000000.mp4,1577,motorcycle,1,157.239,20.0
ch01_00000000126000000.mp4,1583,motorcycle,1,157.888,11.3
ch01_00000000126000000.mp4,1620,car,3,160.638,12.0
ch01_00000000126000000.mp4,1670,motorcycle,1,162.838,13.3
ch01_00000000126000000.mp4,1709,motorcycle,1,164.638,36.0
ch01_00000000126000000.mp4,1788,motorcycle,1,169.138,25.7
ch01_00000000126000000.mp4,1829,motorcycle,1,175.937,13.3
ch01_00000000126000000.mp4,1882,motorcycle,1,178.937,18.9
ch01_00000000126000000.mp4,1910,truck,6,183.487,22.5
ch01_00000000126000000.mp4,1941,motorcycle,1,185.637,22.5
ch01_00000000126000000.mp4,1962,motorcycle,1,186.387,12.4
ch01_00000000126000000.mp4,2003,car,2,189.636,30.0
ch01_00000000126000000.mp4,2060,motorcycle,1,195.136,21.2
ch01_00000000126000000.mp4,2062,motorcycle,1,196.036,20.0
ch01_00000000126000000.mp4,2076,motorcycle,1,197.886,21.2
ch01_00000000126000000.mp4,2154,car,2,206.835,7.1
ch01_00000000126000000.mp4,2184,motorcycle,1,208.235,11.3
ch01_00000000126000000.mp4,2402,motorcycle,1,223.834,30.0
ch01_00000000126000000.mp4,2512,motorcycle,1,231.083,18.9
ch01_00000000126000000.mp4,2582,truck,4,238.033,27.7
ch01_00000000126000000.mp4,2588,motorcycle,1,240.233,17.1
ch01_00000000126000000.mp4,2604,car,3,241.732,11.6
ch01_00000000126000000.mp4,2640,motorcycle,1,242.232,9.2
ch01_00000000126000000.mp4,2662,motorcycle,1,244.632,24.0
ch01_00000000126000000.mp4,2688,motorcycle,1,247.332,18.9
ch01_00000000126000000.mp4,2700,truck,6,249.582,10.9
ch01_00000000126000000.mp4,2749,motorcycle,1,251.432,10.0
ch01_00000000126000000.mp4,2765,motorcycle,1,253.182,22.5
ch01_00000000126000000.mp4,2758,truck,6,254.032,10.9
ch01_00000000126000000.mp4,2774,motorcycle,1,256.831,16.4
ch01_00000000126000000.mp4,2820,motorcycle,1,257.831,14.4
ch01_00000000126000000.mp4,2828,motorcycle,1,258.731,18.9
ch01_00000000126000000.mp4,2836,motorcycle,1,259.631,17.1
ch01_00000000126000000.mp4,2845,motorcycle,1,260.831,15.0
ch01_00000000126000000.mp4,2846,truck,4,261.231,16.4
ch01_00000000126000000.mp4,2863,motorcycle,1,262.331,16.4
ch01_00000000126000000.mp4,2884,motorcycle,1,263.081,13.3
ch01_00000000126000000.mp4,2870,car,3,263.781,16.4
ch01_00000000126000000.mp4,2929,motorcycle,1,265.181,24.0
ch01_00000000126000000.mp4,2993,car,3,270.53,10.6
ch01_00000000126000000.mp4,3013,motorcycle,1,272.43,25.7
ch01_00000000126000000.mp4,3028,motorcycle,1,273.58,15.0
ch01_00000000126000000.mp4,3044,motorcycle,1,274.78,16.4
ch01_00000000126000000.mp4,3068,motorcycle,1,275.73,15.7
ch01_00000000126000000.mp4,3069,truck,6,277.08,21.2
ch01_00000000126000000.mp4,3111,truck,6,281.28,18.9
ch01_00000000126000000.mp4,3187,motorcycle,1,287.479,17.1
ch01_00000000126000000.mp4,3228,motorcycle,1,291.979,32.7
ch01_00000000126000000.mp4,3227,motorcycle,1,292.679,30.0
ch01_00000000126000000.mp4,3254,car,2,295.628,24.0
ch01_00000000126000000.mp4,3310,motorcycle,1,297.228,27.7
ch01_00000000126000000.mp4,3321,truck,4,299.628,18.0
ch01_00000000126000000.mp4,3362,truck,6,303.378,13.3
ch01_00000000126000000.mp4,3404,car,3,308.028,11.6
ch01_00000000126000000.mp4,3433,car,2,310.178,25.7
ch01_00000000126000000.mp4,3460,car,2,313.377,24.0
ch01_00000000126000000.mp4,3468,motorcycle,1,313.627,27.7
ch01_00000000126000000.mp4,3492,truck,6,316.077,18.0
ch01_00000000126000000.mp4,3510,motorcycle,1,317.127,18.0
ch01_00000000126000000.mp4,3533,truck,4,318.677,24.0
ch01_00000000126000000.mp4,3547,bus,5,320.327,20.0
ch01_00000000126000000.mp4,3552,car,2,320.827,22.5
ch01_00000000126000000.mp4,3577,car,3,323.077,12.4
ch01_00000000126000000.mp4,3622,motorcycle,1,326.276,8.8
ch01_00000000126000000.mp4,3632,motorcycle,1,327.126,17.1
ch01_00000000126000000.mp4,3635,motorcycle,1,327.426,27.7
ch01_00000000126000000.mp4,3672,motorcycle,1,331.276,36.0
ch01_00000000126000000.mp4,3653,truck,6,331.626,18.9
ch01_00000000126000000.mp4,3684,motorcycle,1,332.226,36.0
ch01_00000000126000000.mp4,3705,car,2,333.176,24.0
ch01_00000000126000000.mp4,3698,motorcycle,1,333.226,20.0
ch01_00000000126000000.mp4,3838,motorcycle,1,340.025,15.0
ch01_00000000126000000.mp4,3898,motorcycle,1,344.125,27.7
ch01_00000000126000000.mp4,3922,motorcycle,1,345.625,27.7
ch01_00000000126000000.mp4,3931,motorcycle,1,347.075,27.7
ch01_00000000126000000.mp4,3974,motorcycle,1,353.624,22.5
ch01_00000000126000000.mp4,3983,car,2,355.324,32.7
ch01_00000000126000000.mp4,4000,truck,4,356.674,15.0
ch01_00000000126000000.mp4,4025,motorcycle,1,359.174,10.0
ch01_00000000126000000.mp4,4073,motorcycle,1,363.024,25.7
ch01_00000000126000000.mp4,4090,car,2,364.074,22.5
ch01_00000000126000000.mp4,4098,motorcycle,1,366.373,24.0
ch01_00000000126000000.mp4,4104,bus,5,367.073,21.2
ch01_00000000126000000.mp4,4182,motorcycle,1,372.373,25.7
ch01_00000000126000000.mp4,4207,car,3,377.623,22.5
ch01_00000000126000000.mp4,4338,motorcycle,1,384.122,24.0
ch01_00000000126000000.mp4,4432,truck,6,393.621,21.2
ch01_00000000126000000.mp4,4466,car,2,395.371,20.0
ch01_00000000126000000.mp4,4491,truck,6,397.721,18.9
ch01_00000000126000000.mp4,4565,motorcycle,1,403.521,17.1
ch01_00000000126000000.mp4,4635,car,3,414.42,25.7
ch01_00000000126000000.mp4,4902,motorcycle,1,431.069,27.7
ch01_00000000126000000.mp4,4917,car,3,433.119,10.9
ch01_00000000126000000.mp4,4960,motorcycle,1,433.318,27.7
ch01_00000000126000000.mp4,4989,car,2,435.318,22.5
ch01_00000000126000000.mp4,4996,motorcycle,1,436.368,18.0
ch01_00000000126000000.mp4,5083,car,2,442.068,30.0
ch01_00000000126000000.mp4,5132,car,2,445.418,6.1
ch01_00000000126000000.mp4,5238,truck,4,452.167,21.2
ch01_00000000126000000.mp4,5244,motorcycle,1,452.767,32.7
ch01_00000000126000000.mp4,5248,motorcycle,1,453.317,24.0
ch01_00000000126000000.mp4,5262,motorcycle,1,454.467,30.0
ch01_00000000126000000.mp4,5305,motorcycle,1,456.717,25.7
ch01_00000000126000000.mp4,5352,motorcycle,1,459.317,25.7
ch01_00000000126000000.mp4,5375,motorcycle,1,460.267,25.7
ch01_00000000126000000.mp4,5370,motorcycle,1,461.267,25.7
ch01_00000000126000000.mp4,5421,motorcycle,1,462.316,22.5
ch01_00000000126000000.mp4,5422,motorcycle,1,462.416,24.0
ch01_00000000126000000.mp4,5449,motorcycle,1,464.116,30.0
ch01_00000000126000000.mp4,5477,truck,6,466.666,17.1
ch01_00000000126000000.mp4,5511,truck,6,469.116,16.4
ch01_00000000126000000.mp4,5535,motorcycle,1,470.166,18.9
ch01_00000000126000000.mp4,5532,truck,6,470.666,15.0
ch01_00000000126000000.mp4,5540,truck,6,471.566,18.9
ch01_00000000126000000.mp4,5563,car,2,471.966,18.9
ch01_00000000126000000.mp4,5618,motorcycle,1,475.716,18.9
ch01_00000000126000000.mp4,5636,motorcycle,1,477.515,14.4
ch01_00000000126000000.mp4,5707,motorcycle,1,483.265,22.5
ch01_00000000126000000.mp4,5731,motorcycle,1,484.815,30.0
ch01_00000000126000000.mp4,5771,truck,7,490.714,16.4
ch01_00000000126000000.mp4,5819,truck,6,493.364,20.0
ch01_00000000126000000.mp4,5846,car,2,495.314,20.0
ch01_00000000126000000.mp4,5868,motorcycle,1,496.614,25.7
ch01_00000000126000000.mp4,5902,truck,4,500.114,22.5
ch01_00000000126000000.mp4,5970,car,2,508.763,25.7
ch01_00000000126000000.mp4,6051,motorcycle,1,515.863,22.5
ch01_00000000126000000.mp4,6149,car,3,527.862,27.7
ch01_00000000126000000.mp4,6154,truck,6,529.362,21.2
ch01_00000000126000000.mp4,6176,motorcycle,1,530.761,24.0
ch01_00000000126000000.mp4,6175,truck,6,532.561,17.1
ch01_00000000126000000.mp4,6236,motorcycle,1,535.661,20.0
ch01_00000000126000000.mp4,6214,truck,7,535.861,15.0
ch01_00000000126000000.mp4,6242,truck,6,537.761,16.4
ch01_00000000126000000.mp4,6332,truck,4,540.511,18.0
ch01_00000000126000000.mp4,6361,car,2,543.461,10.6
ch01_00000000126000000.mp4,6457,motorcycle,1,552.21,16.4
ch01_00000000126000000.mp4,6473,motorcycle,1,553.96,21.2
ch01_00000000126000000.mp4,6498,truck,4,558.859,18.9
ch01_00000000126000000.mp4,6524,motorcycle,1,560.859,18.0
ch01_00000000126000000.mp4,6590,car,2,567.309,22.5
ch01_00000000126000000.mp4,6814,motorcycle,1,593.007,10.6
ch01_00000000126000000.mp4,6878,motorcycle,1,597.657,20.0
ch01_00000000126000000.mp4,6999,car,3,608.206,18.0
