video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000127000000.mp4,1,motorcycle,1,1.15,10.0
ch01_00000000127000000.mp4,19,motorcycle,1,4.2,21.2
ch01_00000000127000000.mp4,10,truck,6,8.7,30.0
ch01_00000000127000000.mp4,4,motorcycle,1,9.55,32.7
ch01_00000000127000000.mp4,33,truck,4,9.749,10.0
ch01_00000000127000000.mp4,134,motorcycle,1,12.849,16.4
ch01_00000000127000000.mp4,311,motorcycle,1,13.199,25.7
ch01_00000000127000000.mp4,428,car,2,14.499,27.7
ch01_00000000127000000.mp4,436,motorcycle,1,15.349,7.8
ch01_00000000127000000.mp4,660,car,2,17.249,27.7
ch01_00000000127000000.mp4,848,car,2,19.349,27.7
ch01_00000000127000000.mp4,1178,motorcycle,1,23.149,25.7
ch01_00000000127000000.mp4,1218,motorcycle,1,24.849,32.7
ch01_00000000127000000.mp4,1077,car,3,26.748,10.6
ch01_00000000127000000.mp4,1641,motorcycle,1,27.948,8.4
ch01_00000000127000000.mp4,1665,car,3,28.598,12.4
ch01_00000000127000000.mp4,1734,car,3,28.598,24.0
ch01_00000000127000000.mp4,2056,motorcycle,1,32.798,24.0
ch01_00000000127000000.mp4,2231,motorcycle,1,34.198,10.6
ch01_00000000127000000.mp4,2391,motorcycle,1,36.798,9.7
ch01_00000000127000000.mp4,2519,motorcycle,1,37.598,8.6
ch01_00000000127000000.mp4,2714,motorcycle,1,39.598,18.9
ch01_00000000127000000.mp4,2749,motorcycle,1,39.948,22.5
ch01_00000000127000000.mp4,2639,motorcycle,1,40.148,22.5
ch01_00000000127000000.mp4,2819,motorcycle,1,41.648,13.3
ch01_00000000127000000.mp4,2921,motorcycle,1,42.248,17.1
ch01_00000000127000000.mp4,3241,car,2,46.747,18.9
ch01_00000000127000000.mp4,3335,car,2,49.397,8.2
ch01_00000000127000000.mp4,3627,car,2,50.247,18.9
ch01_00000000127000000.mp4,4095,motorcycle,1,52.797,22.5
ch01_00000000127000000.mp4,3888,car,3,53.947,12.9
ch01_00000000127000000.mp4,4360,car,3,55.297,22.5
ch01_00000000127000000.mp4,4442,motorcycle,1,56.897,5.8
ch01_00000000127000000.mp4,4428,car,2,57.197,24.0
ch01_00000000127000000.mp4,4560,car,2,58.647,22.5
ch01_00000000127000000.mp4,4716,motorcycle,1,59.697,22.5
ch01_00000000127000000.mp4,4789,motorcycle,1,61.746,7.7
ch01_00000000127000000.mp4,4933,motorcycle,1,61.846,10.0
ch01_00000000127000000.mp4,4996,motorcycle,1,62.696,18.0
ch01_00000000127000000.mp4,5056,motorcycle,1,63.096,10.9
ch01_00000000127000000.mp4,5152,motorcycle,1,63.696,22.5
ch01_00000000127000000.mp4,5320,motorcycle,1,64.546,27.7
ch01_00000000127000000.mp4,5233,car,2,65.146,22.5
ch01_00000000127000000.mp4,5445,motorcycle,1,65.646,22.5
ch01_00000000127000000.mp4,5466,motorcycle,1,66.646,24.0
ch01_00000000127000000.mp4,5549,motorcycle,1,67.996,9.0
ch01_00000000127000000.mp4,5536,motorcycle,1,68.096,24.0
ch01_00000000127000000.mp4,5502,car,2,69.346,7.1
ch01_00000000127000000.mp4,5576,motorcycle,1,69.796,25.7
ch01_00000000127000000.mp4,5718,motorcycle,1,70.596,6.3
ch01_00000000127000000.mp4,5835,motorcycle,1,70.996,16.4
ch01_00000000127000000.mp4,5708,car,3,71.396,13.3
ch01_00000000127000000.mp4,5908,motorcycle,1,72.796,17.1
ch01_00000000127000000.mp4,5734,motorcycle,1,73.146,18.0
ch01_00000000127000000.mp4,6155,car,2,73.946,7.1
ch01_00000000127000000.mp4,5962,car,2,75.446,14.4
ch01_00000000127000000.mp4,6087,car,2,77.096,15.7
ch01_00000000127000000.mp4,6438,motorcycle,1,77.996,15.7
ch01_00000000127000000.mp4,6639,motorcycle,1,79.245,12.9
ch01_00000000127000000.mp4,6609,motorcycle,1,79.745,15.7
ch01_00000000127000000.mp4,6728,motorcycle,1,80.195,5.2
