video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000128000000.mp4,9,motorcycle,1,0.5,5.9
ch01_00000000128000000.mp4,11,motorcycle,1,2.0,6.5
ch01_00000000128000000.mp4,37,motorcycle,1,2.5,7.5
ch01_00000000128000000.mp4,30,motorcycle,1,3.9,9.0
ch01_00000000128000000.mp4,192,motorcycle,1,4.3,36.0
ch01_00000000128000000.mp4,64,motorcycle,1,4.35,8.8
ch01_00000000128000000.mp4,118,motorcycle,1,4.5,15.7
ch01_00000000128000000.mp4,13,car,2,5.2,13.3
ch01_00000000128000000.mp4,368,motorcycle,1,6.3,8.8
ch01_00000000128000000.mp4,281,motorcycle,1,6.75,15.0
ch01_00000000128000000.mp4,132,car,2,7.499,13.3
ch01_00000000128000000.mp4,583,motorcycle,1,8.499,5.2
ch01_00000000128000000.mp4,677,motorcycle,1,9.649,40.0
ch01_00000000128000000.mp4,735,motorcycle,1,10.249,36.0
ch01_00000000128000000.mp4,754,motorcycle,1,10.349,36.0
ch01_00000000128000000.mp4,592,motorcycle,1,10.349,18.9
ch01_00000000128000000.mp4,812,motorcycle,1,10.999,36.0
ch01_00000000128000000.mp4,481,car,2,11.099,4.2
ch01_00000000128000000.mp4,668,car,2,12.049,14.4
ch01_00000000128000000.mp4,902,motorcycle,1,12.149,36.0
ch01_00000000128000000.mp4,931,motorcycle,1,12.599,18.0
ch01_00000000128000000.mp4,881,motorcycle,1,12.899,15.0
ch01_00000000128000000.mp4,1014,motorcycle,1,13.799,4.3
ch01_00000000128000000.mp4,1062,motorcycle,1,14.149,7.2
ch01_00000000128000000.mp4,1139,motorcycle,1,14.549,32.7
ch01_00000000128000000.mp4,976,motorcycle,1,15.099,5.3
ch01_00000000128000000.mp4,1236,motorcycle,1,15.499,32.7
ch01_00000000128000000.mp4,1298,motorcycle,1,15.899,30.0
ch01_00000000128000000.mp4,1370,motorcycle,1,16.399,32.7
ch01_00000000128000000.mp4,1053,motorcycle,1,16.549,4.2
ch01_00000000128000000.mp4,1413,motorcycle,1,16.999,40.0
ch01_00000000128000000.mp4,1469,motorcycle,1,17.649,32.7
ch01_00000000128000000.mp4,1264,motorcycle,1,17.899,12.9
ch01_00000000128000000.mp4,1196,car,2,19.598,5.1
ch01_00000000128000000.mp4,1728,motorcycle,1,20.048,10.9
ch01_00000000128000000.mp4,1593,motorcycle,1,20.648,11.6
ch01_00000000128000000.mp4,1478,motorcycle,1,20.748,5.3
ch01_00000000128000000.mp4,1813,motorcycle,1,20.998,18.9
ch01_00000000128000000.mp4,1704,motorcycle,1,21.148,10.3
ch01_00000000128000000.mp4,1764,motorcycle,1,22.048,8.4
ch01_00000000128000000.mp4,1937,motorcycle,1,22.298,18.0
ch01_00000000128000000.mp4,2017,motorcycle,1,23.248,18.9
ch01_00000000128000000.mp4,2035,motorcycle,1,23.398,22.5
ch01_00000000128000000.mp4,2077,motorcycle,1,23.498,24.0
ch01_00000000128000000.mp4,1709,motorcycle,1,23.948,9.7
ch01_00000000128000000.mp4,2108,motorcycle,1,23.998,30.0
ch01_00000000128000000.mp4,2166,motorcycle,1,24.798,27.7
ch01_00000000128000000.mp4,2269,motorcycle,1,25.748,21.2
ch01_00000000128000000.mp4,2278,motorcycle,1,25.898,15.0
ch01_00000000128000000.mp4,2337,motorcycle,1,26.448,32.7
ch01_00000000128000000.mp4,2374,motorcycle,1,27.048,24.0
ch01_00000000128000000.mp4,2314,motorcycle,1,27.048,16.4
ch01_00000000128000000.mp4,2429,motorcycle,1,27.448,24.0
ch01_00000000128000000.mp4,2117,car,2,27.448,6.1
ch01_00000000128000000.mp4,2464,motorcycle,1,27.998,15.7
ch01_00000000128000000.mp4,2504,motorcycle,1,28.298,21.2
ch01_00000000128000000.mp4,2566,motorcycle,1,28.848,27.7
ch01_00000000128000000.mp4,2500,motorcycle,1,28.848,15.7
ch01_00000000128000000.mp4,2532,motorcycle,1,29.448,4.0
ch01_00000000128000000.mp4,2633,motorcycle,1,29.798,15.0
ch01_00000000128000000.mp4,2681,motorcycle,1,30.048,25.7
ch01_00000000128000000.mp4,2430,car,2,30.648,3.3
