video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000129000000.mp4,3,motorcycle,1,0.2,16.4
ch01_00000000129000000.mp4,2,motorcycle,1,0.45,10.6
ch01_00000000129000000.mp4,9,motorcycle,1,0.75,9.7
ch01_00000000129000000.mp4,7,motorcycle,1,1.5,10.3
ch01_00000000129000000.mp4,29,motorcycle,1,1.8,12.0
ch01_00000000129000000.mp4,63,motorcycle,1,1.9,8.4
ch01_00000000129000000.mp4,127,motorcycle,1,3.15,13.3
ch01_00000000129000000.mp4,48,car,3,4.65,9.5
ch01_00000000129000000.mp4,174,motorcycle,1,5.5,7.2
ch01_00000000129000000.mp4,180,motorcycle,1,5.9,10.6
ch01_00000000129000000.mp4,265,car,3,7.949,9.2
ch01_00000000129000000.mp4,59,car,3,10.049,6.3
ch01_00000000129000000.mp4,81,car,2,10.449,7.5
ch01_00000000129000000.mp4,109,motorcycle,1,11.149,8.6
ch01_00000000129000000.mp4,189,motorcycle,1,11.899,7.5
ch01_00000000129000000.mp4,286,motorcycle,1,12.899,8.2
ch01_00000000129000000.mp4,285,truck,4,13.849,12.0
ch01_00000000129000000.mp4,108,car,2,14.249,10.0
ch01_00000000129000000.mp4,427,motorcycle,1,15.449,13.8
ch01_00000000129000000.mp4,460,motorcycle,1,15.749,15.7
ch01_00000000129000000.mp4,421,motorcycle,1,15.749,5.4
ch01_00000000129000000.mp4,461,motorcycle,1,16.699,11.6
ch01_00000000129000000.mp4,532,motorcycle,1,16.999,18.9
ch01_00000000129000000.mp4,533,motorcycle,1,17.199,11.6
ch01_00000000129000000.mp4,588,car,2,18.299,11.3
ch01_00000000129000000.mp4,612,motorcycle,1,18.499,15.7
ch01_00000000129000000.mp4,657,motorcycle,1,19.299,13.8
ch01_00000000129000000.mp4,695,motorcycle,1,20.299,13.8
ch01_00000000129000000.mp4,736,car,2,21.898,13.8
ch01_00000000129000000.mp4,788,motorcycle,1,22.548,13.8
ch01_00000000129000000.mp4,782,motorcycle,1,22.698,18.0
ch01_00000000129000000.mp4,808,motorcycle,1,23.348,14.4
ch01_00000000129000000.mp4,818,motorcycle,1,23.998,13.8
ch01_00000000129000000.mp4,843,motorcycle,1,24.298,13.8
ch01_00000000129000000.mp4,868,motorcycle,1,25.098,14.4
ch01_00000000129000000.mp4,844,truck,6,26.248,9.0
ch01_00000000129000000.mp4,952,car,2,26.898,15.7
ch01_00000000129000000.mp4,1080,car,2,28.248,10.9
ch01_00000000129000000.mp4,1048,car,2,29.248,9.0
ch01_00000000129000000.mp4,1149,motorcycle,1,29.848,15.0
ch01_00000000129000000.mp4,1108,motorcycle,1,30.798,8.8
ch01_00000000129000000.mp4,1160,motorcycle,1,31.048,10.9
ch01_00000000129000000.mp4,927,motorcycle,1,31.898,10.6
ch01_00000000129000000.mp4,1231,motorcycle,1,32.648,10.0
ch01_00000000129000000.mp4,1396,motorcycle,1,34.197,14.4
ch01_00000000129000000.mp4,1351,car,2,34.947,8.8
ch01_00000000129000000.mp4,1452,motorcycle,1,34.947,6.9
ch01_00000000129000000.mp4,1473,motorcycle,1,35.497,15.0
ch01_00000000129000000.mp4,1324,car,2,35.897,6.4
ch01_00000000129000000.mp4,1505,motorcycle,1,36.097,14.4
