video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000131000000.mp4,5,motorcycle,1,0.25,18.0
ch01_00000000131000000.mp4,13,motorcycle,1,0.9,6.3
ch01_00000000131000000.mp4,14,motorcycle,1,1.45,24.0
ch01_00000000131000000.mp4,47,motorcycle,1,1.9,17.1
ch01_00000000131000000.mp4,23,motorcycle,1,1.95,22.5
ch01_00000000131000000.mp4,39,motorcycle,1,2.05,10.9
ch01_00000000131000000.mp4,45,motorcycle,1,2.1,16.4
ch01_00000000131000000.mp4,1,motorcycle,1,2.15,18.0
ch01_00000000131000000.mp4,36,motorcycle,1,2.75,17.1
ch01_00000000131000000.mp4,24,motorcycle,1,2.85,15.0
ch01_00000000131000000.mp4,49,motorcycle,1,3.45,20.0
ch01_00000000131000000.mp4,33,motorcycle,1,4.2,22.5
ch01_00000000131000000.mp4,41,motorcycle,1,4.4,17.1
ch01_00000000131000000.mp4,18,car,3,4.45,4.7
ch01_00000000131000000.mp4,155,truck,4,5.65,20.0
ch01_00000000131000000.mp4,300,motorcycle,1,6.75,2.8
ch01_00000000131000000.mp4,299,motorcycle,1,7.0,17.1
ch01_00000000131000000.mp4,593,motorcycle,1,9.849,27.7
ch01_00000000131000000.mp4,615,motorcycle,1,10.699,5.1
ch01_00000000131000000.mp4,502,motorcycle,1,11.299,5.1
ch01_00000000131000000.mp4,665,motorcycle,1,11.649,15.7
ch01_00000000131000000.mp4,810,motorcycle,1,12.049,24.0
ch01_00000000131000000.mp4,563,car,2,12.099,7.2
ch01_00000000131000000.mp4,737,motorcycle,1,13.599,6.7
ch01_00000000131000000.mp4,983,motorcycle,1,14.799,12.9
ch01_00000000131000000.mp4,705,car,2,15.049,3.9
ch01_00000000131000000.mp4,908,motorcycle,1,15.099,9.7
ch01_00000000131000000.mp4,1189,car,2,16.999,15.7
ch01_00000000131000000.mp4,1339,motorcycle,1,17.699,20.0
