video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000132000000.mp4,148,motorcycle,1,3.85,16.4
ch01_00000000132000000.mp4,156,car,2,4.45,16.4
ch01_00000000132000000.mp4,226,car,2,5.65,18.0
ch01_00000000132000000.mp4,337,car,2,7.849,18.9
ch01_00000000132000000.mp4,319,motorcycle,1,8.049,9.5
ch01_00000000132000000.mp4,371,motorcycle,1,8.349,20.0
ch01_00000000132000000.mp4,397,motorcycle,1,9.199,18.9
ch01_00000000132000000.mp4,372,car,2,9.699,4.1
ch01_00000000132000000.mp4,435,motorcycle,1,10.299,18.0
ch01_00000000132000000.mp4,455,car,2,11.299,16.4
ch01_00000000132000000.mp4,447,car,3,12.449,3.8
ch01_00000000132000000.mp4,496,car,2,12.749,15.7
ch01_00000000132000000.mp4,537,truck,6,14.249,16.4
ch01_00000000132000000.mp4,590,car,2,16.249,15.7
ch01_00000000132000000.mp4,555,motorcycle,1,17.199,10.9
ch01_00000000132000000.mp4,66,car,2,18.599,12.4
ch01_00000000132000000.mp4,124,motorcycle,1,18.949,12.0
ch01_00000000132000000.mp4,222,car,2,21.698,13.3
ch01_00000000132000000.mp4,306,car,3,23.998,11.3
ch01_00000000132000000.mp4,175,motorcycle,1,26.648,8.8
ch01_00000000132000000.mp4,220,motorcycle,1,27.448,11.3
ch01_00000000132000000.mp4,233,motorcycle,1,27.748,12.9
ch01_00000000132000000.mp4,300,truck,6,29.048,10.3
ch01_00000000132000000.mp4,393,motorcycle,1,30.498,9.2
ch01_00000000132000000.mp4,615,motorcycle,1,32.448,20.0
ch01_00000000132000000.mp4,585,car,3,32.898,12.0
ch01_00000000132000000.mp4,637,motorcycle,1,33.197,16.4
ch01_00000000132000000.mp4,670,motorcycle,1,34.047,8.2
ch01_00000000132000000.mp4,722,motorcycle,1,34.847,25.7
ch01_00000000132000000.mp4,748,motorcycle,1,35.697,24.0
ch01_00000000132000000.mp4,803,motorcycle,1,36.797,13.3
ch01_00000000132000000.mp4,794,motorcycle,1,36.947,21.2
ch01_00000000132000000.mp4,804,motorcycle,1,37.197,17.1
ch01_00000000132000000.mp4,840,motorcycle,1,37.897,14.4
ch01_00000000132000000.mp4,822,motorcycle,1,38.347,15.0
ch01_00000000132000000.mp4,851,motorcycle,1,38.447,18.0
ch01_00000000132000000.mp4,883,motorcycle,1,39.397,24.0
ch01_00000000132000000.mp4,911,motorcycle,1,39.697,15.7
ch01_00000000132000000.mp4,907,motorcycle,1,40.047,14.4
ch01_00000000132000000.mp4,850,car,3,40.097,6.1
ch01_00000000132000000.mp4,921,motorcycle,1,42.347,11.6
ch01_00000000132000000.mp4,1135,motorcycle,1,43.947,13.3
ch01_00000000132000000.mp4,1243,motorcycle,1,45.597,5.1
ch01_00000000132000000.mp4,1187,car,2,46.096,15.7
ch01_00000000132000000.mp4,1346,motorcycle,1,47.096,20.0
ch01_00000000132000000.mp4,1343,motorcycle,1,47.296,18.0
ch01_00000000132000000.mp4,1421,motorcycle,1,48.846,8.2
ch01_00000000132000000.mp4,1471,motorcycle,1,49.346,16.4
ch01_00000000132000000.mp4,1522,motorcycle,1,50.646,13.8
