video_file,track_id,vehicle_class,golongan_code,crossed_at_seconds,speed_kph
ch01_00000000134000000.mp4,15,motorcycle,1,1.0,14.4
ch01_00000000134000000.mp4,2,car,2,1.6,4.0
ch01_00000000134000000.mp4,19,motorcycle,1,2.1,20.0
ch01_00000000134000000.mp4,26,car,2,2.4,10.9
ch01_00000000134000000.mp4,22,motorcycle,1,2.55,14.4
ch01_00000000134000000.mp4,25,motorcycle,1,2.7,13.3
ch01_00000000134000000.mp4,18,motorcycle,1,3.3,17.1
ch01_00000000134000000.mp4,27,motorcycle,1,4.35,14.4
ch01_00000000134000000.mp4,29,car,2,4.55,12.0
ch01_00000000134000000.mp4,43,car,2,7.099,15.7
ch01_00000000134000000.mp4,67,motorcycle,1,7.799,7.8
ch01_00000000134000000.mp4,206,motorcycle,1,9.249,5.0
ch01_00000000134000000.mp4,224,motorcycle,1,9.299,7.1
ch01_00000000134000000.mp4,251,truck,6,9.949,14.4
ch01_00000000134000000.mp4,325,car,2,10.999,13.3
ch01_00000000134000000.mp4,464,car,2,11.699,8.0
ch01_00000000134000000.mp4,424,motorcycle,1,11.949,20.0
ch01_00000000134000000.mp4,486,car,2,12.749,14.4
ch01_00000000134000000.mp4,533,motorcycle,1,12.899,12.9
ch01_00000000134000000.mp4,575,motorcycle,1,13.599,14.4
ch01_00000000134000000.mp4,635,motorcycle,1,13.699,22.5
ch01_00000000134000000.mp4,689,car,2,15.099,12.9
ch01_00000000134000000.mp4,835,motorcycle,1,16.299,17.1
ch01_00000000134000000.mp4,863,car,2,17.249,13.3
ch01_00000000134000000.mp4,982,motorcycle,1,18.448,15.0
ch01_00000000134000000.mp4,1084,motorcycle,1,19.498,12.0
ch01_00000000134000000.mp4,1080,motorcycle,1,19.848,11.3
ch01_00000000134000000.mp4,1153,motorcycle,1,19.948,16.4
ch01_00000000134000000.mp4,1152,motorcycle,1,20.098,12.0
ch01_00000000134000000.mp4,1535,car,3,25.398,7.1
ch01_00000000134000000.mp4,1629,motorcycle,1,25.498,5.5
ch01_00000000134000000.mp4,1771,motorcycle,1,27.148,7.1
ch01_00000000134000000.mp4,1787,motorcycle,1,27.448,7.1
ch01_00000000134000000.mp4,1464,car,2,28.198,3.3
ch01_00000000134000000.mp4,2020,motorcycle,1,29.848,5.2
ch01_00000000134000000.mp4,2451,motorcycle,1,34.697,9.0
ch01_00000000134000000.mp4,1815,truck,4,35.247,5.1
ch01_00000000134000000.mp4,2386,motorcycle,1,36.297,10.3
ch01_00000000134000000.mp4,2652,motorcycle,1,36.597,6.0
ch01_00000000134000000.mp4,2468,motorcycle,1,37.047,9.7
ch01_00000000134000000.mp4,2604,motorcycle,1,37.647,10.0
ch01_00000000134000000.mp4,2740,motorcycle,1,39.047,9.2
ch01_00000000134000000.mp4,2527,truck,4,39.147,7.1
ch01_00000000134000000.mp4,3127,motorcycle,1,42.197,12.4
ch01_00000000134000000.mp4,3000,car,2,42.346,6.3
ch01_00000000134000000.mp4,3165,car,2,44.246,7.8
ch01_00000000134000000.mp4,3363,car,2,45.346,4.3
ch01_00000000134000000.mp4,3545,motorcycle,1,46.046,10.6
ch01_00000000134000000.mp4,3520,truck,6,47.746,7.8
ch01_00000000134000000.mp4,3877,car,2,49.846,4.5
ch01_00000000134000000.mp4,3981,motorcycle,1,51.396,12.0
ch01_00000000134000000.mp4,4101,motorcycle,1,52.246,8.2
ch01_00000000134000000.mp4,4068,car,2,53.196,7.8
